From,To,Strength,Technique,Description,Collator,Reference
Anterior cingulate area ventral part (ACAv),Caudoputamen (CP),very strong,radioactive aminoacids,"Collator note: very distinct terminal field in the CP, in its dorsomedial part, in the injection site level. The label has the characteristic patchy appearance and it is around the anterior forceps. See Fig. 4C, Swanson Atlas Levels 11-12.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Ectorhinal area (ECT),Caudoputamen (CP),very strong,biocytin,"Collator note: very strong terminal field in the ventrocaudal part of the CP, extending into the rostral LA and BLAa. See Fig. 17A, Swanson Atlas Levels 25-26.",Mihail Bota,"Shi C.J. & Cassell... - Cascade projections from somatosensory... (1998) , pp. 469-491"
Orbital area ventral part (ORBv),Caudoputamen (CP),very strong,PHAL,"Additional labeled sites were [.] the medial-ventromedial striatum, and DBv. Collator note: specific pattern in the ventromedial quadrant of the caudate-putamen. The lateral part is practically devoid of fibers. See Fig 13 G-I, which correspond to Swanso",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Orbital area ventral part (ORBv),Caudoputamen (CP),very strong,PHAL,"Additional labeled sites were [.] the medial-ventromedial striatum, and DBv. Collator note: specific pattern in the ventromedial quadrant of the caudate-putamen. The lateral part is practically devoid of fibers. See Fig 13 G-I, which correspond to Swanso",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Prelimbic area (PL),Caudoputamen (CP),very strong,PHAL,"Collator note: very strong in the CP, but only in the medial part, going ventrally towards ACB. The central and and dorsolateral parts are devoid of fibers at this level. See fig 4C, page 229, which roughly corresponds to Swanson Atlas Level 10.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Caudoputamen (CP),very strong,PHAL,"Collator note: strong to very strong labeling in the CP, but only medial, close to the lateral ventricle. See fig 4D, page 229, which roughly corresponds to Swanson Atlas Level 13.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Caudoputamen (CP),very strong,PHAL,"Collator note: in this case, CP and ACB are completely labeled in a patch-matrix fashion. See fig 5C, page 222, Swanson Atlas Level 11. This is one of the main differences between this case and case P364.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Secondary motor area (MOs),Caudoputamen (CP),very strong,radioactive aminoacids,"Collator note: very strong labeling of the rostral part of the caudoputamen, just below the cingulum bundle. See Fig. 3C, Swanson Atlas Levels 12-13.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Ventral auditory areas (AUDv),Caudoputamen (CP),very strong,biocytin,"Collator note: strong labeling in the ventrocaudal sector of the CP, spilling in the dorsal part of the LA. No other amygdalar nuclei are labeled. See Fig. 14 A-D, Swanson Atlas Levels 27-32.",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic and amygdaloid... (1997) , pp. 153-175"
Agranular insular area posterior part (AIp),Caudoputamen (CP),strong,biocytin,"Collator note: strong terminal field in the ventrocaudal part of the CP, extending into LA, and BLA. See Fig.11A, Swanson Atlas Levels 26-27.",Mihail Bota,"Shi C.J. & Cassell... - Cascade projections from somatosensory... (1998) , pp. 469-491"
Anterior cingulate area dorsal part (ACAd),Caudoputamen (CP),strong,PHAL,"Collator note: strong labeling of the entire CP in the rostralmost part of the region. See Fig. 7C, Swanson Atlas Levels 9-10.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Anterior cingulate area ventral part (ACAv),Caudoputamen (CP),strong,radioactive aminoacids,"Collator note: characteristic labeling pattern in the dorsomedial caudoputamen, rostrally. See Fig 5A, B, Swanson Atlas Levels 11-21.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
"Entorhinal area, lateral part (ENTl)",Caudoputamen (CP),strong,PHAL,"Two subcortical regions of the telencephalon also contained massive plexuses of labeled fibers after PHA-L injections in the lateral entorhinal area. One was centered along the length of the medial striatum, and included parts of the caudoputamen []. Col",Mihail Bota,"Swanson L.W., Kohler... - Anatomical evidence for direct... (1986) , pp. 3010-23"
"Entorhinal area, lateral part (ENTl)",Caudoputamen (CP),strong,PHAL,"Two subcortical regions of the telencephalon also contained massive plexuses of labeled fibers after PHA-L injections in the lateral entorhinal area. One was centered along the length of the medial striatum, and included parts of the caudoputamen []. Col",Mihail Bota,"Swanson L.W., Kohler... - Anatomical evidence for direct... (1986) , pp. 3010-23"
Field CA1 (CA1),Caudoputamen (CP),strong,PHAL,"Collator note: terminal field in the caudoventral part of the CP, continuing with the amygdaloid fields. See Fig. 14, Swanson Atlas Levels 22-28.",Mihail Bota,"Cenquizca L.A. &... - Spatial organization of direct... (2007) , pp. 1-26"
Gustatory areas (GU),Caudoputamen (CP),strong,PHAL,"The medial pathway from the depressor site resulted in heavy labeling in the most ventral part of the caudateputamen (Figs. 8C,D, and 9B) bilaterally []. Collator note: Swanson Atlas Levels 16-20.",Mihail Bota,"Yasui Y, Breder CD,... - Autonomic responses and efferent... (1991) , pp. 355-377"
Infralimbic area (ILA),Caudoputamen (CP),strong,PHAL,"In the ventral putamen (Fig. 3A), smooth labelled fibers clustered together to form several fascicles. In addition to these bundles of labelled axons, a dense plexus of labelled fibers was also present throughout the ventral putamen. These fibers were of medium or fine caliber, were oriented in a medial to lateral direction, and exhibited numerous branch points and boutons along their lengths. Collator note: Fig. 3A corresponds to Swanson Atlas Levels 14-15 (lot as a fiducial point).",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Laterolateral visual area (VISll),Caudoputamen (CP),strong,PHAL,"Collator note: strong labeling of the ventral part of the caudalmost CP. See Fig. 21G-H, Swanson Atlas Levels 29-31.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Prelimbic area (PL),Caudoputamen (CP),strong,PHAL,"Collator note: strong terminal field only in the medial part of the CP. Some fibers go to BSTal and then continue in the SI. See fig 4E, page 229, which roughly corresponds to Swanson Atlas Level 16.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Prelimbic area (PL),Caudoputamen (CP),strong,radioactive aminoacids,"Collator note: the CP is labeled in a specific pattern, only in the rostromedial part. See Fig.2A, B, Swanson Atlas Levels 9-11.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Primary auditory area (AUDp),Caudoputamen (CP),strong,PHAL,"The caudal striatum was heavily labeled. Collator note: Fig 3a-b, Swanson Atlas Levels 27-31.",Mihail Bota,"Romanski LM & LeDoux... - Information cascade from primary... (1993) , pp. 515-532"
Primary motor area (MOp),Caudoputamen (CP),strong,radioactive aminoacids,"Collator note: specific labeling pattern in this level, in CP, a patch-like, in the dorso-lateral part of the CP. See Fig. 8D-E, Swanson Atlas Levels 13-16.",Mihail Bota,"Reep RL, Corwin JV,... - Efferent connections of the rostral... (1987) , pp. 203-21"
Retrosplenial area lateral agranular part (RSPagl),Caudoputamen (CP),strong,PHAL,"Strong projections from the RSPagl were found to the caudoputamen Fig. 5C. The densest terminal field was observed at septal levels in dorso12 parts of the nucleus, immediately adjacent to the lateral ventricle and corpus callosum, and a less dense projection was also found on the contralateral side. Collator note: strong terminal field in the dorso12 corner of the CP, along the lateral ventricle. Swanson Atlas Levels 11-27.",Mihail Bota,"Risold P.Y.,... - The structural organization of... (1997) , pp. 197-254"
Subiculum ventral part (SUBv),Caudoputamen (CP),strong,PHAL,a number of labeled fibers course dorsally to supply a dense terminal field to the caudalmost end of the central nucleus and adjacent regions of the caudoputamen (Fig. 3I-K). Collator note: the field is in the medial quadrant of the caudoventral CP. Swanson Atlas Levels 28-30.,Mihail Bota,"Canteras NS, Swanson... - Projections of the ventral subiculum to... (1992) , pp. 180-94"
Ventral temporal association areas (TEv),Caudoputamen (CP),strong,biocytin,"Collator note: strong terminal field in the ventral part of the caudal CP, extending into LA, and in the dorsal part of the BLAp. See Fig. 9C, Swanson Atlas Level 30.",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic and amygdaloid... (1997) , pp. 153-175"
