From,To,Strength,Technique,Description,Collator,Reference
Cortical nucleus of the amygdala posterior part medial zone (COApm),Bed nucleus of the accessory olfactory part (BA),very strong,PHAL,"Collator note: very strong labeling of the BA. See Fig. 6B, Swanson Atlas Levels 26-27.",Mihail Bota,"Kemppainen S.,... - Projections from the posterior cortical... (2002) , pp. 735-755"
Accessory olfactory bulb (AOB),Bed nucleus of the accessory olfactory part (BA),strong,biotinylated dextran amine (BDA),"Within the bed nucleus of the accessory olfactory tract and the anteroventral medial amygdaloid nucleus labeled fibers formed a dense plexus of terminal labeling in layer I,although fibers were also observed in layers II and III (Fig. 4G,H).",Mihail Bota,"Pro-Sistiaga P,... - Convergence of olfactory and... (2007) , pp. 346-362"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Bed nucleus of the accessory olfactory part (BA),strong,Fluorogold,"From the injection site, a massive contingent of fibers continues rostrally and seems to provide a heavy innervation to virtually all parts of the amygdala ventral to the central and basolateral nuclei. Collator note: Swanson Atlas Levels 22-24, Fig 8I-J.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Infralimbic area (ILA),Bed nucleus of the accessory olfactory part (BA),strong,PHAL,"The basolateral and lateral nuclei of the amygdala contained fewer labelled fibers than the adjacent cortical and medial nuclei (Fig. 3E,F). Collator note: the termination field in the rostral amygdala is particularly heavy from the external capsule-amygdalar capsule down to the optic tract. Figures 3C-F that include the amygdalar nuclei may correspond to Swanson Atlas Levels 24-30, but this mapping may be valid only to ventral half.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Postpiriform transition area (TR),Bed nucleus of the accessory olfactory part (BA),strong,PHAL,"Collator note: strong terminal field in the BA and MEAav. -1.7 mm from bregma, Swanson Atlas Level 26.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Nucleus of the lateral olfactory tract (NLOT),Bed nucleus of the accessory olfactory part (BA),moderate,autoradiography,"Collator note: uniform and moderate label in the amygdalar nuclei between NLOT and globus pallidus. See Fig. 15A, Swanson Atlas Levels 13-15.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Piriform area (PIR),Bed nucleus of the accessory olfactory part (BA),moderate,PHAL,"Collator note: moderate labeling in the BA. See Fig. 6B, Swanson Atlas Level 26.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Field CA1 (CA1),Bed nucleus of the accessory olfactory part (BA),moderate/weak,PHAL,"A few labeled axons from ventral field CA1 are observed in the bed nucleus of the accessory olfactory tract, layer 2 of the anterior cortical nucleus, layer 2 of the piriformamygdalar area, the posterior nucleus, and the ventral endopiriform nucleus (Fig",Mihail Bota,"Cenquizca L.A. &... - Spatial organization of direct... (2007) , pp. 1-26"
Basomedial nucleus of the amygdala anterior part (BMAa),Bed nucleus of the accessory olfactory part (BA),weak,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Bed nucleus of the accessory olfactory part (BA),weak,PHAL,The accessory basal nucleus projected lightly to the bed nucleus of the accessory olfactory tract (Table 1). Collator note: no figure available.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1996) , pp. 291-313"
