From,To,Strength,Technique,Description,Collator,Reference
Gustatory areas (GU),Central nucleus of amygdala lateral part (CEAl),very strong,biocytin,"In the central nucleus, the whole lateral subdivision (CL) was filled with labeled fibers and terminals (Fig. 6A). Collator note: very strong terminal field in the midrostrocaudal part of the CL (stria terminalis is present).",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Gustatory areas (GU),Central nucleus of amygdala lateral part (CEAl),very strong,biocytin,"In the central nucleus, the whole rostrocaudal extent of CL was filled with labeled fibers and terminals (Fig. 7AC).Collator note: very strong labeling of the CEAl, at least mid-rostrocaudally. See Fig. 7B, Swanson Atlas Levels 27-28.",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Gustatory areas (GU),Central nucleus of amygdala lateral part (CEAl),very strong,PHAL,"Collator note: very strong labeling of the CEAl. See Fig. 14B, Swanson Atlas Levels 27-28.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Infralimbic area (ILA),Central nucleus of amygdala lateral part (CEAl),very strong,PHAL,"Collator note: the termination field in the rostral amygdala is particularly heavy from the external capsule-amygdalar capsule down to the optic tract. Figures 3C-F that include the amygdalar nuclei may correspond to Swanson Atlas Levels 26-29, but this mapping may be valid only to ventral half.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Postpiriform transition area (TR),Central nucleus of amygdala lateral part (CEAl),very strong,PHAL,"The rostromedial part of the amygdalo-piriform transition area gave rise to a robust projection to the central nucleus (Table 1; Fig. 15D,E). The highest density of terminals was observed in the lateral and intermediate divisions of the central nucleus. Collator note: very strong terminal field in the CEAl, caudally. See Fig. 15D-E, Swanson Atlas Levels 26-28.",Mihail Bota,"Jolkkonen E.,... - Projections from the amygdalo-piriform... (2001) , pp. 440-465"
Postpiriform transition area (TR),Central nucleus of amygdala lateral part (CEAl),very strong,PHAL,"The terminal plexus in the central extended amygdala is particularly dense and encompasses all the divisions of the central nucleus []. Collator note: very strong terminal field in the CEA. See Fig. 1F, Swanson Atlas Levels 27-28.",Mihail Bota,"Shammah-Lagnado S.J.... - Projections of the amygdalopiriform... (1999) , pp. 650-660"
Agranular insular area posterior part (AIp),Central nucleus of amygdala lateral part (CEAl),strong,PHAL,"there was dense terminal innervation throughout the central nucleus (Figs. 5E and 6C,D). Collator note: Swanson Atlas Levels 26-27.",Mihail Bota,"Yasui Y, Breder CD,... - Autonomic responses and efferent... (1991) , pp. 355-377"
Gustatory areas (GU),Central nucleus of amygdala lateral part (CEAl),strong,HRP/WGA,"many labeled axons were observed to enter the caudate-putamen via the external capsule (Fig. 5B). These labeled fibers were divided into two groups; one group ran ventrally in the caudateputamen to terminate in the FStr, CeL, CeM, and rostrodorsal part of the La. Collator note: strong labeling of the caudal CEAl. See Fig. 5D, Swanson Atlas Levels 27-29.",Mihail Bota,"Nakashima M, Uemura... - An anterograde and retrograde... (2000) , pp. 297-309"
Postpiriform transition area (TR),Central nucleus of amygdala lateral part (CEAl),strong,PHAL,"Collator note: strong labeling in the lateral part of the CEA. -2.0 mm from bregma, Swanson Atlas Level 27.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Subiculum ventral part (SUBv),Central nucleus of amygdala lateral part (CEAl),strong,PHAL,a number of labeled fibers course dorsally to supply a dense terminal field to the caudalmost end of the central nucleus and adjacent regions of the caudoputamen (Fig. 3I-K). Collator note: Swanson Atlas Levels 28-30.,Mihail Bota,"Canteras NS, Swanson... - Projections of the ventral subiculum to... (1992) , pp. 180-94"
Gustatory areas (GU),Central nucleus of amygdala lateral part (CEAl),very strong,biocytin,"In the central nucleus, the whole lateral subdivision (CL) was filled with labeled fibers and terminals (Fig. 6A). Collator note: very strong terminal field in the midrostrocaudal part of the CL (stria terminalis is present).",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Gustatory areas (GU),Central nucleus of amygdala lateral part (CEAl),very strong,biocytin,"In the central nucleus, the whole rostrocaudal extent of CL was filled with labeled fibers and terminals (Fig. 7AC).Collator note: very strong labeling of the CEAl, at least mid-rostrocaudally. See Fig. 7B, Swanson Atlas Levels 27-28.",Mihail Bota,"Shi C.J & Cassell... - Cortical, thalamic, and amygdaloid... (1998) , pp. 440-468"
Gustatory areas (GU),Central nucleus of amygdala lateral part (CEAl),very strong,PHAL,"Collator note: very strong labeling of the CEAl. See Fig. 14B, Swanson Atlas Levels 27-28.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Infralimbic area (ILA),Central nucleus of amygdala lateral part (CEAl),very strong,PHAL,"Collator note: the termination field in the rostral amygdala is particularly heavy from the external capsule-amygdalar capsule down to the optic tract. Figures 3C-F that include the amygdalar nuclei may correspond to Swanson Atlas Levels 26-29, but this mapping may be valid only to ventral half.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Postpiriform transition area (TR),Central nucleus of amygdala lateral part (CEAl),very strong,PHAL,"The rostromedial part of the amygdalo-piriform transition area gave rise to a robust projection to the central nucleus (Table 1; Fig. 15D,E). The highest density of terminals was observed in the lateral and intermediate divisions of the central nucleus. Collator note: very strong terminal field in the CEAl, caudally. See Fig. 15D-E, Swanson Atlas Levels 26-28.",Mihail Bota,"Jolkkonen E.,... - Projections from the amygdalo-piriform... (2001) , pp. 440-465"
