From,To,Strength,Technique,Description,Collator,Reference
Agranular insular area posterior part (AIp),Fundus of the striatum (FS),strong,PHAL,"dense termination in the fundus of the striatum (Fig. 5C,D). Collator note: Swanson Atlas Levels 15-19.",Mihail Bota,"Yasui Y, Breder CD,... - Autonomic responses and efferent... (1991) , pp. 355-377"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Fundus of the striatum (FS),strong,PHAL,"...a dense terminal field in medial regions of the striatal fundus (Figs. 4D-G, 5A,B) that have been referred to as the medial part of the interstitial nucleus of the posterior limb of the anterior commissure (see Shammah-Lagnado et al., 1999, 2001).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Gustatory areas (GU),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong terminal field in the FS, Fig. 14A, Swanson Atlas Levels 19.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Gustatory areas (GU),Fundus of the striatum (FS),strong,HRP/WGA,"many labeled axons were observed to enter the caudate-putamen via the external capsule (Fig. 5B). These labeled fibers were divided into two groups; one group ran ventrally in the caudateputamen to terminate in the FStr, CeL, CeM, and rostrodorsal part of the La. Collator note: strong labeling of the caudal FS. See Fig. 5B-C, Swanson Atlas Levels 20-22.",Mihail Bota,"Nakashima M, Uemura... - An anterograde and retrograde... (2000) , pp. 297-309"
Perirhinal area (PERI),Fundus of the striatum (FS),strong,PHAL,"[] the entire nucleus accumbens displayed dense fiber labelling as did the fundus of the striatum (Fig. 6C) and the lateral border of the head and body of the caudate nucleus. Collator note: Fig. 4D-E, Swanson Atlas Levels 10-16.",Mihail Bota,"McIntyre D.C, Kelly... - Efferent projections of the anterior... (1996) , pp. 302-318"
Postpiriform transition area (TR),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong labeling in the fundus of the striatum. 0.00 mm from bregma, Swanson Atlas Level 17.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Visceral area (VISC),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong labeling of the FS, Swanson Atlas Levels 19-22.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Infralimbic area (ILA),Fundus of the striatum (FS),moderate/strong,PHAL,"Collator note: moderate field in the FS (IPAC), Fig 3B, Swanson Atlas Level 22.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Orbital area medial part (ORBm),Fundus of the striatum (FS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Agranular insular area dorsal part (AId),Fundus of the striatum (FS),moderate,PHAL,"Case pg573, fig9. Soma notes PHA-L inj. Terminal notes dense plexus covers FS.",Gully Burns,"Gaykema RP, van... - Prefrontal cortical projections to the... (1991) , pp. 563-83"
Agranular insular area posterior part (AIp),Fundus of the striatum (FS),strong,PHAL,"dense termination in the fundus of the striatum (Fig. 5C,D). Collator note: Swanson Atlas Levels 15-19.",Mihail Bota,"Yasui Y, Breder CD,... - Autonomic responses and efferent... (1991) , pp. 355-377"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Fundus of the striatum (FS),strong,PHAL,"...a dense terminal field in medial regions of the striatal fundus (Figs. 4D-G, 5A,B) that have been referred to as the medial part of the interstitial nucleus of the posterior limb of the anterior commissure (see Shammah-Lagnado et al., 1999, 2001).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Gustatory areas (GU),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong terminal field in the FS, Fig. 14A, Swanson Atlas Levels 19.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Gustatory areas (GU),Fundus of the striatum (FS),strong,HRP/WGA,"many labeled axons were observed to enter the caudate-putamen via the external capsule (Fig. 5B). These labeled fibers were divided into two groups; one group ran ventrally in the caudateputamen to terminate in the FStr, CeL, CeM, and rostrodorsal part of the La. Collator note: strong labeling of the caudal FS. See Fig. 5B-C, Swanson Atlas Levels 20-22.",Mihail Bota,"Nakashima M, Uemura... - An anterograde and retrograde... (2000) , pp. 297-309"
Perirhinal area (PERI),Fundus of the striatum (FS),strong,PHAL,"[] the entire nucleus accumbens displayed dense fiber labelling as did the fundus of the striatum (Fig. 6C) and the lateral border of the head and body of the caudate nucleus. Collator note: Fig. 4D-E, Swanson Atlas Levels 10-16.",Mihail Bota,"McIntyre D.C, Kelly... - Efferent projections of the anterior... (1996) , pp. 302-318"
Postpiriform transition area (TR),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong labeling in the fundus of the striatum. 0.00 mm from bregma, Swanson Atlas Level 17.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Visceral area (VISC),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong labeling of the FS, Swanson Atlas Levels 19-22.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Infralimbic area (ILA),Fundus of the striatum (FS),moderate/strong,PHAL,"Collator note: moderate field in the FS (IPAC), Fig 3B, Swanson Atlas Level 22.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Orbital area medial part (ORBm),Fundus of the striatum (FS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Agranular insular area dorsal part (AId),Fundus of the striatum (FS),moderate,PHAL,"Case pg573, fig9. Soma notes PHA-L inj. Terminal notes dense plexus covers FS.",Gully Burns,"Gaykema RP, van... - Prefrontal cortical projections to the... (1991) , pp. 563-83"
Agranular insular area posterior part (AIp),Fundus of the striatum (FS),strong,PHAL,"dense termination in the fundus of the striatum (Fig. 5C,D). Collator note: Swanson Atlas Levels 15-19.",Mihail Bota,"Yasui Y, Breder CD,... - Autonomic responses and efferent... (1991) , pp. 355-377"
Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh),Fundus of the striatum (FS),strong,PHAL,"...a dense terminal field in medial regions of the striatal fundus (Figs. 4D-G, 5A,B) that have been referred to as the medial part of the interstitial nucleus of the posterior limb of the anterior commissure (see Shammah-Lagnado et al., 1999, 2001).",Mihail Bota,"Dong H-W., Swanson... - Projections from the rhomboid nucleus of... (2004) , pp. 434-472"
Gustatory areas (GU),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong terminal field in the FS, Fig. 14A, Swanson Atlas Levels 19.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Gustatory areas (GU),Fundus of the striatum (FS),strong,HRP/WGA,"many labeled axons were observed to enter the caudate-putamen via the external capsule (Fig. 5B). These labeled fibers were divided into two groups; one group ran ventrally in the caudateputamen to terminate in the FStr, CeL, CeM, and rostrodorsal part of the La. Collator note: strong labeling of the caudal FS. See Fig. 5B-C, Swanson Atlas Levels 20-22.",Mihail Bota,"Nakashima M, Uemura... - An anterograde and retrograde... (2000) , pp. 297-309"
Perirhinal area (PERI),Fundus of the striatum (FS),strong,PHAL,"[] the entire nucleus accumbens displayed dense fiber labelling as did the fundus of the striatum (Fig. 6C) and the lateral border of the head and body of the caudate nucleus. Collator note: Fig. 4D-E, Swanson Atlas Levels 10-16.",Mihail Bota,"McIntyre D.C, Kelly... - Efferent projections of the anterior... (1996) , pp. 302-318"
Postpiriform transition area (TR),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong labeling in the fundus of the striatum. 0.00 mm from bregma, Swanson Atlas Level 17.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Visceral area (VISC),Fundus of the striatum (FS),strong,PHAL,"Collator note: strong labeling of the FS, Swanson Atlas Levels 19-22.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Infralimbic area (ILA),Fundus of the striatum (FS),moderate/strong,PHAL,"Collator note: moderate field in the FS (IPAC), Fig 3B, Swanson Atlas Level 22.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Orbital area medial part (ORBm),Fundus of the striatum (FS),moderate/strong,PHAL,"Collator note: Figures 3G-I, a band of fibers in the medial part of the brain, running parallel with the medial border, dorso-ventrally, but only in the rostral part of the brain. The fibers end into the SI and OT. All regions in these sections appear to",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Agranular insular area dorsal part (AId),Fundus of the striatum (FS),moderate,PHAL,"Case pg573, fig9. Soma notes PHA-L inj. Terminal notes dense plexus covers FS.",Gully Burns,"Gaykema RP, van... - Prefrontal cortical projections to the... (1991) , pp. 563-83"
