From,To,Strength,Technique,Description,Collator,Reference
Anterior cingulate area ventral part (ACAv),Globus pallidus medial segment (GPm),strong,radioactive aminoacids,"Collator note: distinct terminal field in the ventro-caudal part of the GPm, just below of the internal capsule. See Fig. 4D-E, Swanson Atlas Levels 24-28.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Anterior cingulate area ventral part (ACAv),Globus pallidus medial segment (GPm),strong,radioactive aminoacids,"Collator note: strong terminal field in the caudal part of the GP. Mapped here in the GPm. See Fig. 5C-D, Swanson Atlas Levels 24-28.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Prelimbic area (PL),Globus pallidus medial segment (GPm),strong,radioactive aminoacids,"Collator note: strong terminal field in the caudal part of the GP. Mapped here in the GPm. See Fig. 2D-E, Swanson Atlas Levels 26-29.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Anterior cingulate area ventral part (ACAv),Globus pallidus medial segment (GPm),moderate,autoradiography,"Case fig4, obs. Soma notes 3H A.A. inj.. Terminal notes dense.",Gully Burns,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Anterior cingulate area ventral part (ACAv),Globus pallidus medial segment (GPm),weak,autoradiography,"Case fig5, obs. Soma notes 3H A.A. inj. into posterior ACA. Terminal notes not specified..",Gully Burns,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Anterior hypothalamic central part (AHNc),Globus pallidus medial segment (GPm),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Globus pallidus medial segment (GPm),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Globus pallidus medial segment (GPm),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Globus pallidus medial segment (GPm),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Globus pallidus medial segment (GPm),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
