From,To,Strength,Technique,Description,Collator,Reference
Globus pallidus medial segment (GPm),Caudoputamen (CP),moderate,HRP/WGA,"Case pg195, fig3. Soma notes In all cases, numerous labeled perikarya found in ipsi caudate putamen. Only part of CP rostal to cross-over of anterior commisure contained labeled neurons. Dorsal EP injs: dorsal CP label. Ventral EP injs: ventral CP label. Dorsal Injs denser label.. Terminal notes Inj sites of WGA-HRP placed in different subregions of EP --entopeduncular nucleus-- ?5 rats injected in dorsal EP, 4 rats had injs placed in ventral part..",Gully Burns,"Fink-Jensen A,... - The striato-entopeduncular pathway in... (1989) , pp. 194-8"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA).",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate/weak,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA). Collator note: a band of neurons that crosses ventrodorsally the GPe, in its medial part. This band is continuous with the labeled neurons in SI and MA. See Fig. 1 J, K, which correspond to Swanson Atlas Levels 22-25.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus (GP),Substantia nigra (SN),exists,HRP/WGA,"Case pg288, fig 2. Soma notes WGA-HRP inj. Terminal notes not specified..",Gully Burns,"Gerfen CR, Staines... - Crossed connections of the substantia... (1982) , pp. 283-303"
Globus pallidus (GP),Tuberomammillary nucleus (TM),exists,fluorescent tracers,"after excluding projections described in Swanson Brain Res. Bull. 9:321-353, 1982",Larry Swanson,"Kohler C., Swanson... - The cytoarchitecture, histochemistry and... (1985) , pp. 85-110"
Globus pallidus lateral segment (GPl),Pedunculopontine nucleus (PPN),exists,True Blue,"Collator note: repeats not included from Swanson, Mogenson, Gerfen, & Robinson Brain Res. 295:161-178, 1984",Larry Swanson,"Swanson L.W.,... - Anatomical and electrophysiological... (1987) , pp. 108-22"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus internal segment (GPi),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus medial segment (GPm),Caudoputamen (CP),moderate,HRP/WGA,"Case pg195, fig3. Soma notes In all cases, numerous labeled perikarya found in ipsi caudate putamen. Only part of CP rostal to cross-over of anterior commisure contained labeled neurons. Dorsal EP injs: dorsal CP label. Ventral EP injs: ventral CP label. Dorsal Injs denser label.. Terminal notes Inj sites of WGA-HRP placed in different subregions of EP --entopeduncular nucleus-- ?5 rats injected in dorsal EP, 4 rats had injs placed in ventral part..",Gully Burns,"Fink-Jensen A,... - The striato-entopeduncular pathway in... (1989) , pp. 194-8"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA).",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate/weak,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA). Collator note: a band of neurons that crosses ventrodorsally the GPe, in its medial part. This band is continuous with the labeled neurons in SI and MA. See Fig. 1 J, K, which correspond to Swanson Atlas Levels 22-25.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus (GP),Substantia nigra (SN),exists,HRP/WGA,"Case pg288, fig 2. Soma notes WGA-HRP inj. Terminal notes not specified..",Gully Burns,"Gerfen CR, Staines... - Crossed connections of the substantia... (1982) , pp. 283-303"
Globus pallidus (GP),Tuberomammillary nucleus (TM),exists,fluorescent tracers,"after excluding projections described in Swanson Brain Res. Bull. 9:321-353, 1982",Larry Swanson,"Kohler C., Swanson... - The cytoarchitecture, histochemistry and... (1985) , pp. 85-110"
Globus pallidus lateral segment (GPl),Pedunculopontine nucleus (PPN),exists,True Blue,"Collator note: repeats not included from Swanson, Mogenson, Gerfen, & Robinson Brain Res. 295:161-178, 1984",Larry Swanson,"Swanson L.W.,... - Anatomical and electrophysiological... (1987) , pp. 108-22"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus internal segment (GPi),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus medial segment (GPm),Caudoputamen (CP),moderate,HRP/WGA,"Case pg195, fig3. Soma notes In all cases, numerous labeled perikarya found in ipsi caudate putamen. Only part of CP rostal to cross-over of anterior commisure contained labeled neurons. Dorsal EP injs: dorsal CP label. Ventral EP injs: ventral CP label. Dorsal Injs denser label.. Terminal notes Inj sites of WGA-HRP placed in different subregions of EP --entopeduncular nucleus-- ?5 rats injected in dorsal EP, 4 rats had injs placed in ventral part..",Gully Burns,"Fink-Jensen A,... - The striato-entopeduncular pathway in... (1989) , pp. 194-8"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA).",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate/weak,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA). Collator note: a band of neurons that crosses ventrodorsally the GPe, in its medial part. This band is continuous with the labeled neurons in SI and MA. See Fig. 1 J, K, which correspond to Swanson Atlas Levels 22-25.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus (GP),Substantia nigra (SN),exists,HRP/WGA,"Case pg288, fig 2. Soma notes WGA-HRP inj. Terminal notes not specified..",Gully Burns,"Gerfen CR, Staines... - Crossed connections of the substantia... (1982) , pp. 283-303"
Globus pallidus (GP),Tuberomammillary nucleus (TM),exists,fluorescent tracers,"after excluding projections described in Swanson Brain Res. Bull. 9:321-353, 1982",Larry Swanson,"Kohler C., Swanson... - The cytoarchitecture, histochemistry and... (1985) , pp. 85-110"
Globus pallidus lateral segment (GPl),Pedunculopontine nucleus (PPN),exists,True Blue,"Collator note: repeats not included from Swanson, Mogenson, Gerfen, & Robinson Brain Res. 295:161-178, 1984",Larry Swanson,"Swanson L.W.,... - Anatomical and electrophysiological... (1987) , pp. 108-22"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus internal segment (GPi),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus medial segment (GPm),Caudoputamen (CP),moderate,HRP/WGA,"Case pg195, fig3. Soma notes In all cases, numerous labeled perikarya found in ipsi caudate putamen. Only part of CP rostal to cross-over of anterior commisure contained labeled neurons. Dorsal EP injs: dorsal CP label. Ventral EP injs: ventral CP label. Dorsal Injs denser label.. Terminal notes Inj sites of WGA-HRP placed in different subregions of EP --entopeduncular nucleus-- ?5 rats injected in dorsal EP, 4 rats had injs placed in ventral part..",Gully Burns,"Fink-Jensen A,... - The striato-entopeduncular pathway in... (1989) , pp. 194-8"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA).",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate/weak,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA). Collator note: a band of neurons that crosses ventrodorsally the GPe, in its medial part. This band is continuous with the labeled neurons in SI and MA. See Fig. 1 J, K, which correspond to Swanson Atlas Levels 22-25.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus (GP),Substantia nigra (SN),exists,HRP/WGA,"Case pg288, fig 2. Soma notes WGA-HRP inj. Terminal notes not specified..",Gully Burns,"Gerfen CR, Staines... - Crossed connections of the substantia... (1982) , pp. 283-303"
Globus pallidus (GP),Tuberomammillary nucleus (TM),exists,fluorescent tracers,"after excluding projections described in Swanson Brain Res. Bull. 9:321-353, 1982",Larry Swanson,"Kohler C., Swanson... - The cytoarchitecture, histochemistry and... (1985) , pp. 85-110"
Globus pallidus lateral segment (GPl),Pedunculopontine nucleus (PPN),exists,True Blue,"Collator note: repeats not included from Swanson, Mogenson, Gerfen, & Robinson Brain Res. 295:161-178, 1984",Larry Swanson,"Swanson L.W.,... - Anatomical and electrophysiological... (1987) , pp. 108-22"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus external segment (GPe),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Globus pallidus internal segment (GPi),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
