From,To,Strength,Technique,Description,Collator,Reference
Nucleus of the lateral olfactory tract (NLOT),Islands of Calleja (isl),very strong,autoradiography,"Collator note: very strong and specific labeling of islands of Calleja. See Fig. 15A, Swanson Atlas Levels 13-15.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Orbital area ventral part (ORBv),Islands of Calleja (isl),very strong,PHAL,"Additional labeled sites were [.] the medial-ventromedial striatum, and DBv.",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Prelimbic area (PL),Islands of Calleja (isl),strong,radioactive aminoacids,"Collator note: Fig 2A-B, Swanson Atlas Level 9-11.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Anterior olfactory nucleus posteroventral part (AONpv),Islands of Calleja (isl),moderate,autoradiography,"Collator note: continuous label in the medial-ventral part of the level, covering all regions from TTd to the AIv. See Fig 2C, which corresponds to Swanson Atlas Levels 10-11.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Cortical nucleus of the amygdala posterior part lateral zone (COApl),Islands of Calleja (isl),moderate,PHAL,"Rostrally, labeled fibers were distributed along the medial olfactory tubercle, particularly in layers II and III and surrounding the medial islands of Calleja (Fig. 2BD).",Mihail Bota,"Ubeda-Banon I,... - Projections from the posterolateral... (2007) , pp. 103"
Cortical nucleus of the amygdala posterior part lateral zone (COApl),Islands of Calleja (isl),moderate,PHAL,"More caudally, the pattern of labeling was similar in the medial olfactory tubercle and islands of calleja (Fig. 2E,F).",Mihail Bota,"Ubeda-Banon I,... - Projections from the posterolateral... (2007) , pp. 103"
Piriform area (PIR),Islands of Calleja (isl),moderate,autoradiography,Collator note: labeling in the SI and isl.,Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Prelimbic area (PL),Islands of Calleja (isl),moderate,PHAL,"Collator note: terminations both in OT, all layers, and in islands of Calleja. See fig 4C, page 229, which roughly corresponds to Swanson Atlas Level 10.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Taenia tecta ventral part (TTv),Islands of Calleja (isl),moderate,autoradiography,"Collator note: see Figure 12D, mapped here as Swanson Atlas Levels 11-12.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Piriform area (PIR),Islands of Calleja (isl),moderate/weak,autoradiography,"Collator note: label distributed in the regions dorsal to the OT, mapped here as the islands of Calleja. See Fig 5D, Swanson Atlas Levels 10-11.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Nucleus of the lateral olfactory tract (NLOT),Islands of Calleja (isl),very strong,autoradiography,"Collator note: very strong and specific labeling of islands of Calleja. See Fig. 15A, Swanson Atlas Levels 13-15.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Orbital area ventral part (ORBv),Islands of Calleja (isl),very strong,PHAL,"Additional labeled sites were [.] the medial-ventromedial striatum, and DBv.",Mihail Bota,"Hoover W.B & Vertes... - Projections of the medial orbital and... (2011) , pp. 3766-3801"
Prelimbic area (PL),Islands of Calleja (isl),strong,radioactive aminoacids,"Collator note: Fig 2A-B, Swanson Atlas Level 9-11.",Mihail Bota,"Beckstead RM. - An autoradiographic examination of... (1979) , pp. 43-62"
Anterior olfactory nucleus posteroventral part (AONpv),Islands of Calleja (isl),moderate,autoradiography,"Collator note: continuous label in the medial-ventral part of the level, covering all regions from TTd to the AIv. See Fig 2C, which corresponds to Swanson Atlas Levels 10-11.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
