From,To,Strength,Technique,Description,Collator,Reference
Islands of Calleja (isl),Anterior olfactory nucleus (AON),exists,HRP,Case pg781. Soma notes not specified.. Terminal notes HRP inj.,Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Dorsal nucleus raphe (DR),exists,HRP,"Case pg781, fig3. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Lateral hypothalamic area (LHA),exists,HRP,"Case pg781, fig3. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Lateral hypothalamic area (LHA),exists,HRP,"Case pg781, 7C,7D,8c,10F. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Main olfactory bulb (MOB),exists,HRP,Case pg781. Soma notes not specified.. Terminal notes HRP inj.,Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Medial mammillary nucleus (MM),exists,HRP,"Case pg781, fig7E,8A. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Periaqueductal gray (PAG),exists,HRP,"Case pg777, fig3B. Soma notes ventral pallidum dorsal and lateral to the in-site. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Supramammillary nucleus (SUM),exists,HRP,"Case pg781, fig3. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Ventral tegmental area (VTA),exists,HRP,"Case pg781, fig3. Soma notes nucleus gemini, obs from fig3E and plate 39 in Swanson92. AND rep as VTA separately. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Ventral tegmental area (VTA),exists,HRP,"Case pg781, fig7E,10E. Soma notes not specified.. Terminal notes HRP inj into nulceus gemini and separate injections into VTA.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Anterior olfactory nucleus (AON),exists,HRP,Case pg781. Soma notes not specified.. Terminal notes HRP inj.,Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Dorsal nucleus raphe (DR),exists,HRP,"Case pg781, fig3. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Lateral hypothalamic area (LHA),exists,HRP,"Case pg781, fig3. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Lateral hypothalamic area (LHA),exists,HRP,"Case pg781, 7C,7D,8c,10F. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Main olfactory bulb (MOB),exists,HRP,Case pg781. Soma notes not specified.. Terminal notes HRP inj.,Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Medial mammillary nucleus (MM),exists,HRP,"Case pg781, fig7E,8A. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Periaqueductal gray (PAG),exists,HRP,"Case pg777, fig3B. Soma notes ventral pallidum dorsal and lateral to the in-site. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Supramammillary nucleus (SUM),exists,HRP,"Case pg781, fig3. Soma notes not specified.. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
Islands of Calleja (isl),Ventral tegmental area (VTA),exists,HRP,"Case pg781, fig3. Soma notes nucleus gemini, obs from fig3E and plate 39 in Swanson92. AND rep as VTA separately. Terminal notes HRP inj.",Gully Burns,"Fallon JH. - The islands of Calleja complex of rat... (1983) , pp. 775-93"
