From,To,Strength,Technique,Description,Collator,Reference
Magnocellular preoptic nucleus (MA),Main olfactory bulb (MOB),moderate,fluorescent tracers,"Case pg757, table1, fig4,5. Soma notes medial aspects. Terminal notes fluor. inj.",Gully Burns,"Woolf NJ, Eckenstein... - Cholinergic systems in the rat brain: I.... (1984) , pp. 751-84"
Magnocellular preoptic nucleus (MA),Orbital area medial part (ORBm),moderate,retrograde tracers,"Collator note: labeling in HDB, which is mapped here as MA. See Fig. 1D, Swanson Atlas Levels 21-22.",Mihail Bota,"Reep R.L., Corwin... - Neuronal connections of orbital cortex... (1996) , pp. 215-232"
Magnocellular preoptic nucleus (MA),Periaqueductal gray (PAG),moderate,HRP,Case table2. Soma notes not specified.. Terminal notes HRP inj.,Gully Burns,"Beitz AJ. - The organization of afferent projections... (1982) , pp. 133-59"
Magnocellular preoptic nucleus (MA),Secondary motor area (MOs),moderate,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA).",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Magnocellular preoptic nucleus (MA),Anterior cingulate area dorsal part (ACAd),moderate/weak,Fluorogold,Light to moderate numbers of labeled neurons were also present in MA.,Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Magnocellular preoptic nucleus (MA),Perirhinal area (PERI),moderate/weak,retrograde tracers,"Collator note: labeled neurons in the basal forebrain, NDB and MA. See Fig. 9C, Swanson Atlas Level 19.",Mihail Bota,"Burwell R.D. &... - Cortical afferents of the perirhinal,... (1998) , pp. 179-205"
Magnocellular preoptic nucleus (MA),Posterior parietal association areas (PTLp),moderate/weak,Fluorogold,"Collator note: few cells in the NDB or in the MA. See Fig. 2B, Swanson Atlas Levels 15-16.",Mihail Bota,"Reep R.L., Chandler... - Rat posterior parietal cortex:... (1994) , pp. 67-84"
Magnocellular preoptic nucleus (MA),Anterior cingulate area (ACA),weak,fluorescent tracers,"Case pg767, table7. Soma notes various regions of the BFCS (basal forebrain cholinergic system) magnocellular preoptic area, (1-10 somata in a 40u thick section). Terminal notes fluorescent tracer injections (30% solution of Evans Blue, 20% solution of Propidium iodide.) into anterior cingulate area.",Gully Burns,"Woolf NJ, Eckenstein... - Cholinergic systems in the rat brain: I.... (1984) , pp. 751-84"
Magnocellular preoptic nucleus (MA),Piriform area (PIR),weak,fluorescent tracers,"Case pg765, table5. Soma notes basal cholinnergic system. Terminal notes fluor. inj.",Gully Burns,"Woolf NJ, Eckenstein... - Cholinergic systems in the rat brain: I.... (1984) , pp. 751-84"
Magnocellular preoptic nucleus (MA),Retrosplenial area (RSP),weak,fluorescent tracers,"Case pg767, table7. Soma notes various regions of the BFCS (basal forebrain cholinergic system) magnocellular preoptic area, (1-10 somata in a 40u thick section). Terminal notes fluorescent tracer injections (30% solution of Evans Blue, 20% solution of Propidium iodide.) into posterior cingulate area.",Gully Burns,"Woolf NJ, Eckenstein... - Cholinergic systems in the rat brain: I.... (1984) , pp. 751-84"
Magnocellular preoptic nucleus (MA),Main olfactory bulb (MOB),moderate,fluorescent tracers,"Case pg757, table1, fig4,5. Soma notes medial aspects. Terminal notes fluor. inj.",Gully Burns,"Woolf NJ, Eckenstein... - Cholinergic systems in the rat brain: I.... (1984) , pp. 751-84"
Magnocellular preoptic nucleus (MA),Orbital area medial part (ORBm),moderate,retrograde tracers,"Collator note: labeling in HDB, which is mapped here as MA. See Fig. 1D, Swanson Atlas Levels 21-22.",Mihail Bota,"Reep R.L., Corwin... - Neuronal connections of orbital cortex... (1996) , pp. 215-232"
