From,To,Strength,Technique,Description,Collator,Reference
Nucleus of the lateral olfactory tract (NLOT),Major island of Calleja (islm),moderate,autoradiography,"Collator note: moderate labeling of the islm. See Fig. 15A, Swanson Atlas Levels 13-15.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
Prelimbic area (PL),Major island of Calleja (islm),moderate/weak,PHAL,"Collator note: fibers and terminal fields in the medial regions: SH, NDB, islands of the Calleja. Their direction seem to be towards the olfactory tubercle. See fig 4D, page 229, which roughly corresponds to Swanson Atlas Level 13.",Mihail Bota,"Sesack SR, Deutch... - Topographical organization of the... (1989) , pp. 213-42"
Anterior hypothalamic central part (AHNc),Major island of Calleja (islm),does not exist,PHAL,"Collator note: AHNc does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic nucleus anterior part (AHNa),Major island of Calleja (islm),does not exist,PHAL,"Collator note: AHNa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Anterior hypothalamic posterior part (AHNp),Major island of Calleja (islm),does not exist,PHAL,"Collator note: AHNp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y.,... - Organization of projections from the... (1994) , pp. 1-40"
Basomedial nucleus of the amygdala anterior part (BMAa),Major island of Calleja (islm),does not exist,PHAL,"Collator note: BMAa does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Basomedial nucleus of the amygdala posterior part (BMAp),Major island of Calleja (islm),does not exist,PHAL,"Collator note: BMAp does not project to this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus (BSTdm),Major island of Calleja (islm),does not exist,PHAL,"Collator note: this connection is considered to be non-existent, because all of the atlas levels were inspected.",Mihail Bota,Dong H. & Swanson... - Projections from bed nuclei of the stria... (2005)
Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu),Major island of Calleja (islm),does not exist,PHAL,Collator note: this projection was considered to be non-existent after the inspection of all levels from Swanson Atlas 1998,Mihail Bota,"Dong HW, Petrovich... - Basic organization of projections from... (2001) , pp. 430-55"
Bed nuclei of the stria terminalis anterior division magnocellular nucleus (BSTmg),Major island of Calleja (islm),does not exist,PHAL,"Collator note: this connection is considered to be non-existent, because all of the atlas levels were inspected.",Mihail Bota,Dong H. & Swanson... - Projections from bed nuclei of the stria... (2005)
Nucleus of the lateral olfactory tract (NLOT),Major island of Calleja (islm),moderate,autoradiography,"Collator note: moderate labeling of the islm. See Fig. 15A, Swanson Atlas Levels 13-15.",Mihail Bota,"Luskin M.B & Price... - The topographic organization of... (1983) , pp. 264-291"
