From,To,Strength,Technique,Description,Collator,Reference
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala anterodorsal part (MEAad),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Infralimbic area (ILA),Medial nucleus of the amygdala anterodorsal part (MEAad),very strong,PHAL,"Collator note: the termination field in the rostral amygdala is particularly heavy from the external capsule-amygdalar capsule down to the optic tract. Figures 3C-F that include the amygdalar nuclei may correspond to Swanson Atlas Levels 26-29, but this mapping may be valid only to ventral half.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala anterodorsal part (MEAad),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division interfascicular nucleus (BSTif),Medial nucleus of the amygdala anterodorsal part (MEAad),strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division interfascicular nucleus (BSTif),Medial nucleus of the amygdala anterodorsal part (MEAad),strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division transverse nucleus (BSTtr),Medial nucleus of the amygdala anterodorsal part (MEAad),strong,PHAL,"Numerous BSTtr axons course through the caudal substantia innominata (in the ansa peduncularis) to enter the medial and capsular parts of the central amygdalar nucleus and the anterodorsal part of the medial amygdalar nucleus (Fig. 6IO). All along the way, these fibers branch and generate abundant boutons, indicating that the BSTtr innervates densely all three regions.",Mihail Bota,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala anterior part (COAa),Medial nucleus of the amygdala anterodorsal part (MEAad),strong,PHAL,earlier: see Kevetter & Winans 197:99 1981 hamster; Ottersen JCN 205:30 82 rat retrograde HRP,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Infralimbic area (ILA),Medial nucleus of the amygdala anterodorsal part (MEAad),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAa regions, strong labeling in all layers, rostrocaudally. Fig. 3B-C, Swanson Atlas Levels 25-28 (-1.8 - -2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala anterodorsal part (MEAad),strong,Fluorogold,"Proceeding rostrally, the number of labeled sons in the MEA decreases gradually and they are located especially in the anterodorsal part of the nucleus, although a few labeled fibers are also found in the immediate vicinity of the MEA, as well as in the central nucleus of the amygdala (Fig. 6H-J). Collator note: Swanson Atlas Levels 24-27.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Postpiriform transition area (TR),Medial nucleus of the amygdala anterodorsal part (MEAad),strong,PHAL,"Collator note: strong terminal field in the MEAad. -1.7 mm from bregma, Swanson Atlas Level 26.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
