From,To,Strength,Technique,Description,Collator,Reference
Infralimbic area (ILA),Medial nucleus of the amygdala anteroventral part (MEAav),very strong,PHAL,"Collator note: the termination field in the rostral amygdala is particularly heavy from the external capsule-amygdalar capsule down to the optic tract. Figures 3C-F that include the amygdalar nuclei may correspond to Swanson Atlas Levels 26-29, but this mapping may be valid only to ventral half.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Accessory olfactory bulb (AOB),Medial nucleus of the amygdala anteroventral part (MEAav),strong,biotinylated dextran amine (BDA),"Within the bed nucleus of the accessory olfactory tract and the anteroventral medial amygdaloid nucleus labeled fibers formed a dense plexus of terminal labeling in layer I,although fibers were also observed in layers II and III (Fig. 4G,H).",Mihail Bota,"Pro-Sistiaga P,... - Convergence of olfactory and... (2007) , pp. 346-362"
Basomedial nucleus of the amygdala anterior part (BMAa),Medial nucleus of the amygdala anteroventral part (MEAav),strong,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala anteroventral part (MEAav),strong,PHAL,"Collator note: strong and moderate of the MEAav and MEAad, respectively. See Fig. 6B, Swanson Atlas Levels 26-27.",Mihail Bota,"Kemppainen S.,... - Projections from the posterior cortical... (2002) , pp. 735-755"
Infralimbic area (ILA),Medial nucleus of the amygdala anteroventral part (MEAav),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAa regions, strong labeling in all layers, rostrocaudally. Fig. 3B-C, Swanson Atlas Levels 25-28 (-1.8 - -2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Postpiriform transition area (TR),Medial nucleus of the amygdala anteroventral part (MEAav),strong,PHAL,"Collator note: strong terminal field in the BA and MEAav. -1.7 mm from bregma, Swanson Atlas Level 26.",Mihail Bota,"McDonald A.J.,... - Cortical afferents to the extended... (1999) , pp. 309-338"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala anteroventral part (MEAav),moderate,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Main olfactory bulb (MOB),Medial nucleus of the amygdala anteroventral part (MEAav),moderate,biotinylated dextran amine (BDA),"this tract became thinner in the most superficial portion of the bed nucleus of the accessory olfactory tract and anteroventral medial amygdaloid nucleus (Fig. 1G). Even in the most medial aspect of the anteroventral medial amygdaloid nucleus, beaded fibers were observed (Fig. 1H).",Mihail Bota,"Pro-Sistiaga P,... - Convergence of olfactory and... (2007) , pp. 346-362"
Piriform area (PIR),Medial nucleus of the amygdala anteroventral part (MEAav),moderate,PHAL,"Collator note: the MEA, anterior part is labeled moderately rostrocaudally. See Fig. 6A-B, Swanson Atlas Levels 24-26.",Mihail Bota,"McDonald A.J. - Cortical pathways to the mammalian... (1998) , pp. 257-332"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala anteroventral part (MEAav),moderate,Fluorogold,"Proceeding rostrally, the number of labeled sons in the MEA decreases gradually and they are located especially in the anterodorsal part of the nucleus, although a few labeled fibers are also found in the immediate vicinity of the MEA, as well as in the central nucleus of the amygdala (Fig. 6H-J). Collator note: Swanson Atlas Levels 24-27.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Infralimbic area (ILA),Medial nucleus of the amygdala anteroventral part (MEAav),very strong,PHAL,"Collator note: the termination field in the rostral amygdala is particularly heavy from the external capsule-amygdalar capsule down to the optic tract. Figures 3C-F that include the amygdalar nuclei may correspond to Swanson Atlas Levels 26-29, but this mapping may be valid only to ventral half.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Accessory olfactory bulb (AOB),Medial nucleus of the amygdala anteroventral part (MEAav),strong,biotinylated dextran amine (BDA),"Within the bed nucleus of the accessory olfactory tract and the anteroventral medial amygdaloid nucleus labeled fibers formed a dense plexus of terminal labeling in layer I,although fibers were also observed in layers II and III (Fig. 4G,H).",Mihail Bota,"Pro-Sistiaga P,... - Convergence of olfactory and... (2007) , pp. 346-362"
