From,To,Strength,Technique,Description,Collator,Reference
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posteroventral part (MEApv),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Bed nuclei of the stria terminalis posterior division interfascicular nucleus (BSTif),Medial nucleus of the amygdala posteroventral part (MEApv),strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division interfascicular nucleus (BSTif),Medial nucleus of the amygdala posteroventral part (MEApv),strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala anterior part (COAa),Medial nucleus of the amygdala posteroventral part (MEApv),strong,PHAL,none provided,Larry Swanson,"Petrovich GD, Risold... - Organization of projections from the... (1996) , pp. 387-420"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posteroventral part (MEApv),strong,HRP,"Collator note: dense labeled fibers in MEApv, but no labeled cell bodies. See Fig. 8E, Swanson Atlas Levels 28-29.",Mihail Bota,"Ottersen O.P. - Connections of the amygdala of the rat.... (1982) , pp. 30-48"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posteroventral part (MEApv),strong,PHAL,"Collator note: very strong labeling of the MEapv. See Fig. 6C, Swanson Atlas Levels 28-29.",Mihail Bota,"Kemppainen S.,... - Projections from the posterior cortical... (2002) , pp. 735-755"
Infralimbic area (ILA),Medial nucleus of the amygdala posteroventral part (MEApv),strong,PHAL,"Collator note: MEApv zones appears labeled heavily in Figures 3D-E, even though there is no supporting textual information. Exception maybe is in Figure 3F, which shows an empty field, just below the optic tract labeled as ""MEA"" by authors. This would correspond to MEApv in Swanson Atlas, level 29. Figures 3C-F that include the amygdalar nuclei may correspond to Swanson Atlas Levels 24-30, but this mapping may be valid only to ventral half.",Mihail Bota,"Hurley KM, Herbert... - Efferent projections of the infralimbic... (1991) , pp. 409-76"
Infralimbic area (ILA),Medial nucleus of the amygdala posteroventral part (MEApv),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Basomedial nucleus of the amygdala posterior part (BMAp),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,PHAL,"Collator note: quite strong labeling of the MEApv, rostrocaudally. See Fig. 5C-D, Swanson Atlas Levels 28-30.",Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1996) , pp. 291-313"
Bed nucleus of the accessory olfactory part (BA),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
