From,To,Strength,Technique,Description,Collator,Reference
Olfactory tubercle pyramidal layer (OT2),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Olfactory tubercle pyramidal layer (OT2),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Olfactory tubercle pyramidal layer (OT2),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Olfactory tubercle pyramidal layer (OT2),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Olfactory tubercle pyramidal layer (OT2),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Olfactory tubercle pyramidal layer (OT2),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Olfactory tubercle pyramidal layer (OT2),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Olfactory tubercle pyramidal layer (OT2),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Olfactory tubercle pyramidal layer (OT2),Nucleus incertus diffuse part (NId),does not exist,CTB,"Collator note: NId does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Olfactory tubercle pyramidal layer (OT2),Posterior hypothalamic nucleus (PH),does not exist,PHAL,"Collator note: this connection is considered to be non-existent, because all of the atlas levels were inspected",Mihail Bota,"Abrahamson E.E. &... - The posterior hypothalamic area:... (2001) , pp. 1-22"
Olfactory tubercle pyramidal layer (OT2),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Olfactory tubercle pyramidal layer (OT2),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Olfactory tubercle pyramidal layer (OT2),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Olfactory tubercle pyramidal layer (OT2),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Olfactory tubercle pyramidal layer (OT2),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Olfactory tubercle pyramidal layer (OT2),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Olfactory tubercle pyramidal layer (OT2),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Olfactory tubercle pyramidal layer (OT2),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Olfactory tubercle pyramidal layer (OT2),Nucleus incertus diffuse part (NId),does not exist,CTB,"Collator note: NId does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Olfactory tubercle pyramidal layer (OT2),Posterior hypothalamic nucleus (PH),does not exist,PHAL,"Collator note: this connection is considered to be non-existent, because all of the atlas levels were inspected",Mihail Bota,"Abrahamson E.E. &... - The posterior hypothalamic area:... (2001) , pp. 1-22"
