From,To,Strength,Technique,Description,Collator,Reference
Subthalamic nucleus (STN),Substantia nigra compact part (SNc),moderate,PHAL,"Case pg616, fig6. Soma notes PHA-L inj. Terminal notes dorsomedial part.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Subthalamic nucleus (STN),Ventral tegmental area (VTA),very weak,PHAL,"Case pg616, fig6. Soma notes PHA-L inj. Terminal notes not specified..",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Subthalamic nucleus (STN),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Subthalamic nucleus (STN),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Subthalamic nucleus (STN),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Subthalamic nucleus (STN),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Subthalamic nucleus (STN),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Subthalamic nucleus (STN),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Subthalamic nucleus (STN),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Subthalamic nucleus (STN),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Subthalamic nucleus (STN),Substantia nigra compact part (SNc),moderate,PHAL,"Case pg616, fig6. Soma notes PHA-L inj. Terminal notes dorsomedial part.",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Subthalamic nucleus (STN),Ventral tegmental area (VTA),very weak,PHAL,"Case pg616, fig6. Soma notes PHA-L inj. Terminal notes not specified..",Gully Burns,"Groenewegen HJ,... - Connections of the subthalamic nucleus... (1990) , pp. 607-22"
Subthalamic nucleus (STN),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Subthalamic nucleus (STN),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Subthalamic nucleus (STN),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Subthalamic nucleus (STN),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Subthalamic nucleus (STN),Lateral hypothalamic area juxtaparaventricular region (LHAjp),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Subthalamic nucleus (STN),Lateral hypothalamic area suprafornical region (LHAs),does not exist,CTB,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Subthalamic nucleus (STN),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Subthalamic nucleus (STN),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
