ID,Derived_data_record,Phenotype_identified
47,57,15
49,58,16
50,59,17
51,60,2
52,61,3
53,62,3
54,63,2
55,64,16
56,65,16
57,66,16
58,67,17
59,68,17
60,69,15
61,70,15
62,71,18
63,72,18
64,73,18
65,74,19
66,75,19
67,76,19
70,79,20
72,80,14
74,81,22
77,82,22
78,83,23
79,84,24
80,85,9
82,87,26
85,88,27
87,89,28
88,90,20
92,100,30
93,99,30
94,99,29
95,98,29
96,98,27
97,97,27
98,96,19
99,96,29
100,94,18
101,94,29
102,93,18
103,92,29
104,101,12
105,102,12
109,111,14
110,112,22
111,113,25
112,114,33
114,116,5
115,117,22
116,118,25
117,119,9
118,120,4
119,121,8
120,124,4
121,125,14
123,126,6
124,127,35
125,128,4
126,132,10
127,135,14
128,137,5
129,139,37
130,140,37
131,139,5
132,138,37
134,137,37
135,141,37
136,141,5
137,142,37
138,143,5
140,147,38
141,148,38
142,148,39
143,150,28
144,151,20
145,152,40
146,154,28
147,155,20
148,156,40
149,157,41
150,158,41
151,158,28
152,159,41
153,159,20
154,160,41
155,160,40
156,165,42
157,166,43
158,167,38
159,168,38
160,169,43
161,170,14
162,171,44
163,172,44
164,173,14
165,175,14
166,174,14
167,176,22
168,177,14
169,178,22
171,179,22
172,180,22
173,181,35
175,183,4
176,185,14
177,186,14
178,187,45
179,194,46
180,195,8
181,196,10
182,197,35
183,198,23
184,199,10
185,200,80
186,201,14
187,203,14
188,204,10
189,205,3
190,206,47
191,207,3
192,208,47
193,209,3
194,210,47
195,211,48
196,215,48
197,216,49
198,217,48
199,218,49
200,219,14
201,221,52
202,222,50
203,223,51
204,224,12
205,225,12
211,231,54
212,232,54
213,233,35
214,234,35
215,239,14
216,240,14
217,241,14
218,242,14
219,243,5
220,244,5
221,245,56
223,247,57
224,247,58
225,248,57
226,248,58
229,249,61
230,258,56
231,259,62
232,260,63
233,261,63
234,262,56
235,263,62
237,265,65
238,266,66
239,267,67
240,268,68
241,270,69
242,271,14
243,272,14
244,273,14
245,274,14
246,277,14
247,278,14
248,279,14
249,280,14
250,281,14
251,282,14
252,283,14
253,284,14
254,285,14
255,286,14
256,293,78
257,294,49
258,295,49
259,296,48
260,297,48
261,298,52
262,299,52
263,300,14
264,301,14
265,302,35
266,303,9
267,304,71
268,304,73
269,305,71
270,305,74
271,306,42
272,307,43
273,308,43
274,309,38
275,310,38
276,161,41
277,161,28
278,162,41
279,162,20
280,163,41
281,163,40
282,164,41
283,311,39
284,312,4
285,313,8
286,313,6
287,314,8
288,314,9
289,315,8
290,316,75
291,316,76
292,317,75
293,317,6
294,318,75
295,324,14
296,324,77
298,326,63
299,264,64
300,328,82
301,330,14
302,331,14
303,332,14
304,333,
305,334,41
306,335,83
307,336,14
308,337,14
309,338,14
310,339,14
311,340,14
312,341,14
313,342,14
314,343,14
315,344,14
316,345,14
317,346,14
319,354,14
320,355,82
321,358,14
322,359,82
323,356,82
325,350,82
326,349,82
327,348,82
328,360,14
329,361,14
330,362,14
331,363,14
332,364,14
333,365,14
334,366,84
335,367,41
336,368,82
337,369,14
338,370,25
339,370,82
340,371,14
341,371,82
342,374,49
343,375,14
344,375,82
345,376,82
346,377,14
347,378,14
348,379,82
349,380,14
350,381,82
351,382,14
352,383,14
353,383,82
354,384,82
355,385,82
356,386,14
357,386,82
358,387,14
359,387,82
360,388,82
361,389,82
362,390,14
363,390,82
364,391,14
365,392,14
366,393,14
367,394,14
368,395,14
369,396,14
370,397,14
371,398,85
372,399,14
373,400,14
374,401,85
375,402,82
376,403,14
377,404,14
378,405,14
379,406,14
380,408,14
381,409,14
382,410,14
384,411,14
385,413,14
386,414,14
387,415,14
388,416,14
389,417,82
390,418,
391,419,14
392,420,6
393,421,5
394,422,14
396,424,
397,425,14
398,427,82
399,428,
400,429,14
401,430,14
402,431,14
403,432,86
404,433,86
405,434,82
406,439,82
407,438,82
408,437,82
