,ID,Cell_type_name,Ontological_identifier
0,5,Glutamate receptor 1 expressing,
1,7,NMDA receptor expressing,
2,8,Dopamine 1 receptor expressing,
3,9,Dopamine 2 receptor expressing,
4,13,Medium spiny neuron,
5,14,Tyrosine hydroxylase expressing,
6,17,Dynorphin expressing,
7,18,nNOS-expressing,
8,21,Substance P expressing,
9,22,Small sized cell,
10,23,Medium sized cell,
11,25,Dopamine receptor 3 / enkephalin co-expressing,
12,26,Dopamine receptor 3 expressing / enkephalin negative,
13,27,Substance P / PPA co-expressing,
14,29,Dopamine receptor 2  / enkephalin co-expressing,
15,30,Dopamine receptor 1  / enkephalin co-expressing,
16,31,Pre proenkephalin expressing,
17,32,Vesicular monoamine transporter-2 expressing,
18,33,Cholinergic neuron,NLX:148005
19,34,Phosphate activated glutaminase expressing,
20,36,Calbindin expressing,
21,37,Parvalbumin expressing,
22,38,Somatostatin expressing,
23,39,Calretinin expressing,
24,40,NADPHd expressing,
25,41,Neuropeptide Y expressing,
26,42,Neuron,ILX:0107497
27,43,Tyrosine hydroxylase negative,
28,44,Calbindin negative,
29,45,Low huntingtin expressing/calbindin expressing,
30,46,Moderate huntingtin expressing/calbindin expressing,
31,47,Strong huntingtin expressing/calbindin expressing,
32,48,Low huntingtin expressing/calbindin negative,
33,49,Moderate huntingtin expressing/calbindin negative,
34,50,Strong huntingtin expressing/calbindin negative,
35,51,Huntingtin negative/calbindin expressing,
36,53,Glial cell,
37,54,GAD67 expressing,
38,55,GAD67 / parvalbumin coexpressing,
39,56,Large sized cell,
40,57,Basic fibroblast growth factor expressing,
41,58,"Basic fibroblast growth factor expressing, small size",
42,59,"Basic fibroblast growth factor expressing, medium size",
43,60,"Basic fibroblast growth factor expressing, large size",
44,61,GABAergic neuron,NLX:148043
45,62,"GAD65, lightly expressing",
46,63,"GAD65, heavily expressing",
47,64,"GAD67, lightly expressing",
48,65,"GAD67, heavily expressing",
49,66,Glutamine synthetase expressing,
50,67,GAD expressing,
51,68,ApoD expressing,
52,69,CB1R expressing,
53,70,Astrocyte,SAO:1394521419
54,71,Macrophage,SAO:185843373
55,72,Lipocortin 1 expressing,
56,73,Phosphotyrosine expressing,
57,74,Kappa opioid receptor expressing,
58,75,"NADPHd, weakly expressing",
59,76,"NADPHd, strongly expressing",
60,77,VGLUT1 expressing,
61,78,VGLUT1 negative,
62,79,Substance P / enkephalin co-expressing,
63,80,VGLUT2 expressing,
64,81,VGAT expressing,
65,82,XPA expressing,
66,83,XPB expressing,
67,85,Enkephalin expressing,
68,86,Glucocorticoid receptor expressing,
69,87,C-fos expressing,
70,88,Cell,
71,89,Microglia,SAO:789292116
72,90,Inner globus pallidus neuron,
73,91,Outer globus pallidus neuron,
74,92,PSA-NCAM expressing,
75,93,Somatostatin / calretinin co-expressing,
76,94,Somatostatin / nNOS co-expressing,
77,95,VIP / CCK co-expressing,
78,96,VIP / calretinin co-expressing,
79,97,VIP expressing,
80,98,Non-neuronal cell,
81,100,Acidic fibroblast growth factor expressing,
82,101,"Dopaminergic neuron, normal morphology",
83,102,Dopaminergic neuron,
84,103,cAMP response element-positive,
85,104,Prototypic pallidal neuron,
86,105,Nigrostriatal neuron,
87,106,Dopaminergic nigrostriatal neuron,
88,107,Non-dopaminergic nigrostriatal neuron,
89,108,Subthalamic nucleus projection neuron,
90,109,Rostral subthalamic nucleus projection neuron,
91,110,Caudal subthalamic nucleus projection neuron,
92,111,Lateral subthalamic nucleus projection neuron,
93,112,Medial subthalamic nucleus projection neuron,
94,113,"Astrocyte, S100b expressing",
95,114,"Astrocyte, GFAP expressing",
96,115,Oligodendrocyte,
97,116,Perineuronal net-surrounded neuron,
98,117,Serotonergic neuron,
99,118,"Microglia, resting",
100,119,"Microglia, active",
101,120,Non-dopaminergic neuron,
102,121,GAD65 expressing,
103,122,p75 neurotrophin receptor expressing,
104,123,TrkA expressing,
105,124,Corticostriatal neuron,
106,125,Pre-enkephalin expressing,
