PhenotypeID,Phenotype_name,CellID,Cell_type_name
15,Expression_glutamate receptor 1,5,Glutamate receptor 1 expressing
16,Expression_glutamate receptor 1 mRNA,5,Glutamate receptor 1 expressing
16,Expression_glutamate receptor 1 mRNA,5,Glutamate receptor 1 expressing
16,Expression_glutamate receptor 1 mRNA,5,Glutamate receptor 1 expressing
16,Expression_glutamate receptor 1 mRNA,5,Glutamate receptor 1 expressing
15,Expression_glutamate receptor 1,5,Glutamate receptor 1 expressing
15,Expression_glutamate receptor 1,5,Glutamate receptor 1 expressing
17,Expression_NMDA receptor mRNA,7,NMDA receptor expressing
17,Expression_NMDA receptor mRNA,7,NMDA receptor expressing
17,Expression_NMDA receptor mRNA,7,NMDA receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
18,Expression_dopamine 1 receptor mRNA,8,Dopamine 1 receptor expressing
18,Expression_dopamine 1 receptor mRNA,8,Dopamine 1 receptor expressing
18,Expression_dopamine 1 receptor mRNA,8,Dopamine 1 receptor expressing
18,Expression_dopamine 1 receptor mRNA,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
18,Expression_dopamine 1 receptor mRNA,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
2,Expression_dopamine 1 receptor,8,Dopamine 1 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
19,Expression_dopamine 2 receptor mRNA,9,Dopamine 2 receptor expressing
19,Expression_dopamine 2 receptor mRNA,9,Dopamine 2 receptor expressing
19,Expression_dopamine 2 receptor mRNA,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
19,Expression_dopamine 2 receptor mRNA,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
3,Expression_dopamine 2 receptor,9,Dopamine 2 receptor expressing
12,Morphology_spiny high density,13,Medium spiny neuron
12,Morphology_spiny high density,13,Medium spiny neuron
12,Morphology_spiny high density,13,Medium spiny neuron
12,Morphology_spiny high density,13,Medium spiny neuron
66,Expression_DARPP-32,13,Medium spiny neuron
78,Electrophysiology_unspecified,13,Medium spiny neuron
20,Morphology_medium size,13,Medium spiny neuron
12,Morphology_spiny high density,13,Medium spiny neuron
66,Expression_DARPP-32,13,Medium spiny neuron
82,Expression_Nissl,13,Medium spiny neuron
12,Morphology_spiny high density,13,Medium spiny neuron
66,Expression_DARPP-32,13,Medium spiny neuron
66,Expression_DARPP-32,13,Medium spiny neuron
66,Expression_DARPP-32,13,Medium spiny neuron
85,Expression_NeuN,13,Medium spiny neuron
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
14,Expression_tyrosine hydroxylase,14,Tyrosine hydroxylase expressing
