,analysisId,experimentId,specimenId
0,57,31,76
1,58,31,76
2,59,31,77
3,66,31,77
4,60,31,78
5,64,31,78
6,61,31,79
7,65,31,79
8,67,31,80
9,71,31,80
10,69,31,81
11,72,31,81
12,62,31,82
13,73,31,82
14,68,31,83
15,74,31,83
16,70,31,84
17,75,31,84
18,63,31,85
19,76,31,85
20,77,32,88
21,78,33,89
22,79,34,92
23,80,34,93
24,81,35,96
25,82,35,96
26,83,36,98
27,84,36,99
28,85,37,101
29,87,38,104
30,88,38,105
31,89,38,106
32,90,38,106
33,91,38,106
34,495,38,751
35,97,39,110
36,98,39,110
37,92,39,111
38,93,39,111
39,94,39,111
40,96,39,112
41,99,39,113
42,100,39,113
43,102,40,116
44,101,41,117
45,104,42,121
46,106,42,121
47,108,42,121
48,103,43,120
49,105,43,120
50,107,43,120
51,111,45,128
52,112,46,131
53,114,46,132
54,115,46,132
55,113,46,133
56,116,47,135
57,120,47,136
58,117,47,137
59,118,47,138
60,121,47,139
61,119,47,140
62,122,48,143
63,125,49,145
64,124,49,146
65,123,49,147
66,126,50,150
67,128,50,151
68,127,50,152
69,131,51,157
70,132,52,159
71,133,53,163
72,745,53,163
73,134,54,164
74,135,55,165
75,136,55,165
76,137,56,168
77,138,56,168
78,139,56,168
79,140,56,168
80,141,56,168
81,142,56,168
82,143,56,168
83,144,57,171
84,145,58,173
85,146,58,173
86,147,59,175
87,148,59,175
88,157,60,180
89,158,60,180
90,159,60,180
91,160,60,180
92,149,60,181
93,150,60,181
94,151,60,181
95,152,60,181
96,161,61,182
97,162,61,182
98,163,61,182
99,164,61,182
100,153,61,183
101,154,61,183
102,155,61,183
103,156,61,183
104,166,62,185
105,169,62,185
106,307,62,185
107,308,62,185
108,167,62,186
109,168,62,186
110,309,62,186
111,310,62,186
112,165,62,187
113,306,62,187
114,172,63,191
115,173,63,191
116,170,64,190
117,171,64,190
118,175,65,199
119,177,65,199
120,176,66,200
121,174,67,198
122,503,67,198
123,178,68,205
124,179,68,205
125,183,69,208
126,181,69,209
127,182,69,210
128,180,69,211
129,184,70,215
130,185,71,217
131,504,71,767
132,186,72,219
133,187,72,219
134,188,73,224
135,191,73,228
136,192,73,228
137,193,73,228
138,189,74,226
139,190,75,227
140,194,76,230
141,195,77,234
142,196,77,235
143,197,77,236
144,200,77,237
145,199,77,238
146,198,77,239
147,203,78,241
148,201,78,242
149,202,78,244
150,204,79,246
151,205,80,249
152,206,80,249
153,207,80,249
154,208,80,249
155,209,80,249
156,210,80,249
157,211,81,251
158,212,82,254
159,213,82,254
160,214,82,254
161,215,83,259
162,216,83,261
163,218,84,260
164,217,84,262
165,219,85,264
166,220,85,264
167,222,86,266
168,221,86,267
169,223,86,268
170,224,87,270
171,225,87,270
172,226,88,274
173,227,88,274
174,228,89,277
175,229,89,277
176,230,90,278
177,231,91,281
178,232,91,281
179,233,92,284
180,234,92,284
181,235,93,287
182,236,93,287
183,237,93,287
184,238,93,287
185,240,94,297
186,239,95,296
187,241,96,298
188,242,97,299
189,243,98,302
190,244,99,303
191,245,100,306
192,246,100,306
193,247,101,307
194,248,101,307
195,249,102,310
196,251,103,316
197,252,103,316
198,255,103,316
199,257,103,316
200,250,104,315
201,253,104,315
202,254,104,315
203,256,104,315
204,258,105,318
205,262,105,318
206,259,105,321
207,263,105,321
208,260,105,322
209,261,105,322
210,264,106,324
211,265,106,325
212,269,107,327
213,268,107,328
214,266,107,329
215,267,107,330
216,270,108,332
217,271,109,334
218,272,109,334
219,274,109,334
220,273,109,336
221,275,110,338
222,276,111,340
223,277,112,342
224,278,113,344
225,286,114,360
226,279,115,353
227,283,116,357
228,285,117,359
229,281,118,355
230,282,119,356
231,284,120,358
232,280,121,354
233,287,122,374
234,288,123,375
235,289,124,376
236,290,125,377
237,291,126,378
238,292,127,379
239,293,128,384
240,297,129,388
241,299,129,389
242,295,129,392
243,296,130,387
244,298,130,390
245,294,130,391
246,301,131,396
247,300,132,395
248,303,134,398
249,302,134,399
250,304,135,401
251,305,135,401
252,311,136,403
253,312,137,404
254,315,138,405
255,318,139,408
256,313,140,406
257,314,141,407
258,317,142,409
259,316,143,410
260,319,144,412
261,320,145,413
262,321,145,413
263,322,146,414
264,323,147,416
265,324,148,420
266,326,148,421
267,328,149,423
268,329,149,423
269,330,150,425
270,331,151,427
271,564,151,854
272,563,151,855
273,567,151,856
274,566,151,857
275,565,151,858
276,332,152,430
277,333,153,432
278,334,154,434
279,335,154,435
280,336,155,439
281,337,156,438
282,338,157,442
283,339,158,445
284,340,159,447
285,341,160,450
