,analysisId,specimenID,reporterId,Reporter,Order,Concentration,Time,Temperature
0,69,81,141,141.0,Primary,,,
1,72,81,141,141.0,Primary,,,
2,69,81,34,34.0,Primary,,,
3,72,81,34,34.0,Primary,,,
4,69,81,36,36.0,Secondary,,,
5,72,81,36,36.0,Secondary,,,
6,62,82,141,141.0,Primary,,,
7,73,82,141,141.0,Primary,,,
8,62,82,32,32.0,Primary,,,
9,73,82,32,32.0,Primary,,,
10,62,82,36,36.0,Secondary,,,
11,73,82,36,36.0,Secondary,,,
12,68,83,142,142.0,Primary,,,
13,74,83,142,142.0,Primary,,,
14,68,83,33,33.0,Primary,,,
15,74,83,33,33.0,Primary,,,
16,68,83,36,36.0,Secondary,,,
17,74,83,36,36.0,Secondary,,,
18,70,84,142,142.0,Primary,,,
19,75,84,142,142.0,Primary,,,
20,70,84,34,34.0,Primary,,,
21,75,84,34,34.0,Primary,,,
22,70,84,36,36.0,Secondary,,,
23,75,84,36,36.0,Secondary,,,
24,63,85,142,142.0,Primary,,,
25,76,85,142,142.0,Primary,,,
26,63,85,31,31.0,Primary,,,
27,76,85,31,31.0,Primary,,,
28,63,85,36,36.0,Secondary,,,
29,76,85,36,36.0,Secondary,,,
30,80,93,37,37.0,Primary,,,
31,81,96,38,38.0,Primary,,36.0,4.0
32,82,96,38,38.0,Primary,,36.0,4.0
33,81,96,39,39.0,Secondary,01:50:00,1.0,
34,82,96,39,39.0,Secondary,01:50:00,1.0,
35,83,98,147,147.0,Primary,,,
36,83,98,40,40.0,Secondary,0.7361111111111112,12.0,
37,84,99,148,148.0,Primary,,,
38,84,99,40,40.0,Secondary,0.7361111111111112,12.0,
39,85,101,41,41.0,Primary,2.125,12.0,4.0
40,85,101,167,167.0,Secondary,0.11111111111111112,,
41,87,104,44,44.0,Primary,1.4305555555555556,,
42,88,105,45,45.0,Secondary,2.8194444444444446,,
43,92,111,149,149.0,Primary,10^6 c.p.m,12.0,55.0
44,93,111,149,149.0,Primary,10^6 c.p.m,12.0,55.0
45,94,111,149,149.0,Primary,10^6 c.p.m,12.0,55.0
46,92,111,152,152.0,Primary,20 ng,12.0,55.0
47,93,111,152,152.0,Primary,20 ng,12.0,55.0
48,94,111,152,152.0,Primary,20 ng,12.0,55.0
49,96,112,150,150.0,Primary,10^6 c.p.m,12.0,55.0
50,96,112,152,152.0,Primary,20 ng,12.0,55.0
51,99,113,151,151.0,Primary,"1,5 * 10^6 c.p.m",12.0,55.0
52,100,113,151,151.0,Primary,"1,5 * 10^6 c.p.m",12.0,55.0
53,99,113,152,152.0,Primary,20 ng,12.0,55.0
54,100,113,152,152.0,Primary,20 ng,12.0,55.0
55,97,110,146,146.0,Primary,,12.0,55.0
56,98,110,146,146.0,Primary,,12.0,55.0
57,67,80,36,36.0,Secondary,,,
58,71,80,36,36.0,Secondary,,,
59,67,80,33,33.0,Primary,,,
60,71,80,33,33.0,Primary,,,
61,67,80,141,141.0,Primary,,,
62,71,80,141,141.0,Primary,,,
63,61,79,36,36.0,Secondary,,,
64,65,79,36,36.0,Secondary,,,
65,61,79,32,32.0,Primary,,,
66,65,79,32,32.0,Primary,,,
67,61,79,143,143.0,Primary,,,
68,65,79,143,143.0,Primary,,,
69,60,78,36,36.0,Secondary,,,
70,64,78,36,36.0,Secondary,,,
71,59,77,36,36.0,Secondary,,,
72,66,77,36,36.0,Secondary,,,
73,57,76,36,36.0,Secondary,,,
74,58,76,36,36.0,Secondary,,,
75,60,78,31,31.0,Primary,,,
76,64,78,31,31.0,Primary,,,
77,60,78,143,143.0,Primary,,,
78,64,78,143,143.0,Primary,,,
79,59,77,33,33.0,Primary,,,
80,66,77,33,33.0,Primary,,,
81,59,77,143,143.0,Primary,,,
82,66,77,143,143.0,Primary,,,
83,57,76,143,143.0,Primary,,,
84,58,76,143,143.0,Primary,,,
85,57,76,34,34.0,Primary,,,
86,58,76,34,34.0,Primary,,,
87,97,110,152,152.0,Primary,20 ng,12.0,55.0
88,98,110,152,152.0,Primary,20 ng,12.0,55.0
89,92,111,46,46.0,Secondary,0.7361111111111112,5.0,21.0
90,93,111,46,46.0,Secondary,0.7361111111111112,5.0,21.0
91,94,111,46,46.0,Secondary,0.7361111111111112,5.0,21.0
92,96,112,46,46.0,Secondary,0.7361111111111112,5.0,21.0
93,99,113,46,46.0,Secondary,0.7361111111111112,5.0,21.0
94,100,113,46,46.0,Secondary,0.7361111111111112,5.0,21.0
95,97,110,46,46.0,Secondary,0.7361111111111112,5.0,21.0
96,98,110,46,46.0,Secondary,0.7361111111111112,5.0,21.0
97,111,128,51,51.0,Primary,1:2000-4000,36.0,21.0
98,111,128,52,52.0,Secondary,0.11111111111111112,0.5,
99,112,131,53,53.0,Primary,1.4305555555555556,12.0,21.0
100,114,132,54,54.0,Primary,4.208333333333333,12.0,21.0
101,115,132,54,54.0,Primary,4.208333333333333,12.0,21.0
102,113,133,55,55.0,Primary,2.125,60.0,4.0
103,112,131,56,56.0,Secondary,0.11111111111111112,,
104,113,133,56,56.0,Secondary,0.11111111111111112,,
105,114,132,56,56.0,Secondary,0.11111111111111112,,
106,115,132,56,56.0,Secondary,0.11111111111111112,,
107,118,138,62,62.0,Primary,1:10000,48.0,4.0
108,116,135,57,57.0,Primary,1:20000,48.0,4.0
109,117,137,59,59.0,Primary,3.513888888888889,48.0,4.0
110,119,140,61,61.0,Primary,0.7361111111111112,48.0,4.0
111,120,136,58,58.0,Primary,3.513888888888889,48.0,4.0
112,121,139,60,60.0,Primary,2.125,48.0,4.0
113,116,135,167,167.0,Secondary,0.7361111111111112,12.0,21.0
114,117,137,167,167.0,Secondary,0.7361111111111112,12.0,21.0
115,118,138,167,167.0,Secondary,0.7361111111111112,12.0,21.0
116,119,140,167,167.0,Secondary,0.7361111111111112,12.0,21.0
117,120,136,167,167.0,Secondary,0.7361111111111112,12.0,21.0
118,121,139,167,167.0,Secondary,0.7361111111111112,12.0,21.0
119,124,146,65,65.0,Primary,1:10000,48.0,4.0
120,125,145,51,51.0,Primary,0.7361111111111112,48.0,4.0
121,124,146,63,63.0,Secondary,0.18055555555555558,1.0,21.0
122,125,145,50,50.0,Secondary,0.18055555555555558,1.0,21.0
123,128,151,65,65.0,Primary,0.7361111111111112,48.0,4.0
124,128,151,67,67.0,Secondary,0.18055555555555558,,
125,126,150,68,68.0,Primary,0.7361111111111112,48.0,4.0
126,126,150,167,167.0,Secondary,0.18055555555555558,,
127,132,159,69,69.0,Primary,0.7361111111111112,12.0,4.0
128,132,159,70,70.0,Secondary,01:50:00,1.0,21.0
129,135,165,42,42.0,Secondary,01:40:00,4.0,
130,136,165,42,42.0,Secondary,01:40:00,4.0,
131,137,168,72,72.0,Primary,0.3888888888888889,48.0,4.0
132,138,168,72,72.0,Primary,0.3888888888888889,48.0,4.0
133,139,168,72,72.0,Primary,0.3888888888888889,48.0,4.0
134,140,168,72,72.0,Primary,0.3888888888888889,48.0,4.0
135,141,168,72,72.0,Primary,0.3888888888888889,48.0,4.0
136,142,168,72,72.0,Primary,0.3888888888888889,48.0,4.0
137,143,168,72,72.0,Primary,0.3888888888888889,48.0,4.0
138,137,168,73,73.0,Primary,0.18055555555555558,48.0,4.0
139,138,168,73,73.0,Primary,0.18055555555555558,48.0,4.0
140,139,168,73,73.0,Primary,0.18055555555555558,48.0,4.0
141,140,168,73,73.0,Primary,0.18055555555555558,48.0,4.0
142,141,168,73,73.0,Primary,0.18055555555555558,48.0,4.0
143,142,168,73,73.0,Primary,0.18055555555555558,48.0,4.0
144,143,168,73,73.0,Primary,0.18055555555555558,48.0,4.0
145,137,168,168,168.0,Secondary,,,
146,138,168,168,168.0,Secondary,,,
147,139,168,168,168.0,Secondary,,,
148,140,168,168,168.0,Secondary,,,
149,141,168,168,168.0,Secondary,,,
150,142,168,168,168.0,Secondary,,,
151,143,168,168,168.0,Secondary,,,
152,147,175,153,153.0,Primary,,3.5,50.0
153,148,175,153,153.0,Primary,,3.5,50.0
154,147,175,154,154.0,Primary,,3.5,50.0
155,148,175,154,154.0,Primary,,3.5,50.0
