,analysisId,specimenId,sectioningDetailsId
0,57,76,50
1,58,76,50
2,59,77,49
3,66,77,49
4,60,78,47
5,64,78,47
6,61,79,48
7,65,79,48
8,67,80,43
9,71,80,43
10,69,81,42
11,72,81,42
12,62,82,41
13,73,82,41
14,68,83,46
15,74,83,46
16,70,84,45
17,75,84,45
18,63,85,44
19,76,85,44
20,77,88,51
21,78,89,52
22,79,92,54
23,80,93,
24,81,96,55
25,82,96,55
26,83,98,57
27,84,99,56
28,85,101,58
29,87,104,60
30,88,105,62
31,89,106,61
32,90,106,61
33,91,106,61
34,97,110,66
35,98,110,66
36,92,111,63
37,93,111,63
38,94,111,63
39,96,112,64
40,99,113,65
41,100,113,65
42,102,116,68
43,101,117,67
44,103,120,69
45,105,120,69
46,107,120,69
47,104,121,70
48,106,121,70
49,108,121,70
50,111,128,73
51,112,131,422
52,114,132,424
53,115,132,424
54,113,133,423
55,116,135,74
56,120,136,79
57,117,137,75
58,118,138,77
59,121,139,80
60,119,140,78
61,122,143,
62,125,145,83
63,124,146,82
64,123,147,81
65,126,150,563
66,128,151,565
67,127,152,564
68,131,157,
69,132,159,84
70,133,163,
71,745,163,
72,134,164,
73,135,165,
74,136,165,
75,137,168,87
76,138,168,87
77,139,168,87
78,140,168,87
79,141,168,87
80,142,168,87
81,143,168,87
82,144,171,86
83,145,173,88
84,146,173,88
85,147,175,89
86,148,175,89
87,157,180,92
88,158,180,92
89,159,180,92
90,160,180,92
91,149,181,93
92,150,181,93
93,151,181,93
94,152,181,93
95,161,182,90
96,162,182,90
97,163,182,90
98,164,182,90
99,153,183,91
100,154,183,91
101,155,183,91
102,156,183,91
103,166,185,95
104,169,185,95
105,307,185,95
106,308,185,95
107,167,186,96
108,168,186,96
109,309,186,96
110,310,186,96
111,165,187,94
112,306,187,94
113,170,190,97
114,171,190,97
115,172,191,98
116,173,191,98
117,174,198,99
118,503,198,99
119,175,199,100
120,177,199,100
121,176,200,101
122,178,205,102
123,179,205,102
124,183,208,107
125,181,209,105
126,182,210,106
127,180,211,104
128,184,215,109
129,185,217,110
130,186,219,
131,187,219,
132,188,224,111
133,189,226,112
134,190,227,113
135,191,228,114
136,192,228,114
137,193,228,114
138,194,230,115
139,195,234,116
140,196,235,117
141,197,236,118
142,200,237,121
143,199,238,120
144,198,239,119
145,203,241,122
146,201,242,123
147,202,244,124
148,204,246,128
149,205,249,127
150,206,249,127
151,207,249,127
152,208,249,127
153,209,249,127
154,210,249,127
155,211,251,129
156,212,254,
157,213,254,
158,214,254,
159,215,259,131
160,218,260,134
161,216,261,132
162,217,262,133
163,219,264,135
164,220,264,135
165,222,266,137
166,221,267,136
167,223,268,138
168,224,270,
169,225,270,
170,226,274,
171,227,274,
172,228,277,
173,229,277,
174,230,278,142
175,231,281,
176,232,281,
177,233,284,
178,234,284,
179,235,287,145
180,236,287,145
181,237,287,145
182,238,287,145
183,239,296,146
184,240,297,147
185,241,298,148
186,242,299,149
187,243,302,150
188,244,303,151
189,245,306,153
190,246,306,153
191,247,307,154
192,248,307,154
193,249,310,
194,250,315,158
195,253,315,158
196,254,315,158
197,256,315,158
198,251,316,159
199,252,316,159
200,255,316,159
201,257,316,159
202,258,318,161
203,262,318,161
204,259,321,162
205,263,321,162
206,260,322,160
207,261,322,160
208,264,324,163
209,265,325,
210,269,327,164
211,268,328,167
212,266,329,165
213,267,330,166
214,270,332,168
215,271,334,169
216,272,334,169
217,274,334,169
218,273,336,170
219,275,338,171
220,276,340,172
221,277,342,173
222,278,344,174
223,279,353,175
224,280,354,176
225,281,355,177
226,282,356,178
227,283,357,179
228,284,358,180
229,285,359,181
230,286,360,182
231,287,374,183
232,288,375,184
233,289,376,185
234,290,377,186
235,291,378,187
236,292,379,188
237,293,384,190
238,296,387,191
239,297,388,192
240,299,389,
241,298,390,
242,294,391,193
243,295,392,194
244,300,395,195
245,301,396,196
246,303,398,197
247,302,399,
248,304,401,198
249,305,401,198
250,311,403,199
251,312,404,200
252,315,405,203
253,313,406,201
254,314,407,202
255,318,408,206
256,317,409,205
257,316,410,204
258,319,412,207
259,320,413,208
260,321,413,208
261,322,414,209
262,323,416,210
263,324,420,
264,326,421,213
265,328,423,214
266,329,423,214
267,330,425,215
268,331,427,216
269,332,430,217
270,333,432,
271,334,434,219
272,335,435,220
273,337,438,222
274,336,439,221
275,338,442,223
276,339,445,224
277,340,447,225
278,341,450,
279,342,453,
280,343,453,
281,344,456,227
282,345,460,228
283,349,460,228
284,352,460,228
285,346,461,229
286,350,461,229
287,351,461,229
288,348,462,230
289,353,462,230
290,357,465,232
291,358,465,232
292,359,465,232
293,354,466,231
294,355,466,231
295,356,466,231
296,360,468,
297,361,470,234
298,362,476,235
299,362,476,237
300,363,477,236
301,364,482,
302,505,482,
303,365,485,238
304,366,487,239
305,367,488,240
306,368,493,
307,369,495,
308,371,498,244
309,372,498,244
310,370,499,243
311,373,499,243
312,375,501,246
313,509,501,246
314,374,502,245
315,376,505,247
316,377,506,
317,378,510,
318,379,510,
319,380,512,250
320,382,515,252
321,381,516,251
322,383,521,253
323,384,521,253
324,385,522,254
325,386,522,254
326,387,523,255
327,388,523,255
328,389,524,256
329,390,524,256
330,391,528,257
331,392,529,258
332,393,530,259
333,394,532,260
334,396,534,262
335,395,536,261
336,397,539,265
337,399,542,266
338,400,543,267
339,401,544,
340,398,545,
341,403,548,269
342,402,549,268
343,404,553,270
344,514,553,270
345,405,554,271
346,515,554,271
347,406,555,272
348,516,555,272
349,407,561,273
350,408,563,274
351,409,568,275
352,410,569,276
353,411,570,277
354,413,573,279
355,414,576,280
356,415,578,281
357,416,580,282
358,417,580,282
359,418,580,282
360,419,582,285
361,421,583,283
362,420,584,284
363,422,591,286
364,424,594,288
365,425,596,289
366,426,598,290
367,427,600,291
368,428,602,292
369,429,605,293
370,430,606,294
371,517,611,295
372,518,611,295
373,519,611,295
374,522,612,296
375,523,612,296
376,432,617,297
377,433,617,297
378,434,620,298
379,439,621,299
380,435,632,300
381,436,633,301
382,437,634,302
383,438,635,303
384,441,637,304
385,440,638,
386,442,641,306
387,443,642,305
388,444,646,307
389,445,652,308
390,446,653,309
391,447,656,310
392,448,658,311
393,449,662,312
394,450,662,312
395,453,664,313
396,452,665,314
397,451,666,315
398,454,669,316
399,455,669,316
400,456,669,316
401,458,671,318
402,457,673,317
403,459,674,319
404,460,677,320
405,461,677,320
406,463,684,322
407,464,689,323
408,465,689,323
409,466,689,323
410,467,689,323
411,468,689,323
412,469,692,324
413,470,695,325
414,471,698,327
415,472,699,326
416,473,702,328
417,474,703,329
418,475,703,329
419,476,707,330
420,478,710,331
421,477,711,332
422,481,713,333
423,479,714,335
424,480,715,334
425,482,717,
426,483,717,
427,484,720,337
428,485,724,338
429,486,726,
430,487,728,340
431,488,730,341
432,489,730,341
433,490,733,342
434,491,735,343
435,492,738,
436,493,742,345
437,494,746,348
438,496,749,349
439,497,750,350
440,495,751,351
441,498,753,352
442,499,756,353
443,500,761,354
444,501,762,355
445,504,767,356
446,506,771,357
447,507,772,358
448,508,773,359
449,510,776,360
450,512,776,360
451,511,777,361
452,513,777,361
453,431,780,
454,521,780,
455,520,781,
456,524,782,362
457,525,785,363
458,526,785,363
459,531,795,368
460,532,795,368
461,533,798,369
462,534,799,370
463,535,799,370
464,536,800,371
465,537,800,371
466,538,802,374
467,539,803,372
468,540,804,373
