,ID,Experiment_name,Source,Species,Strain,Substrain,Animal_status,Transgenic_line_name,Sex,Age_lower_limit,Age_upper_limit,Age,Weight_lower_limit,Weight_upper_limit,Anaesthetic,Perfusion_fix_medium
0,31,Ariano_1997,10.1002/(SICI)1098-2396(199708)26:4<400::AID-SYN8>3.0.CO;2-A,1,11,,Naive,,1,,,9,200,250,,
1,32,Baker_1980_BALB/cJ,PMID:6107905,2,3,11,Naive,,,,,4,,,41,18
2,33,Baker_1980_CBA/J,PMID:6107905,2,5,17,Naive,,,,,4,,,41,18
3,34,Bayer_1994,PMID:7965086,2,9,23,Naive,,2,,,4,,,,47
4,35,Burke_1990,10.1016/0304-3940(90)90706-F,1,,,Naive,,,63,77,9,,,52,
5,36,Chang_2010,10.1111/j.1530-0277.2010.01148.x,1,11,,Naive,,1,,,9,275,375,,
6,37,del Moral_2004,10.1002/jemt.20081,1,12,,Naive,,1,112,112,9,230,260,63,18
7,38,Eilam_2003,10.1016/S0306-4522(03)00322-1,2,9,24,Naive,,1,140,140,4,,,52,18
8,39,Fauchey_2000,10.1046/j.1460-9568.2000.00876.x,2,,,Naive,,1,,,4,,,,
9,40,Fogarty_2017_young,10.3389/fnins.2017.00609,2,,,Naive,,,65,75,4,,,24,
10,41,Fogarty_2017_old,10.3389/fnins.2017.00609,2,,,Naive,,,110,130,4,,,24,
11,42,Forlano_2010_males,10.1002/cne.22279,1,11,,Naive,,1,60,67,9,,,24,18
12,43,Forlano_2010_females,10.1002/cne.22279,1,11,,Naive,,2,60,67,9,,,24,18
13,45,German_1993,10.1002/cne.903310302,1,,,Naive,,1,,,9,175,225,24,89
14,46,Gritti_2006,10.1016/j.neuroscience.2006.09.024,1,12,,Naive,,1,,,9,250,250,24,92
15,47,Guan_1999,10.1016/S0306-4522(98)00338-8,1,12,,Naive,,1,,,9,280,310,24,18
16,48,Hain_2016,10.1371/journal.pone.0161179,2,1,25,Naive,,2,56,70,4,,,98,18
17,49,Hardman_2002,10.1002/cne.10165,1,12,,Naive,,,168,370,9,217,301,52,18
18,50,Hussain_1996,10.1016/0891-0618(95)00098-4,1,12,,Naive,,2,,,9,250,300,41,103
19,51,Itzev_2008,10.1076/apab.109.1.80.4279,1,12,,Naive,,1,84,84,9,,,108,109
20,52,Kerkerian_1990,10.1111/j.1460-9568.1990.tb00411.x,1,12,,Naive,,2,,,9,220,220,17,18
21,53,Klenowski_2016_young,10.3389/fnbeh.2016.00054,1,12,,Naive,,1,63,63,9,365,447,24,
22,54,Klenowski_2016_old,10.3389/fnbeh.2016.00054,1,12,,Naive,,1,91,91,9,526,632,24,
23,55,Khudoerkov_2014,10.1007/s10517-014-2470-8,1,12,,Naive,,1,,,9,200,220,,
24,56,Kosinski_1997,10.1006/EXNR.1997.6441,1,11,,Naive,,1,,,9,250,300,119,18
25,57,Kusnoor_2010,10.1002/cne.22350,2,1,14,Naive,,,90,150,4,,,,121
26,58,Lawrence_2012,10.1016/j.ntt.2011.08.002,1,17,,Naive,,3,90,90,9,250,441,24,18
27,59,Lenz_1994,10.1002/syn.890180108,1,11,,Naive,,1,,,9,250,300,,
28,60,Lolova_1995_3m,10.1016/0047-6374(95)01599-U,1,12,,Naive,,1,90,90,9,,,,121
29,61,Lolova_1995_12m,10.1016/0047-6374(95)01599-U,1,12,,Naive,,1,360,360,9,,,,121
30,62,Löscher_2006,10.1016/J.BRAINRES.2006.01.096,1,12,,Naive,,2,,,9,210,230,17,103
31,63,McArthur_2016_male,10.1007/s00429-015-1049-0,2,,,Naive,,1,65,69,4,,,24,18
32,64,McArthur_2016_female,10.1007/s00429-015-1049-0,2,,,Naive,,2,65,69,4,,,24,18
33,65,McNeill_1990_3m,10.1016/0006-8993(90)91530-T,2,1,25,Naive,,,90,90,4,,,24,18
34,66,McNeill_1990_6m,10.1016/0006-8993(90)91530-T,2,1,25,Naive,,,180,180,4,,,24,18
35,67,McNeill_1990_10m,10.1016/0006-8993(90)91530-T,2,1,25,Naive,,,300,300,4,,,24,18
36,68,Meredith_1989,10.1016/0306-4522(89)90377-1,1,12,,Naive,,2,,,9,180,220,24,121
37,69,Meade_2000,10.1006/EXNR.2000.7530,1,,,Naive,,1,,,9,140,400,17,18
38,70,Neuhofer_2015,10.3389/fncel.2015.00100,2,1,14,Naive,,1,56,56,4,,,98,103
39,71,Mori_2017,10.1186/s12974-017-0862-1,2,1,,Naive,,,90,180,4,,,135,18
40,72,Nair-Roberts_2008,10.1016/j.neuroscience.2008.01.046,1,11,,Naive,,1,,,9,250,300,137,18
41,73,O'Kusky_1999_bl6-1,10.1016/S0006-8993(98)01312-2,2,1,14,Naive,,,120,120,4,,,24,103
42,74,O'Kusky_1999_bl6-2,10.1016/S0006-8993(98)01312-2,2,1,14,Naive,,,120,120,4,,,24,103
43,75,O'Kusky_1999_Sv,10.1016/S0006-8993(98)01312-2,2,13,26,Naive,,,120,120,4,,,24,103
44,76,Ong_2002,PMID:12815234,2,3,,Naive,,,58,58,4,,,144,103
45,77,Østergaard_1995,10.1007/BF00241966,1,,,Naive,,,,,9,,,24,18
46,78,Parish_2001,PMID:11438590,2,1,,Naive,,,,,4,,,24,18
47,79,Pickel_1998,10.1002/(SICI)1097-4547(19980401)52:1<54::AID-JNR6>3.0.CO;2-J,1,11,,Naive,,1,,,9,,,24,151
48,80,Pickel_2006,10.1002/cne.20881,1,11,,Naive,,1,,,9,200,250,24,151
49,81,Rabchevsky_1998,PMID:9852591,2,14,,Naive,,3,70,70,4,,,17,18
50,82,Roberts_1995,10.1016/0006-8993(95)01004-3,1,11,,Naive,,1,,,9,,,98,52
51,83,San Jose_2001_3m,10.1016/S0304-3940(01)02041-9,2,,,Naive,,1,90,90,4,,,108,
52,84,San Jose_2001_9m,10.1016/S0304-3940(01)02041-9,2,,,Naive,,1,270,270,4,,,108,
53,85,Richards_2007,10.1111/j.1460-9568.2007.05523.x,2,14,,Naive,,,,,4,,,24,18
54,86,Savchenko_2000,10.1016/S0306-4522(99)00538-2,1,17,,Naive,,3,,,9,,,24,109
55,87,Shen_2008,10.1007/s00429-008-0184-2,1,11,,Naive,,1,,,9,300,325,98,18
56,88,Sizemore_2010,10.1111/j.1469-7580.2010.01264.x,1,12,,Naive,,1,,,9,340,340,98,103
57,89,Sizemore_2016,10.1002/cne.23891,1,11,,Naive,,1,60,60,9,404,404,98,103
58,90,Sturrock_1991,PMID:1817143,2,19,,Naive,,1,180,180,4,,,,
59,91,Svingos_1999,PMID:10024364,1,11,,Naive,,1,,,9,,,24,151
60,92,Talavera_1997,10.1006/NIOX.1997.0158,1,12,,Naive,,1,,,9,290,310,24,18
61,93,Uryu_1999,10.1002/(SICI)1096-9861(19990308)405:2<216::AID-CNE6>3.0.CO;2-6,1,,,Naive,,,60,90,9,,,41,103
62,94,Vadasz_2007_bl6,10.1016/j.neuroscience.2007.06.049,2,1,29,Naive,,,,,4,,,98,167
63,95,Vadasz_2007_BALBc,10.1016/j.neuroscience.2007.06.049,2,3,11,Naive,,,,,4,,,98,167
64,96,Vadasz_2007_C4A6B,10.1016/j.neuroscience.2007.06.049,2,9,46,Naive,,,,,4,,,98,167
65,97,Vadasz_2007_C4A6N,10.1016/j.neuroscience.2007.06.049,2,9,46,Naive,,,,,4,,,98,167
66,98,Vidyadhara_2016_bl6,10.1016/j.jchemneu.2016.01.001,2,1,,Naive,,,105,119,4,,,169,18
67,99,Vidyadhara_2016_CD1,10.1016/j.jchemneu.2016.01.001,2,14,,Naive,,,105,119,4,,,169,18
68,100,Walker_2012,10.1371/journal.pone.0032919,1,11,,Naive,,1,,,9,200,250,98,121
69,101,Wang_2007,10.1016/j.neulet.2007.08.033,1,11,,Naive,,,120,120,9,,,,
70,102,West_1996,10.1002/(SICI)1096-9861(19960617)370:1<11::AID-CNE2>3.0.CO;2-O,1,11,,Naive,,2,,,9,265,310,172,18
71,103,Wissman_2012_male,10.1007/s00429-011-0353-6,1,11,,Naive,,1,60,67,9,,,24,103
72,104,Wissman_2012_female,10.1007/s00429-011-0353-6,1,11,,Naive,,2,60,67,9,,,24,103
73,105,Wouterlood_2012,10.1002/cne.23031,1,12,,Naive,,2,,,9,200,220,24,103
74,106,Yang_2008,10.1002/ar.20713,1,11,,Naive,,1,,,9,220,250,17,18
75,107,Zoli_1993,PMID:8102059,1,11,,Naive,,1,90,90,9,,,,18
76,108,Cenci_1992,10.1016/0306-4522(92)90196-9,1,11,,Naive,,2,,,9,200,225,17,18
77,109,Baquet_2009,10.1016/j.neuroscience.2009.04.031,2,1,14,Naive,,3,90,120,4,,,175,18
78,110,Finkelstein_2000,10.1016/S0306-4522(00)00009-9,1,12,,Naive,,1,,,9,250,350,,92
79,111,Poirier_1983,10.1016/0361-9230(83)90173-9,1,,,Naive,,,,,9,,,,
80,112,Harris_1996_fisher,10.1016/0006-8993(95)01088-2,1,15,,Naive,,1,,,9,150,200,17,18
81,113,Harris_1996_lewis,10.1016/0006-8993(95)01088-2,1,16,,Naive,,1,,,9,150,200,17,18
82,114,Hamre_1999_Swiss,10.1016/S0006-8993(99)01273-1,2,18,,Naive,,,90,150,4,,,175,18
83,115,Hamre_1999_AKR/J,10.1016/S0006-8993(99)01273-1,2,20,35,Naive,,,90,150,4,,,175,18
84,116,Hamre_1999_C57L/J,10.1016/S0006-8993(99)01273-1,2,21,36,Naive,,,90,150,4,,,175,18
85,117,Hamre_1999_DBA/2J,10.1016/S0006-8993(99)01273-1,2,6,37,Naive,,,90,150,4,,,175,18
86,118,Hamre_1999_C3H/HeJ,10.1016/S0006-8993(99)01273-1,2,4,38,Naive,,,90,150,4,,,175,18
87,119,Hamre_1999_C57Bl/6J,10.1016/S0006-8993(99)01273-1,2,1,14,Naive,,,90,150,4,,,175,18
88,120,Hamre_1999_DBA/1J,10.1016/S0006-8993(99)01273-1,2,6,39,Naive,,,90,150,4,,,175,18
