,ID,Stereology_details_name,Probe,Identification_feature,Disector_height,Area_subfraction,Height_subfraction,Investigated_sections,Investigated_fields,Counted_objects,Coefficient_of_error,Estimated_volume,Volume_unit,any except probe,SSMA_TimeStamp
0,4,Gritti_2006_sections_cells_quantitation_stereology,Optical disector,Top of cell,8,0.2,0.8,6,356,545,0.04,4.91,mm3,1,0x0000000000002243
1,5,Gritti_2006_sections_PAG_neurons_quantitation_stereology,Optical disector,Top of cell,8,0.2,0.8,6,356,495,0.02,4.91,mm3,1,0x0000000000002244
2,6,Gritti_2006_sections_GAD_neurons_quantitation_stereology,Optical disector,Top of cell,8,0.2,0.8,6,359,353,0.04,4.93,mm3,1,0x0000000000002245
3,7,Gritti_2006_sections_ChAT_neurons_quantitation,Optical disector,Top of cell,8,0.2,0.8,6,359,34,0.08,4.94,mm3,1,0x0000000000002246
4,8,Hain_2016_sections_cells_quantitation_stereology,,Widest extent of cell,,0.072,,2,,,,,,1,0x0000000000002247
5,9,Hardman_2002_STN_stereology,Optical disector,,,,,4,,,0.069,0.8,mm3,1,0x0000000000002248
6,10,Hardman_2002_GP_stereology,Optical disector,,,,,6,,,0.069,10.4,mm3,1,0x0000000000002249
7,11,Hardman_2002_EP_stereology,Optical disector,,,,,5,,,0.069,2.2,mm3,1,0x000000000000224A
8,12,Hardman_2002_SNc_stereology,Optical disector,,,,,5,,,0.069,,,1,0x000000000000224B
9,13,Hardman_2002_SNr_stereology,Optical disector,,,,,5,,,0.069,,,1,0x000000000000224C
10,14,Lawrence_2012_sections_glia_quantitation_nacc_stereology,Optical disector,,,,,,,,0.07,,,1,0x000000000000224D
11,15,Lawrence_2012_sections_neurons_quantitation_nacc_stereology,Optical disector,,,,,,,,0.05,,,1,0x000000000000224E
12,16,Löscher_2006_stereology,Optical disector,,,,,2,,,,,,1,0x000000000000224F
13,18,Mori_2017_sections_TH_cells_quantitation_snc_stereology,Optical disector,,,0.25,,,,,,,,1,0x0000000000002250
14,19,Nair-Roberts_2008_stereology,Optical disector,Top of nucleus,20,0.05,0.55,,,,,,,1,0x0000000000002251
15,20,Parish_2001_sections_snc_TH_stereology,Optical disector,Top of cell,,0.0804,1.0,10,,,0.1,,,1,0x0000000000002252
16,21,Parish_2001_sections_snc_NR_stereology,Optical disector,Top of nucleus,,0.0804,1.0,10,,,0.1,,,1,0x0000000000002253
17,22,Parish_2001_sections_str_stereology,Optical disector,,,0.0007,,8,,,0.1,,,1,0x0000000000002254
18,23,Pickel_1999_sections_NPY_axonterminals_quantitation_stereology,Physical disector,,,,,18,,,,,,1,0x0000000000002255
19,25,Richards_2007_stereology_SNr,Physical disector,,,,,,,,,1.43,mm3,1,0x0000000000002256
20,26,Richards_2007_stereology_SNc,Physical disector,,,,,,,,,,,0,0x0000000000002257
21,27,Sizemore_2016_stereology,Physical disector,,,,,7,,,,,,1,0x0000000000002258
22,28,Uryu_1999_stereology,Physical disector,,,,,2,,,,,,1,0x0000000000002259
23,29,Vadasz_2007_stereology,Optical disector,,,,0.55,,,209,0.08,,,1,0x000000000000225A
24,30,Vidyadhara_2016_stereology,Optical disector,Top of nucleus,17,0.16,0.68,,,,,,,1,0x000000000000225B
25,31,West_1996_stereology,Optical disector,Top of nucleus,,0.1036,0.75,12,,150,0.096,,,1,0x000000000000225C
26,32,Wissman_2012_stereology_females_spines,Physical disector,,,,,15,,,0.084,3.86,mm3,1,0x000000000000225D
27,33,Wissman_2012_stereology_males_spines,Physical disector,,,,,15,,,0.084,3.77,mm3,1,0x000000000000225E
28,34,Wissman_2012_stereology_males_shaft,Physical disector,,,,,15,,,0.45,3.77,mm3,1,0x000000000000225F
29,35,Wissman_2012_stereology_females_shaft,Physical disector,,,,,15,,,0.45,3.86,mm3,1,0x0000000000002260
30,36,Baquet_2009_stereology,Optical disector,Top of nucleus,20,0.09,0.91,,,,0.1,,,1,0x0000000000002261
31,37,Finkelstein_2000_stereology,Optical disector,Top of nucleus,,0.034,,,,,0.04,,,1,0x0000000000002262
32,38,Smeyne_2005_stereology,Optical disector,Top of nucleus,,,,,,,,,,1,0x0000000000002263
33,39,Zaborszky_2001_stereology,Optical disector,,,0.25,0.7,,,264,,,,1,0x0000000000002264
34,40,NMO_Henny_2013_ultrathin_VGluT2_terminals_quantitation_stereology,Optical disector,Top of synapse,0,0.00543,,,,79,,,,1,0x0000000000002265
35,41,NMO_Henny_2013_ultrathin_VGAT_terminals_quantitation_stereology,Optical disector,Top of synapse,0,0.00543,,,,79,,,,1,0x0000000000002266
36,42,NMO_Henny_2013_ultrathin_synapses_quantitation_stereology,Optical disector,Top of synapse,0,,0.01087,,,79,,,,1,0x0000000000002267
37,43,Aguirre_2001_stereology,Optical disector,,,,,,,,0.07,,,1,0x0000000000002268
38,44,Chan_1997_stereology,Optical disector,Top of nucleolus,8,,0.5,,,,0.1,,,1,0x0000000000002269
39,45,Frau_2011_stereology,Optical disector,,12,,,3,,,,,,1,0x000000000000226A
40,46,Gomide_2005_stereology,Optical disector,,12,,,,,,0.1,0.21,mm3,1,0x000000000000226B
41,47,Gonzales-Aparicio_2011_stereology,Optical disector,,,0.15,,,,,0.04,,,1,0x000000000000226C
42,48,Grieb_2013_stereology,Optical disector,,20,0.11,,10,,200,0.12,,,1,0x000000000000226D
43,49,Gross_2003_stereology,Optical disector,Top of nucleus,0,0.14,,,,,,,,1,0x000000000000226E
44,50,Hermann_2013_stereology,Optical disector,Top of nucleus,29,0.25,0.936,10,,,0.05,,,1,0x000000000000226F
45,51,Horvath_2011_stereology,Optical disector,,20,,,,,120,0.104,,,1,0x0000000000002270
46,52,Ip_2017_ImageJ_stereology,Optical disector,,13,0.15,,13,,,0.08,,,1,0x0000000000002271
47,53,Ip_2017_stereology,Optical disector,,13,0.15,,13,,,0.08,,,1,0x0000000000002272
48,54,Janis_2008_stereology,Optical disector,,14,,0.78,6,,,0.08,,,1,0x0000000000002273
49,55,Johnson_2010_stereology_rat,Optical disector,,8,0.11,0.67,7,,,0.1,,,1,0x0000000000002274
50,56,Johnson_2010_stereology_mouse,Optical disector,,8,0.11,0.67,6,,,0.1,,,1,0x0000000000002275
51,57,Johnson_2010b_stereology_rat,Optical disector,,8,0.11,0.67,7,,,0.1,,,1,0x0000000000002276
52,58,Johnson_2010b_stereology_mouse,Optical disector,,8,0.11,0.67,6,,,0.1,,,1,0x0000000000002277
53,59,Kang_2010_stereology,Optical disector,Top of cell,20,0.32,,12,,,,,,1,0x0000000000002278
54,60,Kincaid_2001_stereology,Optical disector,,10,0.07,0.5,11,331,,0.085,,,1,0x0000000000002279
55,61,Komnig_2016_stereology,Optical disector,,,,,6,,,,,,1,0x000000000000227A
56,62,Komnig_2016b_stereology,Optical disector,,,,,,,,,,,0,0x000000000000227B
57,63,Liu_2004_stereology,Optical disector,,,,,,,,0.8,,,1,0x000000000000227C
