,Unnamed: 0,ID,Region_name,Nomenclature,preferred,Abbreviation,Comments,General_name
0,0,1,WHS_Caudoputamen,3,1,,,Caudoputamen
1,1,2,AMBA_Caudoputamen,2,1,,,Caudoputamen
2,2,3,WHS_Accumbens nucleus,3,1,,,Accumbens nucleus
3,3,8,WHS_Substantia nigra compact part,3,1,,,Substantia nigra compact part
4,4,9,WHS_Substantia nigra reticular part,3,1,,,Substantia nigra reticular part
5,5,10,AMBA_pars compacta,2,1,,,pars compacta
6,6,11,AMBA_pars reticulata,2,1,,,pars reticulata
7,7,13,AMBA_striatum ventral region,2,1,,,striatum ventral region
8,8,14,AMBA_pallidum dorsal region,2,1,,,pallidum dorsal region
9,9,15,AMBA_pallidum ventral region,2,1,,,pallidum ventral region
10,10,16,WHS_Substantia nigra lateral part,3,1,,,Substantia nigra lateral part
11,11,17,AMBA_Internal segment,2,1,,,Internal segment
12,12,18,AMBA_External segment,2,1,,,External segment
13,13,19,AMBA_Nucleus accumbens,2,1,,,Nucleus accumbens
14,14,20,AMBA_Fundus of striatum,2,1,,,Fundus of striatum
15,15,21,AMBA_Substantia innominata,2,1,,,Substantia innominata
16,16,22,WHS_Subthalamic nucleus,3,1,,,Subthalamic nucleus
17,17,23,AMBA_Subthalamic nucleus,2,1,,,Subthalamic nucleus
18,18,24,WHS_Striatum,3,1,,,Striatum
19,19,25,WHS_Substantia nigra,3,1,,,Substantia nigra
20,20,26,AMBA_Substantia nigra,2,1,,,Substantia nigra
21,21,27,AMBA_Striatum,2,1,,,Striatum
22,22,28,AMBA_Pallidum,2,1,,,Pallidum
23,23,29,WHS_Globus pallidus,3,1,,,Globus pallidus
24,24,30,WHS_Entopeduncular nucleus,3,1,,,Entopeduncular nucleus
25,25,31,AMBA_Midbrain,2,1,,,Midbrain
26,26,32,WHS_Brainstem,3,1,,,Brainstem
27,27,33,Brain,,1,,,Brain
28,28,34,Basal ganglia,,1,,,Basal ganglia
29,29,35,AMBA_Ventral tegmental area,2,1,,,Ventral tegmental area
0,0,6,Sw04_Caudoputamen,6,0,CP,"Defined as the dorsal region of the striatum, immidiately dorsal to the nucleus accumbens, distinguished based on the presence of massive fiber bundles coursing through the structure",Caudoputamen
