,bg_id,bams_id,relation_type,description
0,43,1,overlapping,"The rostral part of Swanson's Agranular insular area, dorsal part overlaps with WHS dorsolateral orbital cortex. More posteriorly, it includes WHS agranular insular cortex, both dorsal part, but also overlaps with WHS agranular insular cortex, ventral part and the anterior part of the dysgranular insular cortex. "
1,45,1,includes,"The rostral part of Swanson's Agranular insular area, dorsal part overlaps with WHS dorsolateral orbital cortex. More posteriorly, it includes WHS agranular insular cortex, both dorsal part, but also overlaps with WHS agranular insular cortex, ventral part and the anterior part of the dysgranular insular cortex. "
2,44,1,overlapping,"The rostral part of Swanson's Agranular insular area, dorsal part overlaps with WHS dorsolateral orbital cortex. More posteriorly, it includes WHS agranular insular cortex, both dorsal part, but also overlaps with WHS agranular insular cortex, ventral part and the anterior part of the dysgranular insular cortex. "
3,46,1,overlapping,"The rostral part of Swanson's Agranular insular area, dorsal part overlaps with WHS dorsolateral orbital cortex. More posteriorly, it includes WHS agranular insular cortex, both dorsal part, but also overlaps with WHS agranular insular cortex, ventral part and the anterior part of the dysgranular insular cortex. "
4,47,2,identical,"Swanson's Agranular insular area posterior part (AIp) is largely identical to the WHS agranular insular cortex, posterior part"
5,48,3,overlapping,Swanson's anterior amygdaloid area overlaps with both the basal forebrain and the neocortex in WHS
6,52,3,overlapping,Swanson's anterior amygdaloid area overlaps with both the basal forebrain and the neocortex in WHS
7,49,4,overlapping,"Swanson's anterior cingulate area consists of a dorsal and a ventral part (ACAd and ACAv) that should broadly correpond to WHS cingulate cortex area 1 and 2, respectively. However, Swanson's ACAd is more narrowly defined dorsally than the corresponding area in WHS and also overlaps with prelimbic and secondary motor cortices in WHS at its rostral extreme. Swanson's ACAv is part of WHS cingulate cortex area 2, but the latter extends more caudally compared to Swanson's ACAv."
8,50,4,overlapping,"Swanson's anterior cingulate area consists of a dorsal and a ventral part (ACAd and ACAv) that should broadly correpond to WHS cingulate cortex area 1 and 2, respectively. However, Swanson's ACAd is more narrowly defined dorsally than the corresponding area in WHS and also overlaps with prelimbic and secondary motor cortices in WHS at its rostral extreme. Swanson's ACAv is part of WHS cingulate cortex area 2, but the latter extends more caudally compared to Swanson's ACAv."
9,67,4,overlapping,"Swanson's anterior cingulate area consists of a dorsal and a ventral part (ACAd and ACAv) that should broadly correpond to WHS cingulate cortex area 1 and 2, respectively. However, Swanson's ACAd is more narrowly defined dorsally than the corresponding area in WHS and also overlaps with prelimbic and secondary motor cortices in WHS at its rostral extreme. Swanson's ACAv is part of WHS cingulate cortex area 2, but the latter extends more caudally compared to Swanson's ACAv."
10,80,4,overlapping,"Swanson's anterior cingulate area consists of a dorsal and a ventral part (ACAd and ACAv) that should broadly correpond to WHS cingulate cortex area 1 and 2, respectively. However, Swanson's ACAd is more narrowly defined dorsally than the corresponding area in WHS and also overlaps with prelimbic and secondary motor cortices in WHS at its rostral extreme. Swanson's ACAv is part of WHS cingulate cortex area 2, but the latter extends more caudally compared to Swanson's ACAv."
11,49,5,overlapping,"Swanson's anterior cingulate area dorsal part overlaps with secondary motor cortex and prelimbic cortex at its rostral extreme. From AP level 5.51, it overlaps with WHS prelimbic cortex and cingulate cortex, area 1. In general, the WHS cingulate cortex, area 1 extends far more dorsally than Swanson's ACAd at these levels. From AP level 6.63-7.91, Swanson's ACAd is part of WHS cingulate cortex, area 2. More posteriorly, it corresponds well to WHS cingulate cortex, area 1. Thus, the Swanson ACAd is more narrowly defined than its WHS counterpart (cingulate cortex, area 1), except for in the rostral extreme."
12,50,5,overlapping,"Swanson's anterior cingulate area dorsal part overlaps with secondary motor cortex and prelimbic cortex at its rostral extreme. From AP level 5.51, it overlaps with WHS prelimbic cortex and cingulate cortex, area 1. In general, the WHS cingulate cortex, area 1 extends far more dorsally than Swanson's ACAd at these levels. From AP level 6.63-7.91, Swanson's ACAd is part of WHS cingulate cortex, area 2. More posteriorly, it corresponds well to WHS cingulate cortex, area 1. Thus, the Swanson ACAd is more narrowly defined than its WHS counterpart (cingulate cortex, area 1), except for in the rostral extreme."
13,67,5,overlapping,"Swanson's anterior cingulate area dorsal part overlaps with secondary motor cortex and prelimbic cortex at its rostral extreme. From AP level 5.51, it overlaps with WHS prelimbic cortex and cingulate cortex, area 1. In general, the WHS cingulate cortex, area 1 extends far more dorsally than Swanson's ACAd at these levels. From AP level 6.63-7.91, Swanson's ACAd is part of WHS cingulate cortex, area 2. More posteriorly, it corresponds well to WHS cingulate cortex, area 1. Thus, the Swanson ACAd is more narrowly defined than its WHS counterpart (cingulate cortex, area 1), except for in the rostral extreme."
14,80,5,overlapping,"Swanson's anterior cingulate area dorsal part overlaps with secondary motor cortex and prelimbic cortex at its rostral extreme. From AP level 5.51, it overlaps with WHS prelimbic cortex and cingulate cortex, area 1. In general, the WHS cingulate cortex, area 1 extends far more dorsally than Swanson's ACAd at these levels. From AP level 6.63-7.91, Swanson's ACAd is part of WHS cingulate cortex, area 2. More posteriorly, it corresponds well to WHS cingulate cortex, area 1. Thus, the Swanson ACAd is more narrowly defined than its WHS counterpart (cingulate cortex, area 1), except for in the rostral extreme."
15,50,6,part of,"Swanson's ACAv is part of WHS cingulate cortex area 2, but the latter extends more caudally compared to Swanson's ACAv."
16,51,7,part of,Swanson's Anterior hypothalamic central part (AHNc) is part of the WHS hypothalamic region
17,51,8,part of,Swanson's Anterior hypothalamic nucleus anterior part (AHNa) is part of the WHS hypothalamic region
18,51,9,part of,Swanson's Anterior hypothalamic posterior part (AHNp) is part of the WHS hypothalamic region
19,52,10,part of,Swanson's Basolateral nucleus of the amygdala (BLA) is part of the WHS neocortex
20,52,11,part of,Swanson's Basomedial nucleus of the amygdala anterior part (BMAa) is part of the WHS neocortex
21,52,12,part of,Swanson's Basomedial nucleus of the amygdala posterior part (BMAp) is part of the WHS neocortex
22,48,13,part of,Swanson's Bed nuclei of the stria terminalis anterior division fusiform nucleus (BSTfu) is part of the WHS basal forebrain region
23,48,14,part of,Swanson's Bed nuclei of the stria terminalis anterior division ventral nucleus (BSTv) is part of the WHS basal forebrain region
24,1,15,overlapping,"At its rostral extreme, Swanson's bed nucleus of the stria terminalis anterolateral area (BSTal) is part of the WHS caudoputamen. More caudally, the part dorsal to the anterior commissure is part of the WHS bed nucleus of the stria terminalis while the subcommissural part is part of the basal forebrain region."
25,53,15,overlapping,"At its rostral extreme, Swanson's bed nucleus of the stria terminalis anterolateral area (BSTal) is part of the WHS caudoputamen. More caudally, the part dorsal to the anterior commissure is part of the WHS bed nucleus of the stria terminalis while the subcommissural part is part of the basal forebrain region."
26,48,15,overlapping,"At its rostral extreme, Swanson's bed nucleus of the stria terminalis anterolateral area (BSTal) is part of the WHS caudoputamen. More caudally, the part dorsal to the anterior commissure is part of the WHS bed nucleus of the stria terminalis while the subcommissural part is part of the basal forebrain region."
27,1,16,overlapping,"At its rostral extreme, Swanson's bed nucleus of the stria terminalis anteromedial area (BSTam) overlaps with WHS basal forebrain and caudoputamen. More caudally, the part dorsal to the anterior commissure is part of the WHS bed nucleus of the stria terminalis while the subcommissural part is part of the basal forebrain region."
28,53,16,overlapping,"At its rostral extreme, Swanson's bed nucleus of the stria terminalis anteromedial area (BSTam) overlaps with WHS basal forebrain and caudoputamen. More caudally, the part dorsal to the anterior commissure is part of the WHS bed nucleus of the stria terminalis while the subcommissural part is part of the basal forebrain region."
29,48,16,overlapping,"At its rostral extreme, Swanson's bed nucleus of the stria terminalis anteromedial area (BSTam) overlaps with WHS basal forebrain and caudoputamen. More caudally, the part dorsal to the anterior commissure is part of the WHS bed nucleus of the stria terminalis while the subcommissural part is part of the basal forebrain region."
30,53,17,part of,Swanson's Bed nuclei of the stria terminalis dorsal nucleus (BSTd) is part of the WHS bed nucleus of the stria terminalis
31,53,18,overlapping,"The dorsal part of Swanson's Bed nuclei of the stria terminalis juxtacapsular nucleus overlaps the WHS bed nucleus of the stria terminalis, while the ventral part overlaps basal forebrain."
32,48,18,overlapping,"The dorsal part of Swanson's Bed nuclei of the stria terminalis juxtacapsular nucleus overlaps the WHS bed nucleus of the stria terminalis, while the ventral part overlaps basal forebrain."
33,53,19,overlapping,The anterodorsal part of Swanson's bed nuclei of stria terminalis oveal nucleus overlaps with WHS bed nucleus of the stria terminalis while the posteroventral part overlaps with WHS basal forebrain region
34,48,19,overlapping,The anterodorsal part of Swanson's bed nuclei of stria terminalis oveal nucleus overlaps with WHS bed nucleus of the stria terminalis while the posteroventral part overlaps with WHS basal forebrain region
35,48,20,part of,Swanson's Bed nuclei of the stria terminalis rhomboid nucleus (BSTrh) is part of the WHS basal forebrain
36,48,21,part of,"Swanson's Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc) is part of the WHS basal forebrain"
37,1,22,identical,"WHS' caudoputamen can be considered identical to Swanson's caudoputamen with only minor discrepancies. Rostral to and including at bregma 1.20 (0.65 from Waxholm bregma), Swanson's caudoputamen is contained in Waxholm's striatum, with borders more or less identical. At 0.95 from bregma (0.33 from Waxholm bregma), Swanson's fundus of striatum is situated inside WHS' caudoputamen. However, this is the only overlap between WHS caudoputamen and Swanson's fundus of striatum. More posteriorly, Swanson's fundus of striatum is situated within Waxholm's basal forebrain. In the remaining sections, WHS' caudoputamen seems more or less identical to Swanson's caudoputamen, although note that the ventral border of Swanson's caudoputamen is not always defined, and might be defined slightly differently in some of these posterior sections."
38,54,23,overlapping,"Swanson's central lateral and central medial nucleus of the thalamus are both part of the WHS central medial thalamic nucleus. However, they are not continuous as the WHS structure is, and do not together make up the whole WHS region."
39,32,24,part of,Swanson's Central linear nucleus raphe (CLI) is part of the WHS Brainstem
40,54,25,overlapping,"Swanson's central lateral and central medial nucleus of the thalamus are both part of the WHS central medial thalamic nucleus. However, they are not continuous as the WHS structure is, and do not together make up the whole WHS region."
41,48,26,overlapping,Swanson's Central nucleus of amygdala (CEA) overlaps WHS basal forebrain region and neocortex
42,52,26,overlapping,Swanson's Central nucleus of amygdala (CEA) overlaps WHS basal forebrain region and neocortex
43,48,27,part of,Swanson's Central nucleus of amygdala lateral part (CEAl) is part of the WHS basal forebrain region
44,78,28,part of,"Swanson's dorsal auditory areas largely correspond to WHS secondary auditory cortex, dorsal area, but the latter seems slightly larger and in particular extends further caudally than the former."
45,55,29,part of,"The anterior part of Swanson's dorsal raphe nucleus is part of the WHS periaqueductal gray, the posterior part is part of WHS periventricular gray"
46,56,29,part of,"The anterior part of Swanson's dorsal raphe nucleus is part of the WHS periaqueductal gray, the posterior part is part of WHS periventricular gray"
47,51,30,part of,Swanson's Dorsal premammillary nucleus (PMd) is part of the WHS hypothalamic region
48,57,31,overlapping,"Anteriorly, Swanson's ectorhinal cortex overlaps both perirhinal areas 35 and 36 in the WHS. Its WHS counterpart should be the perirhinal area 36 (PER36), but the WHS PER36 seems to have a much larger dorsal extent than Swanson's ectorhinal area. Posteriorly, Swanson's ectorhinal area extends to include the entire WHS postrhinal cortex and also overlaps with WHS temporal association cortex."
49,58,31,overlapping,"Anteriorly, Swanson's ectorhinal cortex overlaps both perirhinal areas 35 and 36 in the WHS. Its WHS counterpart should be the perirhinal area 36 (PER36), but the WHS PER36 seems to have a much larger dorsal extent than Swanson's ectorhinal area. Posteriorly, Swanson's ectorhinal area extends to include the entire WHS postrhinal cortex and also overlaps with WHS temporal association cortex."
50,60,31,includes,"Anteriorly, Swanson's ectorhinal cortex overlaps both perirhinal areas 35 and 36 in the WHS. Its WHS counterpart should be the perirhinal area 36 (PER36), but the WHS PER36 seems to have a much larger dorsal extent than Swanson's ectorhinal area. Posteriorly, Swanson's ectorhinal area extends to include the entire WHS postrhinal cortex and also overlaps with WHS temporal association cortex."
51,61,32,overlapping,"Swanson's entorhinal area comprises a lateral part, a medial part, and a medial part, ventral zone. The lateral part largely overlaps with WHS lateral entorhinal cortex but also has areas overlapping with the WHS postrhinal cortex. The medial part has some overlap with the parasubiculum rostrally, but otherwise largely corresponds to WHS medial entorhinal cortex."
52,59,32,overlapping,"Swanson's entorhinal area comprises a lateral part, a medial part, and a medial part, ventral zone. The lateral part largely overlaps with WHS lateral entorhinal cortex but also has areas overlapping with the WHS postrhinal cortex. The medial part has some overlap with the parasubiculum rostrally, but otherwise largely corresponds to WHS medial entorhinal cortex."
53,62,32,overlapping,"Swanson's entorhinal area comprises a lateral part, a medial part, and a medial part, ventral zone. The lateral part largely overlaps with WHS lateral entorhinal cortex but also has areas overlapping with the WHS postrhinal cortex. The medial part has some overlap with the parasubiculum rostrally, but otherwise largely corresponds to WHS medial entorhinal cortex."
