,ID,First_author,Published,Title,Journal,Species
0,1,"Aaron, LI",1989,Heterogeneous distribution of polysialylated neuronal-cell adhesion molecule during post-natal development and in the adult: an immunohistochemical study in the rat brain.,11,Rat
1,2,"Abe, K",2001,"Biochemical and pathological study of endogenous 1-benzyl-1,2,3,4-tetrahydroisoquinoline-induced parkinsonism in the mouse.",21,Mouse
2,3,"Adelbrecht, C",1996,"Effect of the weaver mutation on the expression of dopamine membrane transporter, tyrosine hydroxylase and vesicular monoamine transporter in dopaminergic neurons of the substantia nigra and the ventral tegmental area.",38,Mouse
3,4,"Aguirre, JA",1999,"A stereological study on the neuroprotective actions of acute modafinil treatment on 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced nigral lesions of the male black mouse.",8,Mouse
4,5,"Ahmed, M",2018,"Neuroprotective role of chrysin in attenuating loss of dopaminergic neurons and improving motor, learning and memory functions in rats.",39,Rat
5,6,"Ahn, TB",2005,Absence of nigrostriatal degeneration in LEC rats up to 20 weeks of age.,40,Rat
6,7,"Akanuma, S",2013,Localization of organic anion transporting polypeptide (Oatp) 1a4 and Oatp1c1 at the rat blood-retinal barrier.,41,Rat
7,8,"Albanese, A",1996,"Functional impairment of nigrostriatal neurons progresses following withdrawal of 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine.",11,Mouse
8,9,"Alexi, T",1996,Neurotrophin-4/5 selectively protects nigral calbindin-containing neurons in rats with medial forebrain bundle transections.,11,Rat
9,10,"Allen, JP",2003,Somatostatin receptor 2 knockout/lacZ knockin mice show impaired motor coordination and reveal sites of somatostatin action within the striatum.,2,Mouse
10,11,"Altar, A",1983,The crossed mesostriatal projection: neurochemistry and developmental response to lesion.,21,Rat
11,12,"Alter, SP",2016,Reduced vesicular monoamine transport disrupts serotonin signaling but does not cause serotonergic degeneration.,18,Mouse
12,13,"Althini, SB",2003,Normal nigrostriatal innervation but dopamine dysfunction in mice carrying hypomorphic tyrosine hydroxylase alleles.,26,Mouse
13,14,"Amadio, S",2006,Oligodendrocytes express P2Y12 metabotropic receptor in adult rat brain.,11,Rat
14,15,"Amano, T",2002,Effects of single low dose irradiation on subventricular zone cells in juvenile rat brain.,40,Rat
15,16,"Anaya-Martinez, V",2006,Substantia nigra compacta neurons that innervate the reticular thalamic nucleus in the rat also project to striatum or globus pallidus: implications for abnormal motor behavior.,11,Rat
16,17,"Andres, ME",1996,NMDA-NR1 receptor subunit mRNA expression in rat brain after 6-OH-dopamine induced lesions: a non-isotopic in situ hybridization study.,26,Rat
17,18,"Andrews, ZB",2005,Uncoupling protein-2 is critical for nigral dopamine cell survival in a mouse model of Parkinson's disease.[Erratum appears in J Neurosci. 2005 Feb 23;25(8):table of contents],7,Mouse
18,19,"Anglade, P",1996,Synaptic plasticity in the caudate nucleus of patients with Parkinson's disease.,42,Human
19,20,"Aoi, M",2000,The effect of intrastriatal single injection of GDNF on the nigrostriatal dopaminergic system in hemiparkinsonian rats: behavioral and histological studies using two different dosages.,40,Rat
