,ID,Species,Age_category,Ontological_identifier,Description
0,1,2,Postnatal,,A mouse 0-13 days old
1,2,2,Juvenile,NLXORG:109064,A mouse 14-29 days old
2,3,2,Adolescent,NLXORG:109065,A mouse 30-55 days old
3,4,2,Adult,ILX:0100370,A mouse 56-539 days old
4,5,2,Old,NLXORG:109099,A mouse 540 days or older
5,6,1,Juvenile,NLXORG:109070,A rat 19-28 days old
6,7,1,Postnatal,,A rat 0-19 days old
7,8,1,Adolescent,,A rat 29-59 days old
8,9,1,Adult,ILX:0100381,A rat 60-719 days old
9,10,1,Old,,A rat 720 days or older
