,ID,Transgenic_line_name,Transgenic_line_RRID
0,1,PV-IRES-Cre/CAG-Lox-stop-Lox-H2B-GFP,
1,2,SST-IRES-Cre/CAG-Lox-stop-Lox-H2B-GFP,
2,3,VIP-IRES-Cre/CAG-Lox-stop-Lox-H2B-GFP,
3,4,nNOS-CreER:SST-flp/CAG-Frt-STOP-Frt-LoxP-STOP-LoxP-tdTomato,
4,5,CR-IRES-Cre:SST-flp/CAG-Frt-STOP-Frt-LoxP-STOP-LoxP-tdTomato,
5,6,CCK-IRES-Cre:VIP-flp/CAG-Frt-STOP-Frt-LoxP-STOP-LoxP-tdTomato,
6,7,CR-IRES-Cre:VIP-flp/CAG-Frt-STOP-Frt-LoxP-STOP-LoxP-tdTomato,
7,8,Nestin-Cre,
8,9,Cre-LacZ,
9,10,Tg(TH-EGFP)1Gsat,
10,11,Drd1a-EGFP,
11,12,Drd2-EGFP,
12,13,B6.Tg(Pvalb-EGFP)1Hmon,
13,14,Tg(GAD65_3e/gfp3.3)#15,
14,15,Cre-DAT x Gt(ROSA)26Sortm9(CAG-tdTo- mato)Hze,
15,16,Tg(Th–EGFP)1Gsat/MNmnc,
16,17,D1-tdTomato x D2-eGFP,
17,18,BAC D1R-tomato,
18,19,BAC D2R-eGFP,
19,20,SOM-IRES-Cre x Ai3-EYFP,RRID:IMSR_JAX:007903
