,label,id1,analysis1,id2,analysis2,similarity
0,,,,,,
1,[Analysis],643,Lawhorn_2009_sections_neurons_quantitation,618,Hawlitschka_2017_sections_chat_cells_quantitation,0.18181818181818182
2,,,,,,
3,[Analysis],644,Lawhorn_2008_sections_neurons_quantitation,617,Guidetti_2001_sections_spines_secondary_quantitation,0.2
4,,,,,,
5,[Analysis],644,Lawhorn_2008_sections_neurons_quantitation,616,Guidetti_2001_sections_spines_primary_quantitation,0.2
6,,,,,,
7,[Analysis],674,Ren_2017_sections_D2_MSNs_quantitation,170,McArthur_2016_female_sections_TH_cells_quantitation,0.2
8,,,,,,
9,[Analysis],674,Ren_2017_sections_D2_MSNs_quantitation,173,McArthur_2016_male_sections_TH_cells_quantitation,0.2
10,,,,,,
11,[Analysis],673,Ren_2017_sections_D1_MSNs_quantitation,170,McArthur_2016_female_sections_TH_cells_quantitation,0.2
12,,,,,,
13,[Analysis],673,Ren_2017_sections_D1_MSNs_quantitation,173,McArthur_2016_male_sections_TH_cells_quantitation,0.2
14,,,,,,
15,[Analysis],643,Lawhorn_2009_sections_neurons_quantitation,619,Ibanez-Sandoval_2010_sections_th_neurons_quantitation,0.2
16,,,,,,
17,[Analysis],469,Lawson_1990_sections_microglia_quantitation,605,Gomes_2015_sections_GFAP_cells_quantitation,0.23529411764705882
18,,,,,,
19,[Analysis],469,Lawson_1990_sections_microglia_quantitation,606,Gomes_2015_sections_Iba1_all_cells_quantitation,0.23529411764705882
20,,,,,,
21,[Analysis],614,Goodliffe_2018_slices_vglut2_boutons_quantitation,698,Saylor_2006_sections_proximal_spines_quantitation,0.25
22,,,,,,
23,[Analysis],613,Goodliffe_2018_slices_vglut1_boutons_quantitation,698,Saylor_2006_sections_proximal_spines_quantitation,0.25
24,,,,,,
25,[Analysis],672,Ramaswamy_2009_sections_neurons_quantitation,122,Hain_2016_sections_cells_quantitation,0.3
26,,,,,,
27,[Analysis],672,Ramaswamy_2009_sections_neurons_quantitation,401,Stayte_2015_shamveh_sections_Neun_neurons_quantitation,0.3
28,,,,,,
29,[Analysis],672,Ramaswamy_2009_sections_neurons_quantitation,398,Stayte_2015_sham_sections_neun_neurons_quantitation,0.3
30,,,,,,
31,[Analysis],184,Neuhofer_2015_ultrathin_synapses_quantitation,100,Fauchey_2000_sections_PPA/D3_PPA-/D3+_cells_quantitation,0.3
32,,,,,,
33,[Analysis],184,Neuhofer_2015_ultrathin_synapses_quantitation,99,Fauchey_2000_sections_PPA/D3_cells_quantitation,0.3
34,,,,,,
35,[Analysis],469,Lawson_1990_sections_microglia_quantitation,194,Ong_2002_sections_apoD_cells_quantitation,0.3125
36,,,,,,
37,[Analysis],300,Zaborszky_2001_C4A6_sections_TH_neurons_quantitation,554,Busceti_2008_PN16_sections_TH_neurons_quantitation,0.3333333333333333
38,,,,,,
39,[Analysis],300,Zaborszky_2001_C4A6_sections_TH_neurons_quantitation,553,Busceti_2008_PN1_sections_TH_neurons_quantitation,0.3333333333333333
40,,,,,,
41,[Analysis],194,Ong_2002_sections_apoD_cells_quantitation,683,Robinson_1995_semithin_large_neurons_quantitation,0.3333333333333333
42,,,,,,
43,[Analysis],194,Ong_2002_sections_apoD_cells_quantitation,684,Robinson_1995_semithin_MSN_neurons_quantitation,0.3333333333333333
44,,,,,,
45,[Analysis],194,Ong_2002_sections_apoD_cells_quantitation,685,Robinson_1995_semithin_oligodendrocytes_quantitation,0.3333333333333333
46,,,,,,
47,[Analysis],184,Neuhofer_2015_ultrathin_synapses_quantitation,322,NMO_Martone_2006_slices_MSN_neurons_morphology,0.3333333333333333
48,,,,,,
49,[Analysis],597,Dos Santos_2018_sections_TH_boutons_quantitation,736,Xu_2007_p60_sections_ppt_neurons_quantitation,0.3333333333333333
50,,,,,,
51,[Analysis],370,McCormack_2002_sections_GAD_neurons_quantitation,371,McCormack_2002_sections_TH_neurons_quantitation,0.3333333333333333
52,,,,,,
53,[Analysis],370,McCormack_2002_sections_GAD_neurons_quantitation,372,McCormack_2002_sections_TH_nissl_quantitation,0.3333333333333333
54,,,,,,
55,[Analysis],373,McCormack_2002_sections_GAD_nissl_quantitation,371,McCormack_2002_sections_TH_neurons_quantitation,0.3333333333333333
56,,,,,,
57,[Analysis],373,McCormack_2002_sections_GAD_nissl_quantitation,372,McCormack_2002_sections_TH_nissl_quantitation,0.3333333333333333
58,,,,,,
59,[Analysis],144,Kusnoor_2010_ultrathinsections_synapses_quantitation,617,Guidetti_2001_sections_spines_secondary_quantitation,0.3333333333333333
60,,,,,,
61,[Analysis],614,Goodliffe_2018_slices_vglut2_boutons_quantitation,550,Antzoulatos_2011_sections_spines_quantitation,0.3333333333333333
62,,,,,,
63,[Analysis],613,Goodliffe_2018_slices_vglut1_boutons_quantitation,550,Antzoulatos_2011_sections_spines_quantitation,0.3333333333333333
64,,,,,,
65,[Analysis],667,Peterson_1999_sections_ChAT_neurons_quantitation,683,Robinson_1995_semithin_large_neurons_quantitation,0.375
66,,,,,,
67,[Analysis],185,Mori_2017_sections_TH_cells_quantitation,368,Ma_2009_mountedsections_nissl_neurons_quantitation,0.375
68,,,,,,
69,[Analysis],553,Busceti_2008_PN1_sections_TH_neurons_quantitation,337,Gonzales-Aparicio_2011_old_sections_TH_neurons_quantitation,0.375
70,,,,,,
71,[Analysis],670,Padungchaichot_1999_sections_NPY_neurons_quantitation,101,Fogarty_2017_old_slices_MSN_spines_quantitation,0.375
72,,,,,,
73,[Analysis],670,Padungchaichot_1999_sections_NPY_neurons_quantitation,176,McNeill_1990_6m_sections_ChAT_neurons_quantitation,0.375
74,,,,,,
75,[Analysis],670,Padungchaichot_1999_sections_NPY_neurons_quantitation,718,Zhang_2017_brains_SOM_neurons_quantitation,0.375
76,,,,,,
77,[Analysis],477,Ratzka_2012_P0_sections_TH_neurons_quantitation,520,Breckenridge_2013_study4_sections_CV_neurons_quantitation,0.375
78,,,,,,
79,[Analysis],477,Ratzka_2012_P0_sections_TH_neurons_quantitation,330,Becker_2017_sections_TH_cells_quantitation,0.375
80,,,,,,
81,[Analysis],668,Peterson_1999_sections_trka_neurons_quantitation,683,Robinson_1995_semithin_large_neurons_quantitation,0.375
82,,,,,,
83,[Analysis],220,Richards_2007_sections_neurons_quantitation,368,Ma_2009_mountedsections_nissl_neurons_quantitation,0.375
84,,,,,,
85,[Analysis],550,Antzoulatos_2011_sections_spines_quantitation,700,Saylor_2006_sections_all_spines_quantitation,0.375
86,,,,,,
87,[Analysis],80,Bayer_1994_sections_midbrain_THneuron_quantitation,375,Olson_2015_sections_TH_neurons_quantitation,0.375
88,,,,,,
89,[Analysis],628,Juckel_2011_sections_iba1_cells_quantitation,737,Zhang_2016_semithin_neurons_quantitation,0.375
90,,,,,,
91,[Analysis],444,Asyyed_2006_sections_xgal_neurons_quantitation,243,Vidyadhara_2016_bl6_sections_calb_neurons_quantitation,0.375
92,,,,,,
93,[Analysis],554,Busceti_2008_PN16_sections_TH_neurons_quantitation,337,Gonzales-Aparicio_2011_old_sections_TH_neurons_quantitation,0.375
94,,,,,,
95,[Analysis],555,Busceti_2008_PN8_sections_TH_neurons_quantitation,337,Gonzales-Aparicio_2011_old_sections_TH_neurons_quantitation,0.375
96,,,,,,
