,analysis1,id1,analysis2,id2,similarity
0,Busceti_2008_PN8_sections_TH_neurons_quantitation,555,Busceti_2008_PN1_sections_TH_neurons_quantitation,553,1.0
1,Busceti_2008_PN8_sections_TH_neurons_quantitation,555,Busceti_2008_PN16_sections_TH_neurons_quantitation,554,1.0
2,Busceti_2008_PN16_sections_TH_neurons_quantitation,554,Busceti_2008_PN1_sections_TH_neurons_quantitation,553,1.0
3,Busceti_2008_PN16_sections_TH_neurons_quantitation,554,Busceti_2008_PN8_sections_TH_neurons_quantitation,555,1.0
4,Busceti_2008_PN1_sections_TH_neurons_quantitation,553,Busceti_2008_PN16_sections_TH_neurons_quantitation,554,1.0
5,Busceti_2008_PN1_sections_TH_neurons_quantitation,553,Busceti_2008_PN8_sections_TH_neurons_quantitation,555,1.0
6,Smeyne_2005_bl6_sections_S100b_glia_quantitation,298,Smeyne_2005_SW_sections_S100b_glia_quantitation,299,1.0
7,Vidyadhara_2017_F1-1_sections_TH_neurons_quantitation,411,Chalimoniuk_2006_TH_sections_neurons_quantitation,446,1.0
8,Vidyadhara_2017_F1-1_sections_TH_neurons_quantitation,411,Vidyadhara_2017_c57bl/6_sections_th_neurons_quantitation,409,1.0
9,Purisai_2007_graphdata_sections_neurons_quantitation,525,Purisai_2007_graphdata_sections_TH_neurons_quantitation,526,1.0
10,Purisai_2007_graphdata_sections_neurons_quantitation,525,Purisai_2007_sections_neurons_quantitation,476,1.0
11,Purisai_2007_sections_neurons_quantitation,476,Purisai_2007_graphdata_sections_TH_neurons_quantitation,526,1.0
12,Purisai_2007_sections_neurons_quantitation,476,Purisai_2007_graphdata_sections_neurons_quantitation,525,1.0
13,Komnig_2016_24w_sections_TH_neurons_quantitation,363,Taylor_2014_6m_sections_neurons_quantitation,516,1.0
14,Komnig_2016_24w_sections_TH_neurons_quantitation,363,Taylor_2014_24m_sections_TH_neurons_quantitation,404,1.0
15,Taylor_2014_24m_sections_TH_neurons_quantitation,404,Taylor_2014_6m_sections_neurons_quantitation,516,1.0
16,Taylor_2014_24m_sections_TH_neurons_quantitation,404,Komnig_2016_24w_sections_TH_neurons_quantitation,363,1.0
17,Taylor_2014_6m_sections_neurons_quantitation,516,Taylor_2014_24m_sections_TH_neurons_quantitation,404,1.0
18,Taylor_2014_6m_sections_neurons_quantitation,516,Komnig_2016_24w_sections_TH_neurons_quantitation,363,1.0
19,Taylor_2014_30m_sections_TH_neurons_quantitation,405,Taylor_2014_24m_sections_TH_neurons_quantitation,404,1.0
20,Taylor_2014_30m_sections_TH_neurons_quantitation,405,Komnig_2016_24w_sections_TH_neurons_quantitation,363,1.0
21,Purisai_2007_graphdata_sections_TH_neurons_quantitation,526,Purisai_2007_sections_neurons_quantitation,476,1.0
22,Purisai_2007_graphdata_sections_TH_neurons_quantitation,526,Purisai_2007_graphdata_sections_neurons_quantitation,525,1.0
23,Taylor_2014_30m_sections_neurons_quantitation,515,Taylor_2014_24m_sections_TH_neurons_quantitation,404,1.0
24,Taylor_2014_30m_sections_neurons_quantitation,515,Komnig_2016_24w_sections_TH_neurons_quantitation,363,1.0
25,Komnig_2016b_sections_TH_neurons_quantitation,364,Taylor_2014_24m_sections_TH_neurons_quantitation,404,1.0
26,Komnig_2016b_sections_TH_neurons_quantitation,364,Komnig_2016_24w_sections_TH_neurons_quantitation,363,1.0
27,Taylor_2014_18m_sections_TH_neurons_quantitation,511,Taylor_2014_24m_sections_TH_neurons_quantitation,404,1.0
28,Taylor_2014_18m_sections_TH_neurons_quantitation,511,Komnig_2016_24w_sections_TH_neurons_quantitation,363,1.0
29,Komnig_2016b_sections_nissl_neurons_quantitation,505,Taylor_2014_24m_sections_TH_neurons_quantitation,404,1.0
30,Komnig_2016b_sections_nissl_neurons_quantitation,505,Komnig_2016_24w_sections_TH_neurons_quantitation,363,1.0
31,Tatenhorst_2014_140_sections_neurons_quantitation,532,Tatenhorst_2014_sections_neurons_quantitation,489,1.0
32,Tatenhorst_2014_140_sections_neurons_quantitation,532,Tatenhorst_2014_sections_TH_neurons_quantitation,488,1.0
33,Tatenhorst_2014_sections_TH_neurons_quantitation,488,Tatenhorst_2014_sections_neurons_quantitation,489,1.0
34,Tatenhorst_2014_sections_TH_neurons_quantitation,488,Tatenhorst_2014_140_sections_neurons_quantitation,532,1.0
35,Tatenhorst_2014_sections_neurons_quantitation,489,Tatenhorst_2014_sections_TH_neurons_quantitation,488,1.0
36,Tatenhorst_2014_sections_neurons_quantitation,489,Tatenhorst_2014_140_sections_neurons_quantitation,532,1.0
37,Tatenhorst_2014_140_sections_th_neurons_quantitation,531,Tatenhorst_2014_sections_TH_neurons_quantitation,488,1.0
38,Tatenhorst_2014_140_sections_th_neurons_quantitation,531,Tatenhorst_2014_140_sections_neurons_quantitation,532,1.0
39,Stayte_2015_shamveh_sections_TH_neurons_quantitation,400,Stayte_2015_sham_sections_TH_neurons_quantitation,399,1.0
40,Stayte_2015_sham_sections_TH_neurons_quantitation,399,Stayte_2015_shamveh_sections_TH_neurons_quantitation,400,1.0
41,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,Cullity_2018_DRD1P49F_sections_neurons_quantitation,575,1.0
42,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
43,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,Cullity_2018_DRD1P49F_sections_neurons_quantitation,575,1.0
44,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
45,Cullity_2018_DRD1P49F_sections_neurons_quantitation,575,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
46,Cullity_2018_DRD1P49F_sections_neurons_quantitation,575,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
47,Cullity_2018_DRD1P70F_sections_neurons_quantitation,577,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
48,Cullity_2018_DRD1P70F_sections_neurons_quantitation,577,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
49,Cullity_2018_DRD1P35F_sections_neurons_quantitation,573,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
50,Cullity_2018_DRD1P35F_sections_neurons_quantitation,573,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
51,Cullity_2018_DRD1P35M_sections_neurons_quantitation,574,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
52,Cullity_2018_DRD1P35M_sections_neurons_quantitation,574,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
53,Cullity_2018_DRD2P25M_sections_neurons_quantitation,582,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
54,Cullity_2018_DRD2P25M_sections_neurons_quantitation,582,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
55,Cullity_2018_DRD2P25F_sections_neurons_quantitation,581,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
56,Cullity_2018_DRD2P25F_sections_neurons_quantitation,581,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
57,Cullity_2018_DRD2P70F_sections_neurons_quantitation,587,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
58,Cullity_2018_DRD2P70F_sections_neurons_quantitation,587,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
59,Cullity_2018_DRD2P17F_sections_neurons_quantitation,579,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
60,Cullity_2018_DRD2P17F_sections_neurons_quantitation,579,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
61,Cullity_2018_DRD1P25M_sections_neurons_quantitation,572,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
62,Cullity_2018_DRD1P25M_sections_neurons_quantitation,572,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
63,Cullity_2018_DRD1P49M_sections_neurons_quantitation,576,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
64,Cullity_2018_DRD1P49M_sections_neurons_quantitation,576,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
65,Cullity_2018_DRD2P17M_sections_neurons_quantitation,580,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
66,Cullity_2018_DRD2P17M_sections_neurons_quantitation,580,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
67,Cullity_2018_DRD1P25F_sections_neurons_quantitation,571,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
68,Cullity_2018_DRD1P25F_sections_neurons_quantitation,571,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
69,Cullity_2018_DRD2P49F_sections_neurons_quantitation,585,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
70,Cullity_2018_DRD2P49F_sections_neurons_quantitation,585,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
71,Cullity_2018_DRD1P70M_sections_neurons_quantitation,578,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
72,Cullity_2018_DRD1P70M_sections_neurons_quantitation,578,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
73,Cullity_2018_DRD1P17M_sections_neurons_quantitation,570,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
74,Cullity_2018_DRD1P17M_sections_neurons_quantitation,570,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
75,Cullity_2018_DRD1P17F_sections_neurons_quantitation,569,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
76,Cullity_2018_DRD1P17F_sections_neurons_quantitation,569,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
77,Cullity_2018_DRD2P70M_sections_neurons_quantitation,588,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
78,Cullity_2018_DRD2P70M_sections_neurons_quantitation,588,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
79,Cullity_2018_DRD2P35F_sections_neurons_quantitation,583,Cullity_2018_DRD2P49M_sections_neurons_quantitation,586,1.0
80,Cullity_2018_DRD2P35F_sections_neurons_quantitation,583,Cullity_2018_DRD2P35M_sections_neurons_quantitation,584,1.0
81,Filice_2016_wt_sections_VVA_neurons_quantitation,591,Filice_2016_PVEGFP_sections_PV_neurons_quantitation,589,1.0
82,Filice_2016_wt_sections_VVA_neurons_quantitation,591,Filice_2016_PVEGFP_sections_VVA_neurons_quantitation,592,1.0
83,Filice_2016_PVEGFP_sections_VVA_neurons_quantitation,592,Filice_2016_PVEGFP_sections_PV_neurons_quantitation,589,1.0
