,label,id1,analysis1,id2,analysis2,similarity
0,,,,,,
1,[Analysis],258,Wouterlood_2012_sections_vglut1_boutons_quantitation,263,Wouterlood_2012_sections_vglut2_distribution,0.25
2,,,,,,
3,[Analysis],148,Lenz_1994_sections_PV_GAD67_neurons_quantitation,620,Ihara_1986_adult_ultrathin_sections_DA_boutons_quantitation,0.25
4,,,,,,
5,[Analysis],148,Lenz_1994_sections_PV_GAD67_neurons_quantitation,621,Ihara_1986_young_ultrathin_DA_boutons_quantitation,0.25
6,,,,,,
7,[Analysis],147,Lenz_1994_sections_GAD67_neurons_quantitation,620,Ihara_1986_adult_ultrathin_sections_DA_boutons_quantitation,0.25
8,,,,,,
9,[Analysis],147,Lenz_1994_sections_GAD67_neurons_quantitation,621,Ihara_1986_young_ultrathin_DA_boutons_quantitation,0.25
10,,,,,,
11,[Analysis],275,Finkelstein_2000_sections_neurons_quantitation,481,Rodrigues_2001_sections_TH_neurons_quantitation,0.2727272727272727
12,,,,,,
13,[Analysis],275,Finkelstein_2000_sections_neurons_quantitation,460,Ishida_2001_sections_TH_neurons_quantitation,0.2727272727272727
14,,,,,,
15,[Analysis],247,Wang_2007_sections_SP/ENK_neurons_patch_quantitation,630,Laprade_1997_sections_ish_GAD65_neurons_quantitation,0.2727272727272727
16,,,,,,
17,[Analysis],247,Wang_2007_sections_SP/ENK_neurons_patch_quantitation,631,Laprade_1997_sections_ish_PPE_neurons_quantitation,0.2727272727272727
18,,,,,,
19,[Analysis],248,Wang_2007_sections_SP/ENK_neuron_matrix_quantitation,630,Laprade_1997_sections_ish_GAD65_neurons_quantitation,0.2727272727272727
20,,,,,,
21,[Analysis],248,Wang_2007_sections_SP/ENK_neuron_matrix_quantitation,631,Laprade_1997_sections_ish_PPE_neurons_quantitation,0.2727272727272727
22,,,,,,
23,[Analysis],258,Wouterlood_2012_sections_vglut1_boutons_quantitation,259,Wouterlood_2012_sections_vglut2_terminals_quantitation,0.2857142857142857
24,,,,,,
25,[Analysis],275,Finkelstein_2000_sections_neurons_quantitation,485,Stanic_2004_sections_neurons_quantitation,0.2857142857142857
26,,,,,,
