,analysis1,id1,analysis2,id2,similarity
0,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,1.0
1,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
2,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,63,Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3,76,1.0
3,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,1.0
4,Loescher_2006_sections_GABA_neurons_distribution,306,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,1.0
5,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,1.0
6,Luk_2001_sections_PV_neurons_quantitation,652,Luk_2001_sections_PV_neurons_distribution,746,1.0
7,Laprade_1997_sections_ish_GAD65_neurons_quantitation,630,Laprade_1997_sections_ish_PPE_neurons_quantitation,631,1.0
8,Loescher_2006_sections_GABA_neurons_distribution,306,Loescher_2006_sections_GABA_neurons_quantitation,165,1.0
9,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,73,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,62,1.0
10,Wang_2007_sections_SP/ENK_neuron_matrix_quantitation,248,Wang_2007_sections_SP/ENK_neurons_patch_quantitation,247,1.0
11,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,Loescher_2006_sections_GABA_neurons_quantitation,165,1.0
12,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,70,Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2,75,1.0
13,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
14,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,62,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,73,1.0
