,analysis1,id1,analysis2,id2,similarity
0,Walker_2012_ultrathin_VGLUT1_terminals_quantitation,245,Walker_2012_ultrathin_VGLUT1-_terminals_quantitation,246,1.0
1,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,1.0
2,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
3,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,63,Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3,76,1.0
4,Loescher_2006_sections_GABA_neurons_distribution,306,Loescher_2006_sections_GABA_neurons_quantitation,165,1.0
5,Loescher_2006_sections_GABA_neurons_distribution,306,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,1.0
6,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,73,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,62,1.0
7,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,1.0
8,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,1.0
9,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,1.0
10,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,1.0
11,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2,72,1.0
12,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,1.0
13,Fischer_1992_3m_sections_ChAT_neurons_quantitation,603,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,1.0
14,Luk_2001_sections_PV_neurons_quantitation,652,Luk_2001_sections_PV_neurons_distribution,746,1.0
15,Laprade_1997_sections_ish_GAD65_neurons_quantitation,630,Laprade_1997_sections_ish_PPE_neurons_quantitation,631,1.0
16,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,57,1.0
17,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,61,1.0
18,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,74,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,68,1.0
19,Laprade_1997_sections_ish_PPE_neurons_quantitation,631,Laprade_1997_sections_ish_GAD65_neurons_quantitation,630,1.0
20,Fischer_1992_18m_sections_ChAT_neurons_quantitation,601,Fischer_1992_12m_sections_ChAT_neurons_quantitation,600,1.0
21,Fischer_1992_18m_sections_ChAT_neurons_quantitation,601,Fischer_1992_30m_sections_ChAT_neurons_quantitation,602,1.0
22,Wang_2007_sections_SP/ENK_neuron_matrix_quantitation,248,Wang_2007_sections_SP/ENK_neurons_patch_quantitation,247,1.0
23,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,Loescher_2006_sections_GABA_neurons_quantitation,165,1.0
24,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,Loescher_2006_sections_GABA_neurons_distribution,306,1.0
25,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,70,Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2,75,1.0
26,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,1.0
27,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
28,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,68,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,74,1.0
29,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,62,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,73,1.0
30,Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2,64,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,60,1.0
31,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,71,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,67,1.0
32,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
33,Sharpe_1998_P21_ultrathin_synapses_quantitation,704,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
34,Loescher_2006_sections_GABA_neurons_quantitation,165,Loescher_2006_sham_sections_GABA_neurons_quantitation,533,1.0
35,Loescher_2006_sections_GABA_neurons_quantitation,165,Loescher_2006_sections_GABA_neurons_distribution,306,1.0
36,Luk_2001_sections_PV_neurons_distribution,746,Luk_2001_sections_PV_neurons_quantitation,652,1.0
37,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,57,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,58,1.0
38,Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation,59,Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4,66,1.0
39,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,60,Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2,64,1.0
40,Cao_2013_males_sections_olig_cells_quantitation,560,Cao_2013_females_sections_olig_cells_quantitation,559,1.0
41,Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2,72,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,69,1.0
42,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,61,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,65,1.0
43,Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2,75,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,70,1.0
44,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,67,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,71,1.0
45,Itzev_2008_ultrathinsections_DS,131,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
46,Itzev_2008_ultrathinsections_DS,131,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
47,Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4,66,Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation,59,1.0
48,Wang_2007_sections_SP/ENK_neurons_patch_quantitation,247,Wang_2007_sections_SP/ENK_neuron_matrix_quantitation,248,1.0
49,Roberts_1995b_ultrathin_synapses_asym_quantitation,682,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
50,Roberts_1995b_ultrathin_synapses_asym_quantitation,682,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
51,Walker_2012_ultrathin_VGLUT1-_terminals_quantitation,246,Walker_2012_ultrathin_VGLUT1_terminals_quantitation,245,1.0
52,Roberts_1995b_ultrathin_synapses_sym_quantitation,681,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
53,Roberts_1995b_ultrathin_synapses_sym_quantitation,681,Sharpe_1998_P10_ultrathin_synapses_quantitation,702,1.0
54,Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3,76,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,63,1.0
55,Sharpe_1998_adult_ultrathin_synapses_quantitation,701,Sharpe_1998_P15_ultrathin_synapses_quantitation,703,1.0
