,id1,id2,analysis1,analysis2,similarity
0,311.0,317.0,Allen_PV_ISH_75457579_sections_PV_neurons_quantitation,MBA Cell Type Atlas_VIP:CR_brains_VIP:CR_neurons_quantitation,0.5294117647058824
1,311.0,312.0,Allen_PV_ISH_75457579_sections_PV_neurons_quantitation,MBA Cell Type Atlas_PV_brains_PV_neurons_quantitation,0.5294117647058824
2,311.0,316.0,Allen_PV_ISH_75457579_sections_PV_neurons_quantitation,MBA Cell Type Atlas_VIP:CCK_brains_VIP:CCK_neurons_quantitation,0.5294117647058824
3,442.0,332.0,Chadi_1993_sections_TH_neurons_quantitation,Chan_1997_sections_TH_cells_quantitation,0.5555555555555556
4,342.0,396.0,Ip_2017_sections_TH_neurons_quantitation_imageJ,Smeyne_2016_sections_modelbased_TH_neurons_quantitation,0.5555555555555556
5,443.0,332.0,Chadi_1993_sections_GFAP_cells_quantitation,Chan_1997_sections_TH_cells_quantitation,0.5555555555555556
6,446.0,411.0,Chalimoniuk_2006_TH_sections_neurons_quantitation,Vidyadhara_2017_F1-1_sections_TH_neurons_quantitation,0.5555555555555556
7,446.0,409.0,Chalimoniuk_2006_TH_sections_neurons_quantitation,Vidyadhara_2017_c57bl/6_sections_th_neurons_quantitation,0.5555555555555556
8,340.0,656.0,Hermann_2013_sections_TH_neurons_quantitation,Smith_2008_sections_PV_neurons_quantitation,0.5555555555555556
9,243.0,411.0,Vidyadhara_2016_bl6_sections_calb_neurons_quantitation,Vidyadhara_2017_F1-1_sections_TH_neurons_quantitation,0.5555555555555556
10,243.0,409.0,Vidyadhara_2016_bl6_sections_calb_neurons_quantitation,Vidyadhara_2017_c57bl/6_sections_th_neurons_quantitation,0.5555555555555556
11,244.0,411.0,Vidyadhara_2016_CD1_sections_calb_neurons_quantitation,Vidyadhara_2017_F1-1_sections_TH_neurons_quantitation,0.5555555555555556
12,244.0,409.0,Vidyadhara_2016_CD1_sections_calb_neurons_quantitation,Vidyadhara_2017_c57bl/6_sections_th_neurons_quantitation,0.5555555555555556
13,484.0,520.0,Shaw_2010_sections_TH_neurons_quantitation,Breckenridge_2013_study4_sections_CV_neurons_quantitation,0.5555555555555556
