,id1,id2,analysis1,analysis2,similarity
0,363,516,Komnig_2016_24w_sections_TH_neurons_quantitation,Taylor_2014_6m_sections_neurons_quantitation,1.0
1,404,363,Taylor_2014_24m_sections_TH_neurons_quantitation,Komnig_2016_24w_sections_TH_neurons_quantitation,1.0
2,405,363,Taylor_2014_30m_sections_TH_neurons_quantitation,Komnig_2016_24w_sections_TH_neurons_quantitation,1.0
3,364,404,Komnig_2016b_sections_TH_neurons_quantitation,Taylor_2014_24m_sections_TH_neurons_quantitation,1.0
4,511,363,Taylor_2014_18m_sections_TH_neurons_quantitation,Komnig_2016_24w_sections_TH_neurons_quantitation,1.0
5,505,363,Komnig_2016b_sections_nissl_neurons_quantitation,Komnig_2016_24w_sections_TH_neurons_quantitation,1.0
6,639,642,Lauber_2018_sections_PV_neurons_quantitation,Lauber_2016_sections_PV_neurons_quantitation,1.0
7,642,639,Lauber_2016_sections_PV_neurons_quantitation,Lauber_2018_sections_PV_neurons_quantitation,1.0
8,644,643,Lawhorn_2008_sections_neurons_quantitation,Lawhorn_2009_sections_neurons_quantitation,1.0
9,354,352,Johnson_2010b_mouse_sections_TH_neurons_quantitation,Johnson_2010_mice_sections_neurons_quantitation,1.0
10,353,354,Johnson_2010_Wtmice_sections_neurons_quantitation,Johnson_2010b_mouse_sections_TH_neurons_quantitation,1.0
11,345,354,Johnson_2010_mice_sections_TH_neurons_quantitation,Johnson_2010b_mouse_sections_TH_neurons_quantitation,1.0
12,409,446,Vidyadhara_2017_c57bl/6_sections_th_neurons_quantitation,Chalimoniuk_2006_TH_sections_neurons_quantitation,1.0
13,330,385,Becker_2017_sections_TH_cells_quantitation,Richter_2017_18m_sections_all_neurons_quantitation,1.0
14,406,363,Taylor_2014_6m_sections_TH_neurons_quantitation,Komnig_2016_24w_sections_TH_neurons_quantitation,1.0
15,348,354,Johnson_2010_Wtmice_sections_THneg_neurons_quantitation,Johnson_2010b_mouse_sections_TH_neurons_quantitation,1.0
16,446,411,Chalimoniuk_2006_TH_sections_neurons_quantitation,Vidyadhara_2017_F1-1_sections_TH_neurons_quantitation,1.0
17,356,353,Johnson_2010b_mouse_sections_neurons_quantitation,Johnson_2010_Wtmice_sections_neurons_quantitation,1.0
18,360,409,Kang_2010_sections_TH_neurons_quantitation,Vidyadhara_2017_c57bl/6_sections_th_neurons_quantitation,1.0
19,514,363,Taylor_2014_24m_sections_neurons_quantitation,Komnig_2016_24w_sections_TH_neurons_quantitation,1.0
20,316,315,MBA Cell Type Atlas_VIP:CCK_brains_VIP:CCK_neurons_quantitation,MBA Cell Type Atlas_SST_brains_SST_neurons_quantitation,1.0
21,314,315,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,MBA Cell Type Atlas_SST_brains_SST_neurons_quantitation,1.0
22,315,314,MBA Cell Type Atlas_SST_brains_SST_neurons_quantitation,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,1.0
23,312,314,MBA Cell Type Atlas_PV_brains_PV_neurons_quantitation,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,1.0
24,317,314,MBA Cell Type Atlas_VIP:CR_brains_VIP:CR_neurons_quantitation,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,1.0
25,318,314,MBA Cell Type Atlas_VIP_brains_neurons_quantitation,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,1.0
26,313,314,MBA Cell Type Atlas_SST:CR_brains_SST:CR_neurons_quantitation,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,1.0
27,442,522,Chadi_1993_sections_TH_neurons_quantitation,Breckenridge_2013_study5_sections_fluorescent_TH_neurons_quantitation,0.75
28,523,442,Breckenridge_2013_study5_sections_fluorescent_all_neurons,Chadi_1993_sections_TH_neurons_quantitation,0.75
29,395,431,Smeyne_2016_sections_designbased_TH_neurons_quantitation,Breckenridge_2013_study5_sections_TH_neurons_quantitation,0.75
30,361,404,Kincaid_2001_sections_TH_neurons_quantitation,Taylor_2014_24m_sections_TH_neurons_quantitation,0.75
31,311,314,Allen_PV_ISH_75457579_sections_PV_neurons_quantitation,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,0.7272727272727273
32,188,314,O'Kusky_1999_bl6-1_sections_neurons_quantitation,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation,0.6666666666666666
