,id1,id2,analysis1,analysis2,similarity
0,479.0,335.0,Rodrigues_2001_sections_GFAP_cells_quantitation,Gomide_2005_sections_s100_cells_quantitation,0.5454545454545454
1,379.0,471.0,Panneton_2010_sections_nissl_neurons_quantitation,Omelchenko_2016_sections_TH_neurons_quantitation,0.5454545454545454
2,691.0,303.0,Rymar_2004_sections_CR_neurons_quantitation,Barcia_2012_sections_nNOS_neurons_quantitation,0.5555555555555556
3,691.0,655.0,Rymar_2004_sections_CR_neurons_quantitation,Mu_2014_sections_D2_spines_quantitation,0.5555555555555556
4,655.0,303.0,Mu_2014_sections_D2_spines_quantitation,Barcia_2012_sections_nNOS_neurons_quantitation,0.5555555555555556
5,655.0,691.0,Mu_2014_sections_D2_spines_quantitation,Rymar_2004_sections_CR_neurons_quantitation,0.5555555555555556
6,132.0,692.0,Kerkerian_1990_sections_NPY_neurons_quantitation,Salin_1990_sections_som_neurons_quantitation,0.5555555555555556
7,471.0,425.0,Omelchenko_2016_sections_TH_neurons_quantitation,Back_2013_sections_TH_neurons_quantitation,0.5555555555555556
8,599.0,612.0,Echeverry_2004_sections_NOS_neurons_quantitation,Gomes_2003_sections_nnos_neurons_quantitation,0.5555555555555556
9,425.0,471.0,Back_2013_sections_TH_neurons_quantitation,Omelchenko_2016_sections_TH_neurons_quantitation,0.5555555555555556
10,692.0,132.0,Salin_1990_sections_som_neurons_quantitation,Kerkerian_1990_sections_NPY_neurons_quantitation,0.5555555555555556
11,303.0,655.0,Barcia_2012_sections_nNOS_neurons_quantitation,Mu_2014_sections_D2_spines_quantitation,0.5555555555555556
12,303.0,691.0,Barcia_2012_sections_nNOS_neurons_quantitation,Rymar_2004_sections_CR_neurons_quantitation,0.5555555555555556
13,278.0,429.0,Harris_1996_lewis_sections_TH_neurons_quantitation,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,0.5714285714285714
14,415.0,472.0,Winter_2007_sections_TH_neurons_quantitation,Omelchenko_2016_sections_nissl_neurons_quantitation,0.5714285714285714
15,415.0,377.0,Winter_2007_sections_TH_neurons_quantitation,Pang_2016_brains_TH_neurons_quantitation,0.5714285714285714
16,415.0,146.0,Winter_2007_sections_TH_neurons_quantitation,Lawrence_2012_sections_glia_quantitation,0.5714285714285714
17,277.0,429.0,Harris_1996_fisher_sections_TH_neurons_quantitation,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,0.5714285714285714
18,490.0,414.0,Walker_2012b_sections_Thneg_neurons_quantitation,Vu_2000_pilot_sections_TH_neurons_quantitation,0.5714285714285714
19,414.0,490.0,Vu_2000_pilot_sections_TH_neurons_quantitation,Walker_2012b_sections_Thneg_neurons_quantitation,0.5714285714285714
20,671.0,548.0,Petersen_2000_sections_D1_neurons_quantitation,Andreassen_2000_sections_nadph_neurons_quantitation,0.5714285714285714
21,671.0,558.0,Petersen_2000_sections_D1_neurons_quantitation,Canudas_2000_sections_neurons_quantitation,0.5714285714285714
22,743.0,548.0,Zoli_1990_sections_GR_neurons_quantitation,Andreassen_2000_sections_nadph_neurons_quantitation,0.5714285714285714
23,743.0,558.0,Zoli_1990_sections_GR_neurons_quantitation,Canudas_2000_sections_neurons_quantitation,0.5714285714285714
24,429.0,277.0,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,Harris_1996_fisher_sections_TH_neurons_quantitation,0.5714285714285714
25,429.0,278.0,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,Harris_1996_lewis_sections_TH_neurons_quantitation,0.5714285714285714
26,377.0,415.0,Pang_2016_brains_TH_neurons_quantitation,Winter_2007_sections_TH_neurons_quantitation,0.5714285714285714
27,249.0,567.0,West_1996_mounted_somatostatin_neurons_quantitation,Champy_2003_sections_NPY_cells_quantitation,0.5714285714285714
28,249.0,563.0,West_1996_mounted_somatostatin_neurons_quantitation,Champy_2003_sections_chat_neurons_quantitation,0.5714285714285714
29,249.0,564.0,West_1996_mounted_somatostatin_neurons_quantitation,Champy_2003_sections_DARRP_neurons_quantitation,0.5714285714285714
30,430.0,277.0,Bowenkamp_2000_old_sections_TH_neurons_quantitation,Harris_1996_fisher_sections_TH_neurons_quantitation,0.5714285714285714
31,430.0,278.0,Bowenkamp_2000_old_sections_TH_neurons_quantitation,Harris_1996_lewis_sections_TH_neurons_quantitation,0.5714285714285714
32,745.0,499.0,Klenowski_2016_young_slices_MSN_spines_quantitation_core,Lawrence_2012_golgi_sections_spines_quantitation,0.5714285714285714
33,499.0,745.0,Lawrence_2012_golgi_sections_spines_quantitation,Klenowski_2016_young_slices_MSN_spines_quantitation_core,0.5714285714285714
34,716.0,238.0,Uryu_2001_ultrathin_sym_synapses_quantitation,Uryu_1999_ultrathin_sym_synapses_distribution,0.5714285714285714
35,716.0,237.0,Uryu_2001_ultrathin_sym_synapses_quantitation,Uryu_1999_ultrathin_asym_synapses_distribution,0.5714285714285714
36,715.0,238.0,Uryu_2001_ultrathin_asym_synapses_quantitation,Uryu_1999_ultrathin_sym_synapses_distribution,0.5714285714285714
37,715.0,237.0,Uryu_2001_ultrathin_asym_synapses_quantitation,Uryu_1999_ultrathin_asym_synapses_distribution,0.5714285714285714
38,448.0,467.0,Fujiyama_2016_sections_P_boutons_quantitation,Koshimizu_2013_sections_lSTN_boutons_quantitation,0.5833333333333334
39,448.0,464.0,Fujiyama_2016_sections_P_boutons_quantitation,Koshimizu_2013_sections_boutons_quantitation,0.5833333333333334
40,448.0,468.0,Fujiyama_2016_sections_P_boutons_quantitation,Koshimizu_2013_sections_mSTN_boutons_quantitation,0.5833333333333334
41,547.0,568.0,Andreassen_2000_sections_ppSS_neurons_quantitation,Covey_2007_sections_neurons_quantitation,0.6
42,713.0,658.0,Uehara-Kunugi_1991_sections_nadph_neurons_quantitation,Murata_2003_P10_sections_NADPH_neurons_quantitation,0.6
43,713.0,663.0,Uehara-Kunugi_1991_sections_nadph_neurons_quantitation,Murata_2003_P35_sections_NADPH_neurons_quantitation,0.6
44,713.0,664.0,Uehara-Kunugi_1991_sections_nadph_neurons_quantitation,Murata_2003_P5_sections_NADPH_neurons_quantitation,0.6
45,479.0,451.0,Rodrigues_2001_sections_GFAP_cells_quantitation,Gomide_2005b_sections_GFAP_cells_quantitation,0.6
46,561.0,568.0,Chakraborty_2014_sections_spines_quantitation,Covey_2007_sections_neurons_quantitation,0.6
47,485.0,377.0,Stanic_2004_sections_neurons_quantitation,Pang_2016_brains_TH_neurons_quantitation,0.6
48,485.0,472.0,Stanic_2004_sections_neurons_quantitation,Omelchenko_2016_sections_nissl_neurons_quantitation,0.6
49,562.0,568.0,Chakraborty_2014_sections_mushroom_spines_quantitation,Covey_2007_sections_neurons_quantitation,0.6
50,377.0,485.0,Pang_2016_brains_TH_neurons_quantitation,Stanic_2004_sections_neurons_quantitation,0.6
51,568.0,561.0,Covey_2007_sections_neurons_quantitation,Chakraborty_2014_sections_spines_quantitation,0.6
52,451.0,334.0,Gomide_2005b_sections_GFAP_cells_quantitation,Gomide_2005_sections_bgfg_cells_quantitation,0.625
53,451.0,335.0,Gomide_2005b_sections_GFAP_cells_quantitation,Gomide_2005_sections_s100_cells_quantitation,0.625
54,452.0,334.0,Gomide_2005b_sections_OX-42_cells_quantitation,Gomide_2005_sections_bgfg_cells_quantitation,0.625
55,452.0,335.0,Gomide_2005b_sections_OX-42_cells_quantitation,Gomide_2005_sections_s100_cells_quantitation,0.625
56,335.0,452.0,Gomide_2005_sections_s100_cells_quantitation,Gomide_2005b_sections_OX-42_cells_quantitation,0.625
57,335.0,451.0,Gomide_2005_sections_s100_cells_quantitation,Gomide_2005b_sections_GFAP_cells_quantitation,0.625
58,481.0,453.0,Rodrigues_2001_sections_TH_neurons_quantitation,Gomide_2005b_sections_TH_neurons_quantitation,0.625
59,599.0,611.0,Echeverry_2004_sections_NOS_neurons_quantitation,Gomes_2003_sections_NADPH_neurons_quantitation,0.625
60,743.0,268.0,Zoli_1990_sections_GR_neurons_quantitation,Zoli_1993_sections_GR_neurons_quantitation,0.625
