,id1,id2,analysis1,analysis2,similarity
0,131,702,Itzev_2008_ultrathinsections_DS,Sharpe_1998_P10_ultrathin_synapses_quantitation,1.0
1,682,702,Roberts_1995b_ultrathin_synapses_asym_quantitation,Sharpe_1998_P10_ultrathin_synapses_quantitation,1.0
2,681,702,Roberts_1995b_ultrathin_synapses_sym_quantitation,Sharpe_1998_P10_ultrathin_synapses_quantitation,1.0
3,359,351,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,Johnson_2010_rats_sections_neurons_quantitation,1.0
4,351,359,Johnson_2010_rats_sections_neurons_quantitation,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,1.0
5,346,359,Johnson_2010_rats_sections_TH_neurons_quantitation,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,1.0
6,358,351,Johnson_2010b_rat_sections_TH_neurons_quantitation,Johnson_2010_rats_sections_neurons_quantitation,1.0
7,650,117,Lohr_2000_sections_cholinergic_neurons_quantitation,Guan_1999_sections_ChAT_neurons_quantitation,0.75
8,451,479,Gomide_2005b_sections_GFAP_cells_quantitation,Rodrigues_2001_sections_GFAP_cells_quantitation,0.75
9,452,480,Gomide_2005b_sections_OX-42_cells_quantitation,Rodrigues_2001_sections_OX42_cells_quantitation,0.75
10,480,452,Rodrigues_2001_sections_OX42_cells_quantitation,Gomide_2005b_sections_OX-42_cells_quantitation,0.75
11,120,85,Guan_1999_sections_PV_neurons_quantitation,del Moral_2004_sections_nNOS_neurons_quantitation,0.6
12,85,117,del Moral_2004_sections_nNOS_neurons_quantitation,Guan_1999_sections_ChAT_neurons_quantitation,0.6
13,334,480,Gomide_2005_sections_bgfg_cells_quantitation,Rodrigues_2001_sections_OX42_cells_quantitation,0.6
14,480,334,Rodrigues_2001_sections_OX42_cells_quantitation,Gomide_2005_sections_bgfg_cells_quantitation,0.6
