,node1,node1Label,node2,node2Label,Similarity
0,Gross_2003_snc,RegionRecord,Johnson_2010_mouse_SNc,RegionRecord,1.0
1,Breckenridge_2013_study4_sections_TH_neurons_quantitation_snc,DataType,Breckenridge_2013_study4_sections_THneg_neurons_quantitation_snc,DataType,1.0
2,Gross_2003_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
3,Breckenridge_2013_study4_sections_THneg_neurons_quantitation_snc,DataType,Breckenridge_2013_study4_sections_all_neurons_quantitation_snc,DataType,1.0
4,Hermann_2013_SN,RegionRecord,Simkins_2012_SN,RegionRecord,1.0
5,Breckenridge_2013_study4_sections_THneg_neurons_quantitation_snc,DataType,Breckenridge_2013_study4_sections_TH_neurons_quantitation_snc,DataType,1.0
6,Hermann_2013_SN,RegionRecord,Olson_2015_sn,RegionRecord,1.0
7,Breckenridge_2013_study4_sections_all_neurons_quantitation_snc,DataType,Breckenridge_2013_study4_sections_THneg_neurons_quantitation_snc,DataType,1.0
8,Horvath_2011_snc,RegionRecord,Johnson_2010_mouse_SNc,RegionRecord,1.0
9,Breckenridge_2013_study4_sections_all_neurons_quantitation_snc,DataType,Breckenridge_2013_study4_sections_TH_neurons_quantitation_snc,DataType,1.0
10,Horvath_2011_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
11,Breckenridge_2013_study4_sections_CV_neurons_quantitation_snc,DataType,Breckenridge_2013_study4_sections_THneg_neurons_quantitation_snc,DataType,1.0
12,Janis_2008_SN,RegionRecord,Aguirre_2001_sn,RegionRecord,1.0
13,Breckenridge_2013_study4_sections_CV_neurons_quantitation_snc,DataType,Breckenridge_2013_study4_sections_TH_neurons_quantitation_snc,DataType,1.0
14,Johnson_2010_rat_SNc,RegionRecord,Oorschot_1996_snc,RegionRecord,1.0
15,Breckenridge_2013_study5_sections_DAB_all_neurons_snc,DataType,Breckenridge_2013_study5_sections_TH_neurons_quantitation_snc,DataType,1.0
16,Johnson_2010_rat_SNc,RegionRecord,Johnson_2010b_rat_snc,RegionRecord,1.0
17,Breckenridge_2013_study5_sections_fluorescent_TH_neurons_quantitation_snc,DataType,Breckenridge_2013_study5_sections_fluorescent_all_neurons_snc,DataType,1.0
18,Johnson_2010_mouse_SNc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
19,Breckenridge_2013_study5_sections_fluorescent_all_neurons_snc,DataType,Breckenridge_2013_study5_sections_fluorescent_TH_neurons_quantitation_snc,DataType,1.0
20,Johnson_2010_mouse_SNc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
21,Carta_2011_sections_nissl_neurons_quantitation_density_snc,DataType,Carta_2011_sections_TH_neurons_quantitation_snc,DataType,1.0
22,Johnson_2010b_mouse_snc,RegionRecord,Horvath_2011_snc,RegionRecord,1.0
23,Carta_2011_sections_nissl_neurons_quantitation_density_snc,DataType,Carta_2011_sections_nissl_neurons_quantitation_snc,DataType,1.0
24,Johnson_2010b_mouse_snc,RegionRecord,Gross_2003_snc,RegionRecord,1.0
25,Carta_2011_sections_TH_neurons_quantitation_density_snc,DataType,Carta_2011_sections_TH_neurons_quantitation_snc,DataType,1.0
26,Johnson_2010b_rat_snc,RegionRecord,Oorschot_1996_snc,RegionRecord,1.0
27,Carta_2011_sections_TH_neurons_quantitation_density_snc,DataType,Carta_2011_sections_nissl_neurons_quantitation_snc,DataType,1.0
28,Johnson_2010b_rat_snc,RegionRecord,Johnson_2010_rat_SNc,RegionRecord,1.0
29,Lorenc-Koci_2011_sections_CV_neurons_quantitation_sn,DataType,Lorenc-Koci_2011_sections_TH_neurons_quantitation_SN,DataType,1.0
30,Kang_2010_snc,RegionRecord,Taylor_2014_snc,RegionRecord,1.0
31,Purisai_2007_graphdata_sections_neurons_quantitation_snc,DataType,Purisai_2007_graphdata_sections_TH_neurons_quantitation_snc,DataType,1.0
32,Kang_2010_snc,RegionRecord,Ma_2009_snc,RegionRecord,1.0
