,node1,node1Label,node2,node2Label,Similarity
524,Alexi_1997_sections_nadph_neurons_quantitation,Analysis,Barcia_2012_sections_NADPH_neurons_quantitation,Analysis,1.0
525,Andreassen_2000_sections_ppSS_neurons_quantitation,Analysis,Salin_1990_sections_som_neurons_quantitation,Analysis,1.0
526,Antzoulatos_2011_sections_spines_quantitation,Analysis,Fogarty_2017_young_slices_MSN_spines_quantitation,Analysis,1.0
527,Antzoulatos_2011_sections_spines_quantitation,Analysis,Fogarty_2017_old_slices_MSN_spines_quantitation,Analysis,1.0
64,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,Analysis,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,Analysis,1.0
66,Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3,Analysis,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,Analysis,1.0
20,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,Analysis,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,Analysis,1.0
22,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,Analysis,1.0
60,Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2,Analysis,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,Analysis,1.0
62,Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,Analysis,1.0
48,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,Analysis,1.0
50,Ariano_1997_sections_D1A_GluR1_GluR1_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,Analysis,1.0
56,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,Analysis,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,Analysis,1.0
58,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,Analysis,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,Analysis,1.0
40,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,Analysis,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,Analysis,1.0
42,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation,Analysis,1.0
24,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,Analysis,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,Analysis,1.0
26,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,Analysis,1.0
76,Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3,Analysis,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,Analysis,1.0
78,Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3,Analysis,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,Analysis,1.0
72,Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2,Analysis,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,Analysis,1.0
74,Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,Analysis,1.0
52,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,Analysis,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,Analysis,1.0
54,Ariano_1997_sections_D2_GluR1_GluR1_neuron_quantitation_3,Analysis,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,Analysis,1.0
68,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,Analysis,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,Analysis,1.0
70,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,Analysis,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,Analysis,1.0
44,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,Analysis,Ariano_1997_sections_D1A_NMDAR1_NMDAR1_neuron_quantitation_2,Analysis,1.0
46,Ariano_1997_sections_D2_NMDAR1_NMDAR1_neuron_quantitation_3,Analysis,Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation,Analysis,1.0
12,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,Analysis,Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1,Analysis,1.0
14,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1,Analysis,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2,Analysis,1.0
28,Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,Analysis,1.0
30,Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2,Analysis,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,Analysis,1.0
16,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,Analysis,Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1,Analysis,1.0
18,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1,Analysis,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2,Analysis,1.0
32,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,Analysis,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,Analysis,1.0
34,Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3,Analysis,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,Analysis,1.0
36,Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4,Analysis,Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1,Analysis,1.0
38,Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4,Analysis,Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1,Analysis,1.0
