,Name,Label,Page Rank Score
0,Rattus norvegicus,Specie,90.2040517849575
1,Mus musculus,Specie,49.30996026004805
2,Expression,CellPhenotypeCategory,37.853410044018275
3,Custom_rat,Nomenclature,25.322496390517337
4,Custom_mouse,Nomenclature,20.640438055217963
5,Caudoputamen,BrainRegion,19.876757380860347
6,Wistar,Strain,16.716700035211396
7,Bright-field microscope,Microscope,15.0796755194664
8,Caudoputamen,BrainRegion,14.262887982663232
9,Unspecified,Solution,13.342876267433166
10,No label,ReporterLabel,11.95520714521408
11,C57BL/6,Strain,11.09979078203615
12,Sprague-Dawley,Strain,10.651953149392043
13,Male,Sex,10.475958858430385
14,Neuron,CellGroup,9.93498239994565
15,Paraformaldehyde,Solution,9.20028252005577
16,Waxholm space atlas_2018,Nomenclature,9.016569187984896
17,http://uri.interlex.org/base/ilx_0107497,CellDescription,8.930482683677964
18,Principal neuron,CellClass,8.4650439412433
19,Stereo Investigator,Software,8.161423382163047
20,Interneuron,CellClass,6.987410567118292
21,Custom,Software,6.8929032504558565
22,Pars compacta,BrainRegion,6.456980137096252
23,Paxinos_Watson_1986,Nomenclature,6.386765064299107
24,Accumbens nucleus,BrainRegion,6.362281276151041
25,Adult,AgeCategory,6.353223250806332
26,Neurons,NeuralStructure,6.255687880516052
27,Adult,AgeCategory,6.136784812808037
28,Paxinos & Watson_ 1998,Nomenclature,6.129080636653816
29,Neuroscience,SourceOrigin,5.241552445292473
30,Neuron,CellType,5.134962536843163
31,Paxinos & Franklin_2001,Nomenclature,4.898066453449428
32,Franklin_Paxinos_1996,Nomenclature,4.53042922988534
33,Unclassified,CellClass,4.463821090985491
34,Paxinos & Watson_2007,Nomenclature,4.43016517534852
35,Transmission electron microscope,Microscope,4.306761819124222
36,Immunohistochemistry,VisualizationProtocol,4.0743625402450565
37,Unclassified,CellGroup,3.9442478886857133
38,Paxinos & Watson_2005,Nomenclature,3.9416613458466596
39,Striatum,RegionOther,3.8680777284214853
40,Franklin & Paxinos_2007,Nomenclature,3.8059656206518406
41,Mixed class neuron,CellClass,3.7855163901436852
42,http://uri.interlex.org/base/ilx_0109349,CellDescription,3.7476437639606583
43,Striatum,BrainRegion,3.659779140513891
44,Neurolucida,Software,3.5391579531133175
45,Substantia nigra compact part,BrainRegion,3.5224105274669166
46,Brain Research,SourceOrigin,3.5003590900450945
47,Tyrosine hydroxylase expressing,CellType,3.4693718126903708
48,Rostral,RegionZone,3.4402021050453184
49,Paxinos et al_chemoarchitectonic_2009,Nomenclature,3.397072444850346
50,Journal of Comparative Neurology,SourceOrigin,3.3034125357866286
51,C57BL/6J,Substrain,3.2418796859454284
52,Common coordinate framework_2015,Nomenclature,3.136792641531309
53,http://uri.neuinfo.org/nif/nifstd/nlx_cell_1003113,CellDescription,3.1196495554323054
54,ImageJ,Software,3.0984745210967954
55,Biotin,ReporterLabel,3.0961057424545286
56,"Substantia nigra, pars compacta",RegionOther,3.052668940782314
57,Substantia nigra,BrainRegion,2.88178435353365
58,Ariano_1997_striatum,RegionRecord,2.8667311646044253
59,Sucrose,Solution,2.844740870594978
60,Paraformaldehyde-glutaraldehyde,Solution,2.8297605449333787
61,Cell type specific connectivity,CellPhenotypeCategory,2.7704351253920625
62,http://uri.interlex.org/base/ilx_0104634,CellDescription,2.7634980938956195
63,Medium spiny neuron,CellType,2.726921420984516
64,Glia,CellGroup,2.641582636438531
65,Histochemistry,VisualizationProtocol,2.588080096244812
66,Paxinos et al_2015,Nomenclature,2.572500932216644
67,Paxinos & Watson_2013,Nomenclature,2.572500932216644
68,Nucleus accumbens,BrainRegion,2.4711423504690173
69,Female,Sex,2.4689970258623357
70,Swanson_1992,Nomenclature,2.4461265787482263
71,Parvalbumin expressing,CellType,2.384530014877594
72,Rabbit antibody,ReporterTarget,2.3826776087284087
73,Brain region,CellPhenotypeCategory,2.375843345951689
74,Morphology,CellPhenotypeCategory,2.248545241970715
75,Ethanol,Solution,2.235019840486348
76,Sodium pentobarbitone,Solution,2.2023107871413234
77,Alexi_1997_cpu,RegionRecord,2.1913380526006225
78,Dendritic spine,CellularRegion,2.1655907928291387
79,Substantia nigra,BrainRegion,2.1338000699906843
80,Dorsomedial,RegionZone,2.0888423144817354
81,Canvas X,Software,2.0743508610874413
82,Central,RegionZone,2.0635986409848557
83,C57Bl/6N,Substrain,2.0454786963533524
84,Dorsolateral,RegionZone,2.004081143561052
85,Cryostat,SectioningInstrument,1.9957788228988647
86,Tyrosine hydroxylase,ReporterTarget,1.9907687664031983
87,GRID,Software,1.9869943402707577
88,Loescher_2006_cpu,RegionRecord,1.9548214104492219
89,Dendrite,CellularRegion,1.9542988228534441
90,Freezing microtome,SectioningInstrument,1.9387666821479796
91,KS400,Software,1.9103143986780196
92,Somatostatin expressing,CellType,1.8834756847209115
93,Dopamine 2 receptor expressing,CellType,1.8792803771474869
94,NeuN,CellPhenotype,1.870472490131126
95,Dendritic shaft,CellularRegion,1.8310168096813484
96,Caudal,RegionZone,1.7995634760707617
97,Oestergaard_1995_striatum,RegionRecord,1.770213109999895
98,Permount,Solution,1.7590221405029298
99,C57BL/6ByJ,Substrain,1.74844925866983
100,Substantia nigra,RegionOther,1.7449680056422947
101,Both,Sex,1.728273031488061
102,Loescher_2006_stereology,StereologyDetail,1.7269954521674664
103,C57BL/6JEiJ,Substrain,1.7224703867692415
104,C57BL/6NJ,Substrain,1.7224703867692415
105,NMO_Kellendonk_2013_cpu,RegionRecord,1.6669035537168386
106,Nissl,CellPhenotype,1.658049570333566
107,Caudoputamen,RegionOther,1.577933933958411
108,NADPHd expressing,CellType,1.5675653210933238
109,Neuroscience Letters,SourceOrigin,1.5575747657567263
110,Swanson_2004,Nomenclature,1.5525002837181092
111,Imaris,Software,1.5504258705303071
112,Neurobiology of Disease,SourceOrigin,1.547854171693325
113,Striatum,RegionOther,1.5465287648141381
114,Cholinergic neuron,CellType,1.5315154892006082
115,Astrocyte,CellClass,1.5252812271979064
116,Yamada_1996_cpu,RegionRecord,1.5235226459801199
117,Caudoputamen,RegionOther,1.5221998672932386
118,VIP,CellPhenotype,1.5056963951690705
119,"Substantia nigra, compact part",RegionOther,1.5024508070200682
120,Tyrosine hydroxylase,CellPhenotype,1.4854745307624964
121,Brainstem,BrainRegion,1.4743946676692883
122,Developmental Brain Research,SourceOrigin,1.4633830165490507
123,Microglia,CellType,1.4537436234214427
124,Paraffin,Solution,1.4532734816893935
125,Fluorescence microscope,Microscope,1.4515646278858185
126,Neuropeptide Y expressing,CellType,1.436251840656522
127,Electrophysiology,CellPhenotypeCategory,1.4348948049828787
128,Enkephalin expressing,CellType,1.4298388400672852
129,Substantia nigra,RegionOther,1.4239576969295737
130,"Astrocyte, GFAP expressing",CellType,1.420474285579704
131,Murata_2003_striatum,RegionRecord,1.4194217979907988
132,Dopamine 1 receptor expressing,CellType,1.4180781010327907
133,Mixed class glia,CellClass,1.4158105057568482
134,Caudoputamen,RegionOther,1.4112148463726046
135,Basal forebrain,BrainRegion,1.3857449210773032
136,Ren_2017_cp,RegionRecord,1.3804597748443486
137,Somatostatin / calretinin co-expressing,CellType,1.3670888273671151
138,Somatostatin / nNOS co-expressing,CellType,1.3670888273671151
139,VIP / CCK co-expressing,CellType,1.3670888273671151
140,VIP / calretinin co-expressing,CellType,1.3670888273671151
141,VIP expressing,CellType,1.3670888273671151
142,Synapse,SourceOrigin,1.356234380602837
143,Striatum,BrainRegion,1.355532637531451
144,Journal of Neuroscience,SourceOrigin,1.3544562533497813
145,Xylene,Solution,1.3513531815260649
146,Calretinin,CellPhenotype,1.348521286303641
147,Mouse antibody,ReporterTarget,1.3394828021526337
148,Somatostatin,CellPhenotype,1.324922252028218
149,Projection neuron,CellPhenotype,1.3219267794788845
150,VGLUT1 expressing,CellType,1.3200603707785639
151,Lolova_1995_snr,RegionRecord,1.30961247831583
152,"Dendritic region, unspecified",CellularRegion,1.3090452001515633
153,Swanson_1998,Nomenclature,1.2975001215934752
154,Journal of Neurochemistry,SourceOrigin,1.294865444302559
155,Ventral tegmental area,BrainRegion,1.2931141752749682
156,NADPHd,CellPhenotype,1.2701166593980615
157,Huntingtin,CellPhenotype,1.2700032575450335
158,Subthalamic nucleus,BrainRegion,1.259934900328517
159,PLOS one,SourceOrigin,1.256642060354352
160,Lolova_1995_snc,RegionRecord,1.242250034958124
161,Experimental Neurology,SourceOrigin,1.2422139812260866
162,Calbindin,CellPhenotype,1.2371101115955323
163,VGLUT2 expressing,CellType,1.2325898877437147
164,Hamre_1999_SNc,RegionRecord,1.2277999360114338
165,Pars reticulata,BrainRegion,1.2066559009253979
166,ABC,Solution,1.1970822053961456
167,nNOS-expressing,CellType,1.1893258146407675
168,Pre-proenkephalin A mRNA,CellPhenotype,1.1701094992908747
169,DPX,Solution,1.1689367055892945
170,Hypothalamic region,BrainRegion,1.1547981414058917
171,Substantia nigra reticular part,BrainRegion,1.150502290566889
172,Cell,CellType,1.1453642979046226
173,Recombinant inbred mouse strain,Strain,1.1360420591197906
174,O'Kusky_1999_stn,RegionRecord,1.1342054799199104
175,"Fluorescent label, unspecified",ReporterLabel,1.1262358635663987
176,Triton X-100,Solution,1.1251028039492665
177,Juvenile,AgeCategory,1.1247560804709793
178,Choline acetyltransferase,ReporterTarget,1.0953477010130883
179,Brain Structure and Function,SourceOrigin,1.0905403652228416
180,Blocking,TreatmentPurpose,1.086575973033905
181,Koshimizu_2013_SN,RegionRecord,1.078042295947671
182,Koshimizu_2013_str,RegionRecord,1.078042295947671
183,Visualization,TreatmentPurpose,1.0704269409179688
184,Distal dendrite,CellularRegion,1.0607440653179865
185,Internal segment,BrainRegion,1.0587698346003889
186,"Astrocyte, S100b expressing",CellType,1.0562717913765642
187,Caudoputamen,RegionOther,1.0503052559157366
188,http://uri.interlex.org/base/ilx_0100947,CellDescription,1.0435176229433343
189,Nitric oxide synthase,CellPhenotype,1.04280530537669
