,Name,Label,Score
0,Neuromorpho,SourceOrigin,0.15000000000000002
1,European Journal of Neuroscience,SourceOrigin,0.15000000000000002
2,Frontiers in Neuroscience,SourceOrigin,0.15000000000000002
3,Journal of Neuroinflammation,SourceOrigin,0.15000000000000002
4,Synapse,SourceOrigin,0.15000000000000002
5,Proceedings of the National Academy of Sciences of the United States of America,SourceOrigin,0.15000000000000002
6,Journal of Neuroscience,SourceOrigin,0.15000000000000002
7,Neuroscience Letters,SourceOrigin,0.15000000000000002
8,"Alcoholism, clinical and experimental research",SourceOrigin,0.15000000000000002
9,Microscopy research and technique,SourceOrigin,0.15000000000000002
10,Neuroscience,SourceOrigin,0.15000000000000002
11,Journal of Comparative Neurology,SourceOrigin,0.15000000000000002
12,PLOS one,SourceOrigin,0.15000000000000002
13,Journal of Chemical Neuroanatomy,SourceOrigin,0.15000000000000002
14,Archives of Physiology and Biochemistry,SourceOrigin,0.15000000000000002
15,Frontiers in Behavioral Neuroscience,SourceOrigin,0.15000000000000002
16,Bulletin of Experimental Biology and Medicine,SourceOrigin,0.15000000000000002
17,Experimental Neurology,SourceOrigin,0.15000000000000002
18,Neurotoxicology and teratology,SourceOrigin,0.15000000000000002
19,Mechanisms of Ageing and Development,SourceOrigin,0.15000000000000002
20,Brain Research,SourceOrigin,0.15000000000000002
21,Brain Structure and Function,SourceOrigin,0.15000000000000002
22,Frontiers in Cellular Neuroscience,SourceOrigin,0.15000000000000002
23,Journal of Neurocytology,SourceOrigin,0.15000000000000002
24,Experimental Brain Research,SourceOrigin,0.15000000000000002
25,Journal of Neuroscience Research,SourceOrigin,0.15000000000000002
26,Journal of Anatomy,SourceOrigin,0.15000000000000002
27,Nitric Oxide: Biology and Chemistry,SourceOrigin,0.15000000000000002
28,The Anatomical Record,SourceOrigin,0.15000000000000002
29,Brain Research Bulletin,SourceOrigin,0.15000000000000002
30,BMC Neuroscience,SourceOrigin,0.15000000000000002
31,Basal ganglia,SourceOrigin,0.15000000000000002
32,Glia,SourceOrigin,0.15000000000000002
33,Behavioral genetics,SourceOrigin,0.15000000000000002
34,Alcohol and Alcoholism,SourceOrigin,0.15000000000000002
35,Allen Institute for Brain Science,SourceOrigin,0.15000000000000002
36,Mouse Brain Architecture,SourceOrigin,0.15000000000000002
