"ID";"Quantitation_ID";"Calculation_performed"
1;537;"SEM to SD conversion"
2;538;"SEM to SD conversion"
3;539;"SEM to SD conversion"
4;438;"SEM to SD conversion"
5;439;"SEM to SD conversion"
6;540;"SEM to SD conversion"
8;542;"SEM to SD conversion"
10;544;"SEM to SD conversion"
12;546;"SEM to SD conversion"
13;546;"Data pooled from multiple specimen"
14;548;"SEM to SD conversion"
15;61;"Unit conversion"
16;71;"Unit conversion"
17;60;"Unit conversion"
18;70;"Unit conversion"
19;59;"Unit conversion"
20;69;"Unit conversion"
21;74;"Unit conversion"
22;64;"Unit conversion"
23;63;"Unit conversion"
24;73;"Unit conversion"
25;62;"Unit conversion"
26;72;"Unit conversion"
27;67;"Unit conversion"
28;57;"Unit conversion"
29;68;"Unit conversion"
30;58;"Unit conversion"
31;56;"Unit conversion"
32;66;"Unit conversion"
33;55;"Unit conversion"
34;65;"Unit conversion"
35;575;"Unit conversion"
36;574;"Unit conversion"
37;575;"SEM to SD conversion"
38;574;"SEM to SD conversion"
39;550;"SEM to SD conversion"
40;549;"SEM to SD conversion"
41;333;"SEM to SD conversion"
42;334;"SEM to SD conversion"
43;332;"SEM to SD conversion"
44;362;"SEM to SD conversion"
45;363;"SEM to SD conversion"
46;441;"SEM to SD conversion"
48;551;"SEM to SD conversion"
49;551;"SEM to SD conversion"
50;556;"SEM to SD conversion"
51;555;"SEM to SD conversion"
52;553;"SEM to SD conversion"
53;554;"SEM to SD conversion"
54;679;"SEM to SD conversion"
55;680;"SEM to SD conversion"
56;677;"SEM to SD conversion"
57;678;"SEM to SD conversion"
58;681;"SEM to SD conversion"
59;683;"SEM to SD conversion"
60;682;"SEM to SD conversion"
61;559;"SEM to SD conversion"
62;562;"SEM to SD conversion"
63;563;"SEM to SD conversion"
64;561;"SEM to SD conversion"
65;560;"SEM to SD conversion"
66;80;"SEM to SD conversion"
67;684;"SEM to SD conversion"
68;570;"SEM to SD conversion"
69;685;"SEM to SD conversion"
70;571;"SEM to SD conversion"
71;328;"Unit conversion"
72;573;"SEM to SD conversion"
73;572;"SEM to SD conversion"
74;576;"SEM to SD conversion"
75;577;"SEM to SD conversion"
76;442;"SEM to SD conversion"
77;82;"Unit conversion"
79;82;"SEM to SD conversion"
80;81;"Unit conversion"
82;81;"SEM to SD conversion"
83;83;"Unit conversion"
84;83;"SEM to SD conversion"
85;646;"Unit conversion"
86;647;"Unit conversion"
87;84;"Unit conversion"
88;88;"Unit conversion"
89;87;"Unit conversion"
90;86;"Unit conversion"
93;99;"SEM to SD conversion"
94;100;"SEM to SD conversion"
95;89;"SEM to SD conversion"
96;90;"SEM to SD conversion"
97;92;"SEM to SD conversion"
98;93;"SEM to SD conversion"
99;94;"SEM to SD conversion"
100;95;"SEM to SD conversion"
101;96;"SEM to SD conversion"
102;98;"SEM to SD conversion"
103;101;"SEM to SD conversion"
104;102;"SEM to SD conversion"
105;91;"SEM to SD conversion"
106;97;"SEM to SD conversion"
107;103;"SEM to SD conversion"
108;104;"SEM to SD conversion"
109;104;"Unit conversion"
110;103;"Unit conversion"
111;105;"SEM to SD conversion"
112;105;"Unit conversion"
113;106;"SEM to SD conversion"
114;106;"Unit conversion"
115;107;"Unit conversion"
116;107;"SEM to SD conversion"
117;108;"SEM to SD conversion"
118;108;"Unit conversion"
119;109;"Unit conversion"
120;109;"SEM to SD conversion"
121;110;"SEM to SD conversion"
122;110;"Unit conversion"
123;111;"Unit conversion"
124;111;"SEM to SD conversion"
125;112;"SEM to SD conversion"
126;112;"Unit conversion"
127;444;"SEM to SD conversion"
128;659;"SEM to SD conversion"
130;579;"Data pooled from multiple neurons"
131;582;"Unit conversion"
132;583;"Unit conversion"
133;580;"Unit conversion"
134;581;"Unit conversion"
135;587;"Unit conversion"
136;587;"SEM to SD conversion"
139;589;"Unit conversion"
140;589;"SEM to SD conversion"
143;585;"Unit conversion"
144;585;"SEM to SD conversion"
147;446;"Unit conversion"
149;448;"Unit conversion"
151;446;"SEM to SD conversion"
153;448;"SEM to SD conversion"
156;446;"Total number from volume and density"
158;448;"Total number from volume and density"
160;452;"SEM to SD conversion"
162;590;"Data pooled from multiple specimen"
163;591;"Data pooled from multiple specimen"
164;592;"Data pooled from multiple specimen"
