"ID";"Cell_type_name";"Ontological_identifier"
5;"Glutamate receptor 1 expressing";
7;"NMDA receptor expressing";
8;"Dopamine 1 receptor expressing";
9;"Dopamine 2 receptor expressing";
13;"Medium spiny neuron";
14;"Tyrosine hydroxylase expressing";
17;"Dynorphin expressing";
18;"nNOS-expressing";
21;"Substance P expressing";
22;"Small sized cell";
23;"Medium sized cell";
25;"Dopamine receptor 3 / enkephalin co-expressing";
26;"Dopamine receptor 3 expressing / enkephalin negative";
27;"Substance P / PPA co-expressing";
29;"Dopamine receptor 2  / enkephalin co-expressing";
30;"Dopamine receptor 1  / enkephalin co-expressing";
31;"Pre proenkephalin expressing";
32;"Vesicular monoamine transporter-2 expressing";
33;"Cholinergic neuron";"NLX:148005"
34;"Phosphate activated glutaminase expressing";
36;"Calbindin expressing";
37;"Parvalbumin expressing";
38;"Somatostatin expressing";
39;"Calretinin expressing";
40;"NADPHd expressing";
41;"Neuropeptide Y expressing";
42;"Neuron";"ILX:0107497"
43;"Tyrosine hydroxylase negative";
44;"Calbindin negative";
45;"Low huntingtin expressing/calbindin expressing";
46;"Moderate huntingtin expressing/calbindin expressing";
47;"Strong huntingtin expressing/calbindin expressing";
48;"Low huntingtin expressing/calbindin negative";
49;"Moderate huntingtin expressing/calbindin negative";
50;"Strong huntingtin expressing/calbindin negative";
51;"Huntingtin negative/calbindin expressing";
53;"Glial cell";
54;"GAD67 expressing";
55;"GAD67 / parvalbumin coexpressing";
56;"Large sized cell";
57;"Basic fibroblast growth factor expressing";
58;"Basic fibroblast growth factor expressing, small size";
59;"Basic fibroblast growth factor expressing, medium size";
60;"Basic fibroblast growth factor expressing, large size";
61;"GABAergic neuron";"NLX:148043"
62;"GAD65, lightly expressing";
63;"GAD65, heavily expressing";
64;"GAD67, lightly expressing";
65;"GAD67, heavily expressing";
66;"Glutamine synthetase expressing";
67;"GAD expressing";
68;"ApoD expressing";
69;"CB1R expressing";
70;"Astrocyte";"SAO:1394521419"
71;"Macrophage";"SAO:185843373"
72;"Lipocortin 1 expressing";
73;"Phosphotyrosine expressing";
74;"Kappa opioid receptor expressing";
75;"NADPHd, weakly expressing";
76;"NADPHd, strongly expressing";
77;"VGLUT1 expressing";
78;"VGLUT1 negative";
79;"Substance P / enkephalin co-expressing";
80;"VGLUT2 expressing";
81;"VGAT expressing";
82;"XPA expressing";
83;"XPB expressing";
85;"Enkephalin expressing";
86;"Glucocorticoid receptor expressing";
87;"C-fos expressing";
88;"Cell";
89;"Microglia";"SAO:789292116"
90;"Inner globus pallidus neuron";
91;"Outer globus pallidus neuron";
92;"PSA-NCAM expressing";
93;"Somatostatin / calretinin co-expressing";
94;"Somatostatin / nNOS co-expressing";
95;"VIP / CCK co-expressing";
96;"VIP / calretinin co-expressing";
97;"VIP expressing";
98;"Non-neuronal cell";
100;"Acidic fibroblast growth factor expressing";
101;"Dopaminergic neuron, normal morphology";
102;"Dopaminergic neuron";
103;"cAMP response element-positive";
104;"Prototypic pallidal neuron";
105;"Nigrostriatal neuron";
106;"Dopaminergic nigrostriatal neuron";
107;"Non-dopaminergic nigrostriatal neuron";
108;"Subthalamic nucleus projection neuron";
109;"Rostral subthalamic nucleus projection neuron";
110;"Caudal subthalamic nucleus projection neuron";
111;"Lateral subthalamic nucleus projection neuron";
112;"Medial subthalamic nucleus projection neuron";
113;"Astrocyte, S100b expressing";
114;"Astrocyte, GFAP expressing";
115;"Oligodendrocyte";
116;"Perineuronal net-surrounded neuron";
117;"Serotonergic neuron";
118;"Microglia, resting";
119;"Microglia, active";
120;"Non-dopaminergic neuron";
121;"GAD65 expressing";
122;"p75 neurotrophin receptor expressing";
123;"TrkA expressing";
124;"Corticostriatal neuron";
125;"Pre-enkephalin expressing";
