"ID";"First_author";"Published";"Title";"Journal";"Species"
1;"Aaron, LI";1989,00;"Heterogeneous distribution of polysialylated neuronal-cell adhesion molecule during post-natal development and in the adult: an immunohistochemical study in the rat brain.";11;"Rat"
2;"Abe, K";2001,00;"Biochemical and pathological study of endogenous 1-benzyl-1,2,3,4-tetrahydroisoquinoline-induced parkinsonism in the mouse.";21;"Mouse"
3;"Adelbrecht, C";1996,00;"Effect of the weaver mutation on the expression of dopamine membrane transporter, tyrosine hydroxylase and vesicular monoamine transporter in dopaminergic neurons of the substantia nigra and the ventral tegmental area.";38;"Mouse"
4;"Aguirre, JA";1999,00;"A stereological study on the neuroprotective actions of acute modafinil treatment on 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced nigral lesions of the male black mouse.";8;"Mouse"
5;"Ahmed, M";2018,00;"Neuroprotective role of chrysin in attenuating loss of dopaminergic neurons and improving motor, learning and memory functions in rats.";39;"Rat"
6;"Ahn, TB";2005,00;"Absence of nigrostriatal degeneration in LEC rats up to 20 weeks of age.";40;"Rat"
7;"Akanuma, S";2013,00;"Localization of organic anion transporting polypeptide (Oatp) 1a4 and Oatp1c1 at the rat blood-retinal barrier.";41;"Rat"
8;"Albanese, A";1996,00;"Functional impairment of nigrostriatal neurons progresses following withdrawal of 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine.";11;"Mouse"
9;"Alexi, T";1996,00;"Neurotrophin-4/5 selectively protects nigral calbindin-containing neurons in rats with medial forebrain bundle transections.";11;"Rat"
10;"Allen, JP";2003,00;"Somatostatin receptor 2 knockout/lacZ knockin mice show impaired motor coordination and reveal sites of somatostatin action within the striatum.";2;"Mouse"
11;"Altar, A";1983,00;"The crossed mesostriatal projection: neurochemistry and developmental response to lesion.";21;"Rat"
12;"Alter, SP";2016,00;"Reduced vesicular monoamine transport disrupts serotonin signaling but does not cause serotonergic degeneration.";18;"Mouse"
13;"Althini, SB";2003,00;"Normal nigrostriatal innervation but dopamine dysfunction in mice carrying hypomorphic tyrosine hydroxylase alleles.";26;"Mouse"
14;"Amadio, S";2006,00;"Oligodendrocytes express P2Y12 metabotropic receptor in adult rat brain.";11;"Rat"
15;"Amano, T";2002,00;"Effects of single low dose irradiation on subventricular zone cells in juvenile rat brain.";40;"Rat"
16;"Anaya-Martinez, V";2006,00;"Substantia nigra compacta neurons that innervate the reticular thalamic nucleus in the rat also project to striatum or globus pallidus: implications for abnormal motor behavior.";11;"Rat"
17;"Andres, ME";1996,00;"NMDA-NR1 receptor subunit mRNA expression in rat brain after 6-OH-dopamine induced lesions: a non-isotopic in situ hybridization study.";26;"Rat"
18;"Andrews, ZB";2005,00;"Uncoupling protein-2 is critical for nigral dopamine cell survival in a mouse model of Parkinson's disease.[Erratum appears in J Neurosci. 2005 Feb 23;25(8):table of contents]";7;"Mouse"
19;"Anglade, P";1996,00;"Synaptic plasticity in the caudate nucleus of patients with Parkinson's disease.";42;"Human"
20;"Aoi, M";2000,00;"The effect of intrastriatal single injection of GDNF on the nigrostriatal dopaminergic system in hemiparkinsonian rats: behavioral and histological studies using two different dosages.";40;"Rat"
21;"Aoki, C";1994,00;"Perikaryal and synaptic localization of alpha 2A-adrenergic receptor-like immunoreactivity.";21;"Rat"
22;"Apostolides, C";1998,00;"Glial cell line-derived neurotrophic factor improves intrastriatal graft survival of stored dopaminergic cells.";11;"Rat"
23;"Arai, N";1990,00;"Evaluation of a 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-treated C57 black mouse model for parkinsonism.";21;"Mouse"
24;"Arai, R";1991,00;"Immunohistochemical localization of calretinin in the rat hindbrain.";12;"Rat"
25;"Araki, T";2001,00;"Biochemical and immunohistological changes in the brain of 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-treated mouse.";43;"Mouse"
