"ID";"Paper";"Decision";"Region_considered"
2421;1010;"Excluded: Data in graphs only";"Substantia nigra"
2422;1011;"Excluded: Data in graphs only";"Substantia nigra"
2423;1012;"Included";"Substantia nigra"
2424;1013;"Excluded: Data in graphs only";"Substantia nigra"
2425;1014;"Excluded: Data in graphs only";"Substantia nigra"
2426;1015;"Excluded: Data in graphs only";"Substantia nigra"
2427;1016;"Excluded: Data in graphs only";"Substantia nigra"
2428;1017;"Excluded: No data of interest";"Substantia nigra"
2429;1018;"Excluded: Data in graphs only";"Substantia nigra"
2430;1019;"Excluded: No data of interest";"Substantia nigra"
2431;1020;"Excluded: Data in graphs only";"Substantia nigra"
2432;1021;"Excluded: Data in graphs only";"Substantia nigra"
2433;1022;"Excluded: Data in graphs only";"Substantia nigra"
2434;1023;"Included";"Substantia nigra"
2435;1024;"Excluded: No data of interest";"Substantia nigra"
2436;1025;"Excluded: No data of interest";"Substantia nigra"
2437;1026;"Excluded: No data of interest";"Substantia nigra"
2438;1027;"Excluded: Data in graphs only";"Substantia nigra"
2439;1028;"Excluded: Treated animals only";"Substantia nigra"
2440;1029;"Included";"Substantia nigra"
2441;1030;"Included";"Substantia nigra"
2442;1031;"Excluded: No data of interest";"Substantia nigra"
2443;1032;"Excluded: Data in graphs only";"Substantia nigra"
2444;1033;"Excluded: No data of interest";"Substantia nigra"
2445;1034;"Excluded: No data of interest";"Substantia nigra"
2446;1035;"Included";"Substantia nigra"
2447;1036;"Excluded: Data in graphs only";"Substantia nigra"
2448;1037;"Excluded: Data in graphs only";"Substantia nigra"
2449;1038;"Excluded: No data of interest";"Substantia nigra"
2450;1039;"Excluded: Treated animals only";"Substantia nigra"
2451;1040;"Included";"Substantia nigra"
2452;1041;"Excluded: Data in graphs only";"Substantia nigra"
2453;1042;"Excluded: Data in graphs only";"Substantia nigra"
2454;1043;"Included";"Substantia nigra"
2455;1044;"Excluded: No data of interest";"Substantia nigra"
2456;1045;"Included";"Substantia nigra"
2457;1046;"Excluded: Treated animals only";"Substantia nigra"
2458;1047;"Excluded: No data of interest";"Substantia nigra"
2459;1048;"Included";"Substantia nigra"
2460;1049;"Included";"Substantia nigra"
2461;1050;"Excluded: Treated animals only";"Substantia nigra"
2462;1051;"Excluded: Data not possible to normalize";"Substantia nigra"
2463;1052;"Excluded: Treated animals only";"Substantia nigra"
2464;1053;"Excluded: Treated animals only";"Substantia nigra"
2465;1054;"Excluded: Data in graphs only";"Substantia nigra"
2466;1055;"Included";"Substantia nigra"
2467;1056;"Excluded: Data not possible to normalize";"Substantia nigra"
2468;1057;"Included";"Substantia nigra"
2469;1058;"Excluded: Data not possible to normalize";"Substantia nigra"
2470;1059;"Excluded: Data in graphs only";"Substantia nigra"
2471;1060;"Included";"Substantia nigra"
2472;1061;"Included";"Substantia nigra"
2473;1062;"Included";"Substantia nigra"
2474;1063;"Included";"Substantia nigra"
2475;1064;"Excluded: Data in graphs only";"Substantia nigra"
2476;1065;"Excluded: Data in graphs only";"Substantia nigra"
2477;1066;"Included";"Substantia nigra"
2478;1067;"Excluded: Data in graphs only";"Substantia nigra"
2479;1068;"Excluded: Data in graphs only";"Substantia nigra"
2480;1069;"Included";"Substantia nigra"
2481;1070;"Excluded: No data of interest";"Substantia nigra"
2482;1071;"Excluded: Data in graphs only";"Substantia nigra"
2483;1072;"Excluded: Treated animals only";"Substantia nigra"
2484;1073;"Included";"Substantia nigra"
2485;1074;"Included";"Substantia nigra"
2486;1075;"Excluded: Data in graphs only";"Substantia nigra"
2487;1076;"Excluded: Data in graphs only";"Substantia nigra"
2488;1077;"Excluded: No data of interest";"Substantia nigra"
2489;1078;"Excluded: Data in graphs only";"Substantia nigra"
2490;1079;"Excluded: Data in graphs only";"Substantia nigra"
2491;1080;"Excluded: Data in graphs only";"Substantia nigra"
2492;1081;"Excluded: Data in graphs only";"Substantia nigra"
2493;1082;"Excluded: No access to paper";"Substantia nigra"
2494;1083;"Included";"Substantia nigra"
2495;1084;"Included";"Substantia nigra"
2496;1085;"Excluded: Data not shown";"Substantia nigra"
2497;1086;"Excluded: Data in graphs only";"Substantia nigra"
2498;1087;"Excluded: Data in graphs only";"Substantia nigra"
2499;1088;"Included";"Substantia nigra"
2500;1089;"Excluded: Treated animals only";"Substantia nigra"
2501;1090;"Excluded: Data in graphs only";"Substantia nigra"
2502;1091;"Included";"Substantia nigra"
2503;1092;"Excluded: Treated animals only";"Substantia nigra"
2504;1093;"Wrong initial decision, include";"Substantia nigra"
2505;1094;"Excluded: Data in graphs only";"Substantia nigra"
2506;1095;"Excluded: Treated animals only";"Substantia nigra"
2507;1096;"Excluded: Data in graphs only";"Substantia nigra"
2508;1097;"Excluded: Data in graphs only";"Substantia nigra"
2509;1098;"Excluded: No data of interest";"Substantia nigra"
2510;1099;"Included";"Substantia nigra"
2511;1100;"Excluded: Data not possible to normalize";"Substantia nigra"
2512;1101;"Excluded: Data in graphs only";"Substantia nigra"
2513;1102;"Excluded: Data in graphs only";"Substantia nigra"
2514;1103;"Included";"Substantia nigra"
2515;1104;"Included";"Substantia nigra"
2516;1105;"Excluded: Data in graphs only";"Substantia nigra"
2517;1106;"Excluded: Treated animals only";"Substantia nigra"
2518;1107;"Included";"Substantia nigra"
2519;1108;"Included";"Substantia nigra"
2520;1109;"Included";"Substantia nigra"
2521;1110;"Excluded: Data in graphs only";"Substantia nigra"
2522;1111;"Excluded: Data in graphs only";"Substantia nigra"
2523;1112;"Excluded: No data of interest";"Substantia nigra"
2524;1113;"Included";"Substantia nigra"
2525;1114;"Excluded: Treated animals only";"Substantia nigra"
2526;1115;"Excluded: Data not possible to normalize";"Substantia nigra"
2527;1116;"Included";"Substantia nigra"
2528;1117;"Excluded: No data of interest";"Substantia nigra"
2529;1118;"Excluded: Data in graphs only";"Substantia nigra"
2530;1119;"Included";"Substantia nigra"
2531;1120;"Excluded: Data not possible to normalize";"Substantia nigra"
2532;1121;"Excluded: Data not possible to normalize";"Substantia nigra"
2534;1123;"Excluded: Data in graphs only";"Substantia nigra"
2535;1124;"Excluded: Data in graphs only";"Substantia nigra"
2536;1125;"Excluded: No data of interest";"Substantia nigra"
2537;1126;"Included";"Substantia nigra"
2538;1127;"Included";"Substantia nigra"
2539;1128;"Included";"Substantia nigra"
2540;1129;"Excluded: Treated animals only";"Substantia nigra"
2541;1130;"Included";"Substantia nigra"
2542;1131;"Included";"Substantia nigra"
2543;1132;"Excluded: Data in graphs only";"Substantia nigra"
2544;1133;"Included";"Substantia nigra"
2545;1134;"Excluded: Data in graphs only";"Substantia nigra"
2546;1135;"Excluded: Data in graphs only";"Substantia nigra"
2547;1136;"Excluded: Data in graphs only";"Substantia nigra"
2548;1137;"Included";"Substantia nigra"
2549;1138;"Excluded: No data of interest";"Substantia nigra"
2550;1139;"Included";"Substantia nigra"
2551;1140;"Excluded: Data in graphs only";"Substantia nigra"
2552;1141;"Included";"Substantia nigra"
2553;1142;"Excluded: Data in graphs only";"Substantia nigra"
2554;1143;"Included";"Substantia nigra"
2555;1144;"Excluded: Data in graphs only";"Substantia nigra"
2556;1145;"Excluded: Data in graphs only";"Substantia nigra"
2557;1146;"Excluded: Data in graphs only";"Substantia nigra"
2558;1147;"Excluded: Data in graphs only";"Substantia nigra"
2559;1;"Excluded: No quantitative information";"Substantia nigra"
2560;2;"Excluded: Data not possible to normalize";"Substantia nigra"
2561;3;"Excluded: Data not possible to normalize";"Substantia nigra"
2562;4;"Included";"Substantia nigra"
2563;5;"Excluded: Treated animals only";"Substantia nigra"
2564;6;"Excluded: Data not possible to normalize";"Substantia nigra"
2565;7;"Excluded: No data of interest";"Substantia nigra"
2566;8;"Excluded: Data not possible to normalize";"Substantia nigra"
2567;9;"Included";"Substantia nigra"
2568;10;"Excluded: No quantitative information";"Substantia nigra"
2569;11;"Excluded: Data not possible to normalize";"Substantia nigra"
2570;12;"Excluded: No data of interest";"Substantia nigra"
2571;13;"Excluded: No data of interest";"Substantia nigra"
2572;14;"Excluded: No quantitative information";"Substantia nigra"
2573;15;"Excluded: No data of interest";"Substantia nigra"
2574;16;"Excluded: Data not possible to normalize";"Substantia nigra"
2575;17;"Excluded: Data in graphs only";"Substantia nigra"
2576;18;"Included";"Substantia nigra"
2577;19;"Excluded: No data of interest";"Substantia nigra"
2578;20;"Excluded: Treated animals only";"Substantia nigra"
2579;21;"Excluded: No data of interest";"Substantia nigra"
2580;22;"Excluded: Treated animals only";"Substantia nigra"
2581;23;"Included";"Substantia nigra"
2582;24;"Excluded: No quantitative information";"Substantia nigra"
2583;25;"Excluded: Data not possible to normalize";"Substantia nigra"
2584;26;"Excluded: Data in graphs only";"Substantia nigra"
2585;27;"Excluded: Not neuroscience related";"Substantia nigra"
2586;28;"Excluded: No quantitative information";"Substantia nigra"
2587;29;"Excluded: No quantitative information";"Substantia nigra"
2588;30;"Excluded: Data not possible to normalize";"Substantia nigra"
2589;31;"Excluded: No data of interest";"Substantia nigra"
2590;32;"Excluded: Data not possible to normalize";"Substantia nigra"
2591;33;"Excluded: No quantitative information";"Substantia nigra"
2592;34;"Included";"Substantia nigra"
2593;35;"Excluded: No data of interest";"Substantia nigra"
2594;36;"Excluded: Data not possible to normalize";"Substantia nigra"
2595;37;"Excluded: Data in graphs only";"Substantia nigra"
2596;38;"Excluded: Data not possible to normalize";"Substantia nigra"
2597;39;"Excluded: No data of interest";"Substantia nigra"
2598;40;"Excluded: Review";"Substantia nigra"
2599;41;"Included";"Substantia nigra"
2600;42;"Excluded: No data of interest";"Substantia nigra"
2601;43;"Excluded: No data of interest";"Substantia nigra"
2602;44;"Excluded: Data in graphs only";"Substantia nigra"
2603;45;"Excluded: No quantitative information";"Substantia nigra"
2604;46;"Excluded: No data of interest";"Substantia nigra"
2605;47;"Excluded: No quantitative information";"Substantia nigra"
2606;48;"Excluded: No quantitative information";"Substantia nigra"
2607;49;"Excluded: No quantitative information";"Substantia nigra"
2608;50;"Excluded: Data not possible to normalize";"Substantia nigra"
2609;51;"Excluded: No data of interest";"Substantia nigra"
2610;52;"Excluded: No quantitative information";"Substantia nigra"
2611;53;"Excluded: Data in graphs only";"Substantia nigra"
2612;54;"Excluded: No data of interest";"Substantia nigra"
2613;55;"Excluded: No data of interest";"Substantia nigra"
2614;56;"Already included";"Substantia nigra"
2615;57;"Excluded: Review";"Substantia nigra"
2616;58;"Excluded: No data of interest";"Substantia nigra"
2617;59;"Excluded: No data of interest";"Substantia nigra"
2618;60;"Excluded: No quantitative information";"Substantia nigra"
2619;61;"Excluded: No data of interest";"Substantia nigra"
2620;62;"Excluded: Data in graphs only";"Substantia nigra"
2621;63;"Excluded: Data in graphs only";"Substantia nigra"
2622;64;"Excluded: No quantitative information";"Substantia nigra"
2623;65;"Excluded: Treated animals only";"Substantia nigra"
2624;66;"Excluded: No data of interest";"Substantia nigra"
2625;67;"Excluded: No data of interest";"Substantia nigra"
2626;68;"Excluded: No quantitative information";"Substantia nigra"
2627;69;"Excluded: No data of interest";"Substantia nigra"
2628;70;"Excluded: Data not possible to normalize";"Substantia nigra"
2629;71;"Excluded: No data of interest";"Substantia nigra"
2630;72;"Excluded: Data not possible to normalize";"Substantia nigra"
2631;73;"Excluded: No quantitative information";"Substantia nigra"
2632;74;"Excluded: Treated animals only";"Substantia nigra"
2633;75;"Excluded: No quantitative information";"Substantia nigra"
2634;76;"Excluded: No quantitative information";"Substantia nigra"
2635;77;"Excluded: No data of interest";"Substantia nigra"
2636;78;"Excluded: Data in graphs only";"Substantia nigra"
2637;79;"Excluded: No data of interest";"Substantia nigra"
2638;80;"Excluded: No data of interest";"Substantia nigra"
2639;81;"Excluded: No data of interest";"Substantia nigra"
2640;82;"Excluded: Data not possible to normalize";"Substantia nigra"
2641;83;"Excluded: Treated animals only";"Substantia nigra"
2642;84;"Excluded: Treated animals only";"Substantia nigra"
2643;85;"Excluded: No data of interest";"Substantia nigra"
2644;86;"Excluded: No data of interest";"Substantia nigra"
2645;87;"Excluded: No quantitative information";"Substantia nigra"
2646;88;"Excluded: No quantitative information";"Substantia nigra"
2647;89;"Excluded: No data of interest";"Substantia nigra"
2648;90;"Included";"Substantia nigra"
2649;91;"Included";"Substantia nigra"
2650;92;"Included";"Substantia nigra"
2651;93;"Excluded: No quantitative information";"Substantia nigra"
2652;94;"Excluded: No quantitative information";"Substantia nigra"
2653;95;"Excluded: No data of interest";"Substantia nigra"
2654;96;"Excluded: No data of interest";"Substantia nigra"
2655;97;"Included";"Substantia nigra"
2656;98;"Excluded: Data not possible to normalize";"Substantia nigra"
2657;99;"Excluded: Treated animals only";"Substantia nigra"
2658;100;"Excluded: No quantitative information";"Substantia nigra"
2659;101;"Excluded: Data not possible to normalize";"Substantia nigra"
2660;102;"Included";"Substantia nigra"
2661;103;"Excluded: Treated animals only";"Substantia nigra"
2662;104;"Excluded: Treated animals only";"Substantia nigra"
2663;105;"Excluded: No data of interest";"Substantia nigra"
2664;106;"Excluded: No quantitative information";"Substantia nigra"
2665;107;"Excluded: No quantitative information";"Substantia nigra"
2666;108;"Excluded: No data of interest";"Substantia nigra"
2667;109;"Excluded: Treated animals only";"Substantia nigra"
2668;110;"Excluded: No quantitative information";"Substantia nigra"
2669;111;"Excluded: Treated animals only";"Substantia nigra"
2670;112;"Included";"Substantia nigra"
2671;113;"Excluded: Treated animals only";"Substantia nigra"
2672;114;"Excluded: Data not possible to normalize";"Substantia nigra"
2673;115;"Excluded: No english version available";"Substantia nigra"
2674;116;"Excluded: Data not possible to normalize";"Substantia nigra"
2675;117;"Excluded: No quantitative information";"Substantia nigra"
2676;118;"Excluded: No quantitative information";"Substantia nigra"
2677;119;"Excluded: No quantitative information";"Substantia nigra"
2678;120;"Excluded: Data not possible to normalize";"Substantia nigra"
2679;121;"Excluded: No data of interest";"Substantia nigra"
2680;122;"Excluded: No quantitative information";"Substantia nigra"
2681;123;"Included";"Substantia nigra"
2682;124;"Excluded: Treated animals only";"Substantia nigra"
2683;125;"Excluded: No data of interest";"Substantia nigra"
2684;126;"Excluded: No quantitative information";"Substantia nigra"
2685;127;"Excluded: Data not possible to normalize";"Substantia nigra"
2686;128;"Excluded: Data not possible to normalize";"Substantia nigra"
2687;129;"Excluded: No quantitative information";"Substantia nigra"
2688;130;"Included";"Substantia nigra"
2689;131;"Excluded: No data of interest";"Substantia nigra"
2690;132;"Excluded: No data of interest";"Substantia nigra"
2691;133;"Excluded: No data of interest";"Substantia nigra"
2692;134;"Excluded: No data of interest";"Substantia nigra"
2693;135;"Excluded: Treated animals only";"Substantia nigra"
2694;136;"Excluded: Treated animals only";"Substantia nigra"
2695;137;"Excluded: Data not possible to normalize";"Substantia nigra"
2696;138;"Excluded: No SN data";"Substantia nigra"
2697;139;"Excluded: No quantitative information";"Substantia nigra"
2698;140;"Included";"Substantia nigra"
2699;141;"Included";"Substantia nigra"
2700;142;"Excluded: Data not possible to normalize";"Substantia nigra"
2701;143;"Excluded: Treated animals only";"Substantia nigra"
2702;144;"Excluded: No quantitative information";"Substantia nigra"
2703;145;"Excluded: No english version available";"Substantia nigra"
2704;146;"Excluded: Data not possible to normalize";"Substantia nigra"
2705;147;"Excluded: Data not possible to normalize";"Substantia nigra"
2706;148;"Excluded: Data not possible to normalize";"Substantia nigra"
2707;150;"Excluded: No data of interest";"Substantia nigra"
2708;151;"Excluded: Data not possible to normalize";"Substantia nigra"
2709;152;"Excluded: Data not possible to normalize";"Substantia nigra"
2710;153;"Excluded: Data not possible to normalize";"Substantia nigra"
2711;154;"Excluded: Treated animals only";"Substantia nigra"
2712;155;"Excluded: Data in graphs only";"Substantia nigra"
2713;156;"Excluded: Data not possible to normalize";"Substantia nigra"
2714;157;"Excluded: No data of interest";"Substantia nigra"
2715;158;"Excluded: No data of interest";"Substantia nigra"
2716;159;"Excluded: No data of interest";"Substantia nigra"
2717;160;"Excluded: No quantitative information";"Substantia nigra"
2718;161;"Excluded: No data of interest";"Substantia nigra"
2719;162;"Excluded: No data of interest";"Substantia nigra"
2720;163;"Excluded: No quantitative information";"Substantia nigra"
2721;164;"Excluded: No quantitative information";"Substantia nigra"
2722;165;"Excluded: Data not possible to normalize";"Substantia nigra"
2723;166;"Excluded: No data of interest";"Substantia nigra"
2724;167;"Excluded: No quantitative information";"Substantia nigra"
2725;168;"Excluded: Treated animals only";"Substantia nigra"
2726;169;"Excluded: Data not possible to normalize";"Substantia nigra"
2727;170;"Excluded: No data of interest";"Substantia nigra"
2728;171;"Excluded: Data in graphs only";"Substantia nigra"
2729;172;"Excluded: Data in graphs only";"Substantia nigra"
2730;173;"Excluded: No quantitative information";"Substantia nigra"
2731;174;"Excluded: No access to paper";"Substantia nigra"
2732;175;"Excluded: No data of interest";"Substantia nigra"
2733;176;"Excluded: Treated animals only";"Substantia nigra"
2734;177;"Excluded: Treated animals only";"Substantia nigra"
2735;178;"Excluded: Data not possible to normalize";"Substantia nigra"
2736;179;"Excluded: No data of interest";"Substantia nigra"
2737;180;"Excluded: No data of interest";"Substantia nigra"
2738;181;"Excluded: No data of interest";"Substantia nigra"
2739;182;"Excluded: No quantitative information";"Substantia nigra"
2740;183;"Excluded: No quantitative information";"Substantia nigra"
2741;184;"Excluded: Treated animals only";"Substantia nigra"
2742;185;"Excluded: No quantitative information";"Substantia nigra"
2743;186;"Excluded: Data not possible to normalize";"Substantia nigra"
2744;187;"Excluded: Data in graphs only";"Substantia nigra"
2745;188;"Excluded: Data in graphs only";"Substantia nigra"
2746;189;"Excluded: Data not possible to normalize";"Substantia nigra"
2747;190;"Excluded: No data of interest";"Substantia nigra"
2748;191;"Excluded: No quantitative information";"Substantia nigra"
2749;192;"Included";"Substantia nigra"
2750;193;"Excluded: No quantitative information";"Substantia nigra"
2751;194;"Excluded: No data of interest";"Substantia nigra"
2752;195;"Excluded: No access to paper";"Substantia nigra"
2753;196;"Excluded: No quantitative information";"Substantia nigra"
2754;197;"Excluded: Data not possible to normalize";"Substantia nigra"
2755;198;"Excluded: No quantitative information";"Substantia nigra"
2756;199;"Excluded: Treated animals only";"Substantia nigra"
2757;200;"Excluded: No quantitative information";"Substantia nigra"
2758;201;"Excluded: No data of interest";"Substantia nigra"
2759;202;"Excluded: No data of interest";"Substantia nigra"
2760;203;"Excluded: No quantitative information";"Substantia nigra"
2761;204;"Excluded: Data not possible to normalize";"Substantia nigra"
2762;205;"Excluded: No data of interest";"Substantia nigra"
2763;206;"Excluded: No data of interest";"Substantia nigra"
2764;207;"Excluded: No data of interest";"Substantia nigra"
2765;208;"Excluded: No data of interest";"Substantia nigra"
2766;209;"Excluded: No data of interest";"Substantia nigra"
2767;210;"Excluded: No quantitative information";"Substantia nigra"
2768;211;"Excluded: No quantitative information";"Substantia nigra"
2769;212;"Excluded: No data of interest";"Substantia nigra"
2770;213;"Excluded: No data of interest";"Substantia nigra"
2771;214;"Already included";"Substantia nigra"
2772;215;"Excluded: No quantitative information";"Substantia nigra"
2773;216;"Excluded: Data in graphs only";"Substantia nigra"
2774;217;"Excluded: Data in graphs only";"Substantia nigra"
2775;218;"Excluded: No quantitative information";"Substantia nigra"
2776;219;"Excluded: No quantitative information";"Substantia nigra"
2777;220;"Excluded: No data of interest";"Substantia nigra"
2778;221;"Excluded: No data of interest";"Substantia nigra"
2779;222;"Excluded: Data not possible to normalize";"Substantia nigra"
2780;223;"Excluded: No data of interest";"Substantia nigra"
2781;224;"Excluded: Data not possible to normalize";"Substantia nigra"
2782;225;"Excluded: No data of interest";"Substantia nigra"
2783;226;"Excluded: No quantitative information";"Substantia nigra"
2784;227;"Excluded: Data not possible to normalize";"Substantia nigra"
2785;228;"Excluded: Treated animals only";"Substantia nigra"
2786;229;"Excluded: Data not possible to normalize";"Substantia nigra"
2787;230;"Excluded: No data of interest";"Substantia nigra"
2788;231;"Excluded: Data in graphs only";"Substantia nigra"
2789;232;"Excluded: Data not possible to normalize";"Substantia nigra"
2790;233;"Excluded: Treated animals only";"Substantia nigra"
2791;234;"Excluded: No access to paper";"Substantia nigra"
2792;235;"Excluded: No data of interest";"Substantia nigra"
2793;236;"Excluded: No data of interest";"Substantia nigra"
2794;237;"Excluded: No quantitative information";"Substantia nigra"
2795;238;"Excluded: No quantitative information";"Substantia nigra"
2796;239;"Excluded: No data of interest";"Substantia nigra"
2797;240;"Excluded: No data of interest";"Substantia nigra"
2798;241;"Excluded: Treated animals only";"Substantia nigra"
2799;242;"Excluded: No quantitative information";"Substantia nigra"
2800;243;"Excluded: Data not possible to normalize";"Substantia nigra"
2801;244;"Excluded: Data not possible to normalize";"Substantia nigra"
2802;245;"Excluded: No data of interest";"Substantia nigra"
2803;247;"Excluded: Data in graphs only";"Substantia nigra"
2804;246;"Excluded: Data in graphs only";"Substantia nigra"
2805;248;"Excluded: No quantitative information";"Substantia nigra"
2806;249;"Excluded: Data not possible to normalize";"Substantia nigra"
2807;250;"Excluded: No data of interest";"Substantia nigra"
2808;251;"Included";"Substantia nigra"
2809;252;"Included";"Substantia nigra"
2810;253;"Excluded: No quantitative information";"Substantia nigra"
2811;254;"Excluded: No quantitative information";"Substantia nigra"
2812;255;"Excluded: Data in graphs only";"Substantia nigra"
2813;256;"Excluded: No data of interest";"Substantia nigra"
2814;257;"Excluded: No data of interest";"Substantia nigra"
2815;258;"Excluded: Data not possible to normalize";"Substantia nigra"
2816;259;"Excluded: Treated animals only";"Substantia nigra"
2817;260;"Excluded: No data of interest";"Substantia nigra"
2818;261;"Excluded: Data not possible to normalize";"Substantia nigra"
2819;262;"Excluded: Data not possible to normalize";"Substantia nigra"
2820;263;"Already included";"Substantia nigra"
2821;264;"Excluded: No data of interest";"Substantia nigra"
2822;265;"Excluded: Treated animals only";"Substantia nigra"
2823;266;"Excluded: Treated animals only";"Substantia nigra"
2824;267;"Excluded: No data of interest";"Substantia nigra"
2825;268;"Excluded: Treated animals only";"Substantia nigra"
2826;269;"Excluded: No quantitative information";"Substantia nigra"
2827;270;"Excluded: No quantitative information";"Substantia nigra"
2828;272;"Excluded: Data in graphs only";"Substantia nigra"
2829;271;"Wrong initial decision, include";"Substantia nigra"
2830;273;"Included";"Substantia nigra"
2831;274;"Excluded: No data of interest";"Substantia nigra"
2832;275;"Excluded: No quantitative information";"Substantia nigra"
2833;276;"Excluded: Data not possible to normalize";"Substantia nigra"
2834;278;"Excluded: Treated animals only";"Substantia nigra"
2835;277;"Excluded: Treated animals only";"Substantia nigra"
2836;279;"Excluded: No data of interest";"Substantia nigra"
2837;280;"Excluded: Treated animals only";"Substantia nigra"
2838;281;"Excluded: No quantitative information";"Substantia nigra"
2839;282;"Excluded: No quantitative information";"Substantia nigra"
2840;283;"Excluded: No data of interest";"Substantia nigra"
2841;285;"Excluded: No data of interest";"Substantia nigra"
2842;284;"Excluded: No data of interest";"Substantia nigra"
2843;286;"Excluded: Data not possible to normalize";"Substantia nigra"
2844;287;"Excluded: Data not possible to normalize";"Substantia nigra"
2845;288;"Excluded: Treated animals only";"Substantia nigra"
2846;289;"Excluded: No quantitative information";"Substantia nigra"
2847;290;"Excluded: No data of interest";"Substantia nigra"
2848;291;"Excluded: No data of interest";"Substantia nigra"
2849;292;"Excluded: Data not possible to normalize";"Substantia nigra"
2850;293;"Excluded: Treated animals only";"Substantia nigra"
2851;294;"Included";"Substantia nigra"
2852;295;"Included";"Substantia nigra"
2853;296;"Already included";"Substantia nigra"
2854;297;"Excluded: No quantitative information";"Substantia nigra"
2855;298;"Excluded: No data of interest";"Substantia nigra"
2856;299;"Excluded: Treated animals only";"Substantia nigra"
2857;300;"Already included";"Substantia nigra"
2858;301;"Already included";"Substantia nigra"
2859;302;"Excluded: No quantitative information";"Substantia nigra"
2860;303;"Excluded: Treated animals only";"Substantia nigra"
2861;304;"Excluded: No data of interest";"Substantia nigra"
2862;305;"Excluded: Data in graphs only";"Substantia nigra"
2863;306;"Excluded: No data of interest";"Substantia nigra"
2864;307;"Excluded: No data of interest";"Substantia nigra"
2865;308;"Excluded: Treated animals only";"Substantia nigra"
2866;309;"Excluded: Data in graphs only";"Substantia nigra"
2867;310;"Excluded: Data not possible to normalize";"Substantia nigra"
2868;311;"Excluded: Treated animals only";"Substantia nigra"
2869;312;"Excluded: Treated animals only";"Substantia nigra"
