"ID";"Derived_data_record";"EMdetails"
1;131;1
2;184;2
3;191;3
4;192;3
5;204;4
6;206;5
7;213;6
8;214;6
9;212;6
10;227;7
11;226;7
12;228;8
13;232;9
14;231;9
16;237;10
17;235;10
18;238;10
19;236;10
20;245;11
21;246;11
22;254;12
23;253;12
24;250;12
25;256;12
26;257;12
27;252;12
28;251;12
29;255;12
30;293;13
31;326;14
33;494;15
34;557;16
35;556;16
36;620;17
37;621;17
38;623;17
39;622;17
40;653;18
41;654;19
42;655;19
44;678;20
46;682;21
48;681;21
49;686;22
50;683;22
51;684;22
52;685;22
53;689;23
55;690;23
56;701;24
57;702;24
58;703;24
59;704;24
60;715;25
61;716;25
62;738;26
63;739;26
64;741;27
65;742;27
