"ID";"EM_details_name";"Microscope";"Grid_type";"Magnification"
1;"Itzev_2008_Emdetails";4;"Unspecified";29000
2;"Neuhofer_2015_Emdetails";4;"Slot grid";20000
3;"O'Kusky_1999_Emdetails";4;"Mesh grid";
4;"Pickel_1998_Emdetails";4;"Mesh grid";
5;"Pickel_2006_Emdetails";4;"Unspecified";
6;"Roberts_1995_Emdetails";4;"Unspecified";30000
7;"Sizemore_2010_Emdetails";4;"Slot grid";33000
8;"Sizemore_2016_Emdetails";4;"Slot grid";
9;"Svingos_1999_Emdetails";4;"Mesh grid";
10;"Uryu_1999_Emdetails";4;"Unspecified";20000
11;"Walker_2012_Emdetails";4;"Mesh grid";40000
12;"Wissman_2012_Emdetails";4;"Slot grid";20000
13;"Oorschot_2013_Emdetails";4;"Slot grid";13000
14;"NMO_Henny_2013_ultrathin_Emdetails";4;"Slot grid";
15;"Zhao_2002_Emdetails";4;"Unspecified";500
16;"Butler_1999_Emdetails";4;"Unspecified";20000
17;"Ihara_1986_Emdetails";4;"Unspecified";8000
18;"Meshul_1995_Emdetails";4;"Unspecified";42000
19;"Mu_2014_Emdetails";4;"Mesh grid";
20;"Roberts_2001_Emdetails";4;"Unspecified";10000
21;"Roberts_1995b_Emdetails";4;"Unspecified";15000
22;"Robinson_1995_Emdetails";4;"Unspecified";
23;"Rodriguez_1999_Emdetails";4;"Mesh grid";5200
24;"Sharpe_1998_Emdetails";4;;21000
25;"Uryu_2001_Emdetails";4;;20000
26;"Zhang_2016_Emdetails";4;"Slot grid";12000
27;"Zheng_2018_Emdetails";4;"Slot grid";
