"ID";"Microscopy_details_name";"Microscope";"Mounting_medium";"Refraction_medium";"Numerical_aperture";"Objective_lens";"Total_magnification";"Pixel size";"Z_stack";"Optical_slice_size"
35;"Ariano_1997_LFMdetails";1;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
36;"Baker_1980_LFMdetails";2;52;"Unspecified";;"Unspecified";"500X";;0;"N/A"
37;"Bayer_1994_sections_Msneuron_quantitation_LFMdetails";2;52;"Unspecified";;"25X";"Unspecified";;0;"N/A"
38;"Bayer_1994_sections_midbrain_THneuron_quantitation_LFMdetails";2;51;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
39;"Burke_1990_sections_ChAT_cells_quantitation_LFMdetails";2;52;"Unspecified";;"Unspecified";"400X";;0;"N/A"
41;"del Moral_2004_LFMdetails";2;69;"Unspecified";;"10X";"Unspecified";;0;"N/A"
42;"Eilam_2003_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
43;"Fogarty_2017_LFMdetails";2;69;"Unspecified";"1,4";"63X";"Unspecified";;1;"2"
44;"Forlano_2010_LFMdetails";3;18;"Oil";;"100X";"Unspecified";"0,36";1;"0,2"
46;"German_1993_sections_TH_cells_quantitation_LFMdetails";2;52;"Unspecified";;"Unspecified";"160X";;0;"N/A"
47;"Gritti_2006_LFMdetails";2;52;"Oil";"1,4";"63X";"Unspecified";;0;"N/A"
48;"Guan_1999_sections_calb_neurons_quantitation_LFMdetails";2;52;"Unspecified";;"40X";"Unspecified";;0;"N/A"
49;"Guan_1999_LFMdetails";2;52;"Unspecified";;"10X";"Unspecified";;0;"N/A"
50;"Hain_2016_LFMdetails";2;52;"Oil";;"40X";"Unspecified";;0;"N/A"
51;"Hussain_1996_LFMdetails";2;107;"Unspecified";;"6.3X";"Unspecified";;0;"N/A"
52;"Kerkerian_1990_LFMdetails";2;116;"Unspecified";;"Unspecified";"70X";;0;"N/A"
53;"Klenowski_2016_LFMdetails";2;69;"Unspecified";;"100X";"Unspecified";;0;"N/A"
54;"Khudoerkov_2014_TH_neurons_quantitation_LFMdetails";2;52;"Unspecified";;"40X";"Unspecified";;0;"N/A"
55;"Kosinski_1997_LFMdetails";3;120;"Water";;"100X";"Unspecified";;0;"N/A"
56;"Lenz_1994_sections_PV_GAD67_neurons_quantitation_LFMdetails";2;52;"Unspecified";;"25X";"Unspecified";;0;"N/A"
57;"Lolova_1995_LFMdetails";2;116;"Unspecified";;"25X";"Unspecified";;0;"N/A"
58;"Löscher_2006_ICH_LFMdetails";2;52;"Unspecified";;"Unspecified";"400X";;0;"N/A"
59;"Löscher_2006_ISH_LFMdetails";2;127;"Unspecified";;"Unspecified";"400X";;0;"N/A"
61;"McArthur_2016_LFMdetails";1;129;"Unspecified";;"10X";"15X";;0;"N/A"
62;"McNeill_1990_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
63;"Meade_2000_LFMdetails";2;51;"Unspecified";;"Unspecified";"250X";;0;"N/A"
64;"Mori_2017_sections_TH_cells_quantitation_LFMdetails";2;136;"Unspecified";;"50X";"Unspecified";;0;"N/A"
65;"Nair-Roberts_2008_LFMdetails";2;141;"Unspecified";;"40X";"Unspecified";;0;"N/A"
66;"O'Kusky_1999_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
67;"Ong_2002_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
68;"Østergaard_1995_LFMdetails";2;147;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
69;"Parish_2001_sections_snc_LFMdetails";2;130;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
70;"Parish_2001_sections_str_LFMdetails";2;150;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
71;"Rabchevsky_1998_LFMdetails";2;52;"Unspecified";;"Unspecified";"160X";;0;"N/A"
72;"San Jose_2001_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
73;"Richards_2007_LFMdetails";1;161;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
74;"Savchenko_2000_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
75;"Shen_2008_LFMdetails";3;163;"Oil";"1,4";"63X";"Unspecified";"0,005";1;"1"
76;"Sturrock_1991_LFMdetails";2;52;"Unspecified";;"Unspecified";"250X";;0;"N/A"
77;"Talavera_1997_LFMdetails";2;156;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
78;"Vadasz_2007_LFMdetails1";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
79;"Vadasz_2007_LFMdetails2";2;52;"Unspecified";;"Unspecified";"400X";;0;"N/A"
80;"Vidyadhara_2016_LFMdetails";2;52;"Unspecified";;"100X";"Unspecified";;0;"N/A"
