"ID";"Quantitation_name";"Derived_data_record";"Region_zone";"Cellular_target_region";"Cellular_target_ID";"Estimate_relevance";"Region_record";"Section_sampling";"Sampling_fraction";"Subsectional_sampling";"Final_estimate_basis";"Original_extent";"Number";"Number_SD";"Density";"Density_unit";"Density_SD";"Volumetric_density";"Software";"Stereology_details_record";"Estimate_extraction"
55;"Ariano_1997_sections_GluR1double_GluR1_mRNA_neuron_quantitation_1_cpu";58;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"249";"mm^2";"50";9960;;;"From text or table"
56;"Ariano_1997_sections_GluR1_NMDAR1_GluR1_mRNA_neuron_quantitation_4_cpu";66;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"216";"mm^2";"17";8640;;;"From text or table"
57;"Ariano_1997_sections_GluR1_D1A_GluR1_mRNA_neuron_quantitation_2_cpu";64;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"243";"mm^2";"20";9720;;;"From text or table"
58;"Ariano_1997_sections_GluR1_D2_GluR1_mRNA_neuron_quantitation_3_cpu";65;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"212";"mm^2";"50";8480;;;"From text or table"
59;"Ariano_1997_sections_D1A_NMDAR1_D1A_mRNA_neuron_quantitation_1_cpu";71;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"191";"mm^2";"38";7640;;;"From text or table"
60;"Ariano_1997_sections_D1A_GluR1_D1A_mRNA_neuron_quantitation_2_cpu";72;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"166";"mm^2";"34";6640;;;"From text or table"
61;"Ariano_1997_sections_D1A_D2_D1A_mRNA_neuron_quantitation_3_cpu";73;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"237";"mm^2";"38";9480;;;"From text or table"
62;"Ariano_1997_sections_D2_NMDAR1_D2_mRNA_neuron_quantitation_1_cpu";74;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"237";"mm^2";"35";9480;;;"From text or table"
63;"Ariano_1997_sections_D2_GluR1_D2_mRNA_neuron_quantitation_2_cpu";75;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"123";"mm^2";"16";4920;;;"From text or table"
64;"Ariano_1997_sections_D2_D1A_D2_mRNA_neuron_quantitation_3";76;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"221";"mm^2";"42";8840;;;"From text or table"
65;"Ariano_1997_sections_GluR1double_GluR1_neuron_quantitation_1_cpu";57;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"12";"mm^2";"4";480;;;"From text or table"
66;"Ariano_1997_sections_GluR1_NMDAR1_NMDAR1_neuron_quantitation_cpu";59;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"183";"mm^2";"24";7320;;;"From text or table"
67;"Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1_cpu";60;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"208";"mm^2";"18";8320;;;"From text or table"
68;"Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1_cpu";61;;;;;50;"Preferential";;"Subset, biased";"Density per defined area / volume";"N/A";;;"223";"mm^2";"39";8920;;;"From text or table"
