"ID";"Region_zone";"Ontological_identifier"
1;"Striosome";"UBERON:0027371"
2;"Matrix";"UBERON:0027368"
3;"Striosome, dorsolateral";
4;"Striosome, dorsomedial";
5;"Striosome, ventrolateral";
6;"Striosome, ventromedial";
7;"Matrix, dorsolateral";
8;"Matrix, dorsomedial";
9;"Matrix, ventrolateral";
10;"Matrix, ventromedial";
11;"Dorsolateral";
12;"Ventromedial";
13;"Dorsomedial";
14;"Ventrolateral";
15;"Rostral";
16;"Caudal";
17;"Ventral";
18;"Dorsal";
19;"Lateral";
20;"Medial";
23;"Intermediate ventral";
24;"Intermediate dorsal";
25;"Intermediate";
26;"Central";
27;"Core region";
28;"Matrix, intermediate medial";
29;"Matrix, intermediate lateral";
30;"Striosome, intermediate medial";
31;"Striosome, intermediate lateral";
33;"Rostroventral";
34;"Centromedial";
35;"Caudomedial";
36;"Rostrodorsal";
37;"Rostromedial";
38;"Rostrolateral";
39;"Matrix, rostral intermediate";
40;"Striosome, rostral intermediate";
41;"Rostral dorsolateral";
42;"Striosome, rostral dorsolateral";
43;"Striosome, rostral dorsomedial";
44;"Striosome, rostral ventrolateral";
45;"Striosome, rostral ventromedial";
46;"Matrix, rostral dorsolateral";
47;"Matrix, rostral dorsomedial";
48;"Matrix, rostral ventrolateral";
49;"Matrix, rostral ventromedial";
50;"Striosome, rostral";
51;"Matrix, rostral";
52;"Central ventromedial";
53;"Central dorsolateral";
54;"Central dorsomedial";
55;"Central ventrolateral";
56;"Centrolateral";
57;"Central intermediate";
58;"Shell region";
59;"Rostral dorsomedial";
60;"Rostral intermediate";
61;"Medial core region";
62;"Intermediate lateral";
63;"Core region, caudal";
64;"Core region, rostral";
65;"Striosome, rostral intermediate lateral";
66;"Striosome, rostral intermediate medial";
67;"Matrix, rostral intermediate lateral";
68;"Matrix, rostral intermediate medial";
69;"Rostral intermediate dorsal";
70;"Rostral ventrolateral";
71;"Rostral ventromedial";
72;"Caudodorsal";
73;"Caudoventral";
74;"Caudal intermediate";
75;"Intermediate dorsolateral";
76;"Intermediate dorsomedial";
77;"Intermediate ventrolateral";
78;"Intermediate ventromedial";
79;"Rostral intermediate ventral";
80;"Caudal dorsolateral";
81;"Core region, central";
82;"Shell region, central";
