"ID";"Specimen";"Reporter";"Order";"Concentration";"Time";"Temperature"
35;76;34;"Primary";;;
36;76;143;"Primary";;;
37;77;143;"Primary";;;
38;77;33;"Primary";;;
39;78;143;"Primary";;;
40;78;31;"Primary";;;
41;76;36;"Secondary";;;
42;77;36;"Secondary";;;
43;78;36;"Secondary";;;
44;79;143;"Primary";;;
45;79;32;"Primary";;;
46;79;36;"Secondary";;;
47;80;141;"Primary";;;
48;80;33;"Primary";;;
49;80;36;"Secondary";;;
50;81;141;"Primary";;;
51;81;34;"Primary";;;
52;81;36;"Secondary";;;
53;82;141;"Primary";;;
54;82;32;"Primary";;;
55;82;36;"Secondary";;;
56;83;142;"Primary";;;
57;83;33;"Primary";;;
58;83;36;"Secondary";;;
59;84;142;"Primary";;;
60;84;34;"Primary";;;
61;84;36;"Secondary";;;
62;85;142;"Primary";;;
63;85;31;"Primary";;;
64;85;36;"Secondary";;;
65;93;37;"Primary";;;
66;96;38;"Primary";;"36";4
67;96;39;"Secondary";"1:50";"1";
68;98;147;"Primary";;;
69;98;40;"Secondary";"1:1000";"12";
70;99;148;"Primary";;;
71;99;40;"Secondary";"1:1000";"12";
72;101;41;"Primary";"1:3000";"12";4
73;101;167;"Secondary";"1:100";;
75;104;44;"Primary";"1:2000";;
76;105;45;"Secondary";"1:4000";;
77;111;149;"Primary";"10^6 c.p.m";"12";55
78;111;152;"Primary";"20 ng";"12";55
79;112;150;"Primary";"10^6 c.p.m";"12";55
80;112;152;"Primary";"20 ng";"12";55
81;113;151;"Primary";"1,5 * 10^6 c.p.m";"12";55
82;113;152;"Primary";"20 ng";"12";55
83;110;146;"Primary";;"12";55
84;110;152;"Primary";"20 ng";"12";55
85;111;46;"Secondary";"1:1000";"5";21
86;112;46;"Secondary";"1:1000";"5";21
87;113;46;"Secondary";"1:1000";"5";21
88;110;46;"Secondary";"1:1000";"5";21
93;128;51;"Primary";"1:2000-4000";"36";21
94;128;52;"Secondary";"1:100";"0,5";
95;131;53;"Primary";"1:2000";"12";21
96;132;54;"Primary";"1:6000";"12";21
