"ID";"Phenotype"
1;"Dopamine"
2;"Dopamine 1 receptor"
3;"Dopamine 2 receptor"
4;"Parvalbumin"
5;"Calbindin"
6;"Calretinin"
7;"Vasopressin"
8;"Somatostatin"
9;"Nitric oxide synthase"
10;"Neuropeptide Y"
14;"Tyrosine hydroxylase"
15;"Glutamate receptor 1"
16;"Glutamate receptor 1 mRNA"
17;"NMDA receptor mRNA"
18;"Dopamine 1 receptor mRNA"
19;"Dopamine 2 receptor mRNA"
22;"Choline acetyltransferase"
23;"Enkephalin mRNA"
24;"Dynorphin mRNA"
25;"Glutamic acid decarboxylase"
26;"Met enkephalin"
27;"Substance P"
29;"Pre-proenkephalin A mRNA"
30;"Dopamine receptor 3 mRNA"
31;"Vesicular monoamine transporter-2"
32;"Phosphate activated glutaminase"
34;"NADPHd"
35;"Huntingtin"
36;"GAD67 mRNA"
37;"Parvalbumin mRNA"
39;"Basic fibroblast growth factor"
40;"GABA"
41;"GAD65 mRNA"
42;"Glutamine synthetase"
43;"GAD mRNA"
44;"Apolipoprotein D"
45;"Cannabinoid receptor 1"
46;"GFAP"
47;"CD11b"
48;"Lipocortin 1"
49;"Phosphotyrosine"
50;"S100-beta"
51;"Muscarinergic receptor 2"
52;"Kappa opioid receptor"
53;"PSA-NCAM"
54;"VGLUT1"
55;"Pre-proenkephalin mRNA"
56;"Pre-protachykinin mRNA"
59;"Pre-prosomatostatin mRNA"
60;"VGLUT2"
61;"VGAT"
62;"XPA"
63;"XPB"
64;"DARPP-32"
65;"Enkephalin"
66;"Glucocorticoid receptor"
67;"C-fos"
68;"M2 receptor / ChAT"
69;"High frequency tonic firing"
72;"VIP"
73;"Cholecystokinin"
74;"Dopaminergic neuron"
75;"Substance P mRNA"
76;"Diacylglycerol lipase a"
77;"Dopamine transporter"
78;"Rat antibody"
79;"Mouse antibody"
80;"Rabbit antibody"
81;"Digoxigenin"
82;"nNOS"
83;"Cerebellin1"
84;"Sheep antibody"
85;"Goat antibody"
86;"Glutamate"
87;"Guinea pig antibody"
88;"PSD-95"
89;"Somatostatin mRNA"
90;"Neuropeptide Y mRNA"
91;"S100"
92;"Acidic fibroblast growth factor"
93;"Iba-1"
94;"GFP"
95;"OX-42"
96;"F4/80"
97;"GAD67"
98;"Oligodendrocyte transcription factor 2"
99;"Chicken antibody"
100;"Vicia Villosa Agglutinin"
101;"Biotin"
102;"Nerve growth factor receptor"
103;"5-HT"
104;"Neuronal nuclei"
105;"p75 neurotrophin receptor"
106;"TrkA"
107;"Unspecified antibody"
108;"Mu opioid receptor"
109;"NMDA receptor 1"
110;"Proenkephalin"
111;"Lucifer yellow"
112;"GAP-43"
