"ID";"Specimen_ID";"Section_thickness";"Sectioning_instrument";"Section_orientation"
41;82;"10";;"Unspecified"
42;81;"10";;"Unspecified"
43;80;"10";;"Unspecified"
44;85;"10";;"Unspecified"
45;84;"10";;"Unspecified"
46;83;"10";;"Unspecified"
47;78;"10";;"Unspecified"
48;79;"10";;"Unspecified"
49;77;"10";;"Unspecified"
50;76;"10";;"Unspecified"
51;88;"10";;"Coronal"
52;89;"10";;"Coronal"
54;92;"6";;"Coronal"
55;96;"60";1;"Coronal"
56;99;"30";2;"Coronal"
57;98;"30";2;"Coronal"
58;101;"40";2;"Unspecified"
60;104;"17";3;"Coronal"
61;106;"17";3;"Coronal"
62;105;"17";3;"Coronal"
63;111;"12";;"Coronal"
64;112;"12";;"Coronal"
65;113;"12";;"Coronal"
66;110;"12";;"Coronal"
67;117;"300";1;"Non-standard"
68;116;"300";1;"Non-standard"
69;120;"250";1;"Coronal"
70;121;"250";1;"Coronal"
73;128;"30";3;"Coronal"
74;135;"30";3;"Coronal"
75;137;"30";3;"Coronal"
77;138;"30";3;"Coronal"
78;140;"30";3;"Coronal"
79;136;"30";3;"Coronal"
80;139;"30";3;"Coronal"
81;147;"50";2;"Coronal"
82;146;"50";2;"Coronal"
83;145;"50";2;"Coronal"
84;159;"30";1;"Coronal"
85;169;"50";1;"Coronal"
86;171;;4;
87;168;"50";3;"Coronal"
88;173;"40";;"Coronal"
89;175;"10";2;
90;182;"30";3;"Coronal"
91;183;"30";3;"Coronal"
92;180;"30";3;"Coronal"
93;181;"30";3;"Coronal"
94;187;"30";3;"Coronal"
95;185;"30";3;"Coronal"
96;186;"30";3;"Coronal"
97;190;"20";2;"Coronal"
98;191;"20";2;"Coronal"
99;198;"30";1;"Coronal"
100;199;"30";1;"Coronal"
101;200;"30";1;"Coronal"
102;205;;3;"Coronal"
104;211;"40";5;"Coronal"
105;209;"40";5;"Coronal"
106;210;"40";5;"Coronal"
107;208;"40";5;"Coronal"
108;214;"50";1;"Coronal"
109;215;"0,06";4;
110;217;"35";2;"Coronal"
111;224;"30";;"Coronal"
112;226;"30";;"Coronal"
113;227;"30";;"Coronal"
114;228;;4;
115;230;"100";1;
116;234;"50";1;"Coronal"
117;235;"50";1;"Coronal"
118;236;"30";2;
119;239;"50";1;"Coronal"
120;238;"50";1;"Coronal"
121;237;"50";1;"Coronal"
122;241;"16";;"Coronal"
123;242;"50";;"Coronal"
124;244;"50";;"Coronal"
125;245;;1;"Coronal"
126;248;"50";1;"Coronal"
127;249;;4;
128;246;"0,05";4;
129;251;"30";;"Coronal"
130;253;"40";1;"Coronal"
131;259;"10";;"Coronal"
132;261;"10";;"Coronal"
133;262;"10";;"Coronal"
134;260;"10";;"Coronal"
135;264;"20";2;"Coronal"
136;267;"10";;"Coronal"
137;266;"10";;"Coronal"
138;268;"10";;"Coronal"
139;269;"150";1;"Coronal"
140;272;"50";1;"Sagittal"
141;276;"50";1;"Sagittal"
142;278;"6";;"Sagittal"
143;279;"35";1;"Coronal"
144;286;"50";1;"Coronal"
145;287;"0,07";4;
146;296;"35";5;"Coronal"
147;297;"35";5;"Coronal"
148;298;"50";5;"Coronal"
149;299;"50";5;"Coronal"
150;302;"40";;"Coronal"
151;303;"40";;"Coronal"
152;304;"60";1;
153;306;;;
154;307;"20";2;"Coronal"
155;309;"50";1;"Coronal"
156;313;"80";3;"Coronal"
157;314;"80";3;"Coronal"
158;315;"0,07";4;
159;316;"0,07";4;
160;322;"17,5";3;"Coronal"
161;318;"17,5";3;"Coronal"
162;321;"17,5";3;"Coronal"
163;324;"30";3;"Coronal"
164;327;"50";1;"Coronal"
165;329;"50";1;"Coronal"
166;330;"50";1;"Coronal"
167;328;"50";1;"Coronal"
168;332;"40";3;"Coronal"
169;334;"10";;"Coronal"
170;336;"40";2;"Coronal"
171;338;"20";;"Coronal"
172;340;"10";;"Coronal"
173;342;"40";5;"Coronal"
174;344;"40";5;"Coronal"
175;353;"5";;"Coronal"
176;354;"5";;"Coronal"
177;355;"5";;"Coronal"
178;356;"5";;"Coronal"
179;357;"5";;"Coronal"
180;358;"5";;"Coronal"
181;359;"5";;"Coronal"
182;360;"5";;"Coronal"
183;374;"30";5;"Unspecified"
184;375;"30";5;"Unspecified"
185;376;"30";5;"Unspecified"
186;377;"30";5;"Unspecified"
187;378;"30";5;"Unspecified"
188;379;"30";5;"Unspecified"
189;382;"50";1;"Sagittal"
190;384;"0,08";4;
191;387;"10";;"Coronal"
192;388;"10";;"Coronal"
193;391;;;"Coronal"
194;392;;;"Coronal"
195;395;"50";5;"Coronal"
196;396;"50";5;"Coronal"
197;398;"40";2;
198;401;"60";1;
199;403;"25";2;"Sagittal"
200;404;"60";6;"Coronal"
201;406;"60";6;"Coronal"
202;407;"60";6;"Coronal"
203;405;"60";6;"Coronal"
204;410;"60";6;"Coronal"
205;409;"60";6;"Coronal"
206;408;"60";6;"Coronal"
207;412;"150";1;
208;413;"100";;"Coronal"
209;414;"100";;"Coronal"
210;416;"50";;"Coronal"
211;419;"50";1;"Non-standard"
212;418;"50";1;"Non-standard"
213;421;"0,05";4;
214;423;"40";2;"Coronal"
215;425;"5";;"Coronal"
216;427;"30";;"Coronal"
217;430;"40";2;"Coronal"
218;431;"50";1;"Coronal"
219;434;"60";2;"Coronal"
220;435;"60";2;"Coronal"
221;439;"40";2;"Coronal"
222;438;"40";2;"Coronal"
223;442;"40";2;"Coronal"
224;445;"25";2;"Coronal"
225;447;"40";2;"Coronal"
226;449;"50";;
227;456;"60";;"Coronal"
228;460;"30";2;"Coronal"
229;461;"30";2;"Coronal"
230;462;"30";2;"Coronal"
231;466;"30";2;"Coronal"
232;465;"30";2;"Coronal"
233;467;"50";;"Coronal"
234;470;"50";3;"Coronal"
235;476;"30";2;"Coronal"
236;477;"30";2;"Coronal"
237;476;"30";;"Coronal"
238;485;"7";;"Coronal"
239;487;"40";2;"Coronal"
240;488;"40";2;"Coronal"
241;492;"55";3;"Coronal"
242;494;"55";3;"Coronal"
243;499;"40";2;"Coronal"
244;498;"40";2;"Coronal"
245;502;"30";;"Coronal"
246;501;"30";;"Coronal"
247;505;"40";5;"Coronal"
248;507;"40";3;"Coronal"
249;509;"40";3;
250;512;"50";3;"Sagittal"
251;516;"30";;"Coronal"
252;515;"30";;"Coronal"
253;521;"40";2;"Coronal"
254;522;"40";2;"Coronal"
255;523;"40";2;"Coronal"
256;524;"40";2;"Coronal"
257;528;"40";3;"Coronal"
258;529;"40";3;"Coronal"
259;530;"40";3;"Coronal"
260;532;"60";2;
261;536;"40";;"Coronal"
262;534;"10";;
265;539;"40";;"Coronal"
266;542;"40";2;
267;543;"40";2;
268;549;"40";2;"Coronal"
269;548;"40";2;"Coronal"
270;553;"40";3;"Coronal"
271;554;"40";3;"Coronal"
272;555;"40";3;"Coronal"
273;561;"30";;"Coronal"
274;563;"30";2;"Coronal"
275;568;"40";;"Coronal"
276;569;"40";;"Coronal"
277;570;"40";;"Coronal"
279;573;"40";;"Coronal"
280;576;"40";2;"Coronal"
281;578;"40";;"Coronal"
282;580;"35";2;"Coronal"
283;583;"35";;"Coronal"
284;584;"35";;"Coronal"
285;582;"35";;"Coronal"
286;591;"50";1;"Coronal"
288;594;"5";;"Coronal"
289;596;"40";5;"Coronal"
290;598;"40";5;"Horizontal"
291;600;"40";5;"Horizontal"
292;602;"40";5;"Horizontal"
293;605;"30";2;"Coronal"
294;606;"30";2;"Coronal"
295;611;"40";3;"Coronal"
296;612;"30";3;"Coronal"
297;617;"20";2;"Coronal"
298;620;"5";;
299;621;"5";;
300;632;"5";;
301;633;"5";;
302;634;"5";;
303;635;"5";;
304;637;"50";1;"Coronal"
305;642;"35";3;"Coronal"
306;641;"35";3;"Coronal"
307;646;"200";1;
308;652;"24";;"Coronal"
309;653;"24";;"Coronal"
310;656;"30";3;"Coronal"
311;658;"40";3;"Sagittal"
312;662;;;
313;664;"60";2;"Coronal"
314;665;"60";2;"Coronal"
315;666;"60";2;"Coronal"
316;669;"30";1;"Coronal"
317;673;"300";;
318;671;;;"Sagittal"
319;674;"300";;
320;677;"40";3;"Coronal"
322;684;"40";3;"Coronal"
323;689;"40";3;"Sagittal"
324;692;"10";;"Coronal"
325;695;"30";3;"Coronal"
326;699;"50";1;"Coronal"
327;698;"50";1;"Coronal"
328;702;"25";3;"Coronal"
329;703;"25";3;"Coronal"
330;707;"40";2;"Coronal"
331;710;"40";2;"Coronal"
332;711;"40";2;"Coronal"
333;713;"60";2;"Coronal"
334;715;"60";2;"Coronal"
335;714;"60";2;"Coronal"
336;716;"30";2;"Coronal"
337;720;"55";3;"Coronal"
338;724;"45";2;"Coronal"
339;725;"14";2;
340;728;"30";3;
341;730;"30";2;"Coronal"
342;733;"30";2;"Coronal"
343;735;"40";2;"Coronal"
344;737;"30";3;"Coronal"
345;742;"100";1;"Horizontal"
346;744;"2000";;"Coronal"
347;745;"1";;
348;746;"0,1";;
349;749;"17";3;"Coronal"
350;750;"17";3;"Coronal"
351;751;"17";3;"Coronal"
352;753;"150";1;"Coronal"
353;756;"100";2;"Coronal"
354;761;"30";1;"Coronal"
355;762;"30";1;"Coronal"
356;767;"35";2;"Coronal"
357;771;"7";;"Coronal"
358;772;"7";;"Coronal"
359;773;"7";;"Coronal"
360;776;"40";3;"Coronal"
361;777;"40";3;"Coronal"
362;782;"30";3;"Coronal"
363;785;"40";2;"Coronal"
368;795;"30";2;"Coronal"
369;798;"30";3;"Coronal"
370;799;"30";3;"Coronal"
371;800;"30";3;"Coronal"
372;803;"50";2;"Coronal"
373;804;"50";2;"Coronal"
374;802;"50";2;"Coronal"
375;808;"30";;"Coronal"
376;810;"30";;"Coronal"
377;807;"30";;"Coronal"
378;806;"30";;"Coronal"
379;809;"30";;"Coronal"
380;817;"30";;"Coronal"
381;821;"50";1;"Coronal"
382;820;"50";1;"Coronal"
383;823;"50";1;"Coronal"
384;827;"200";1;"Coronal"
385;828;"15";2;"Coronal"
386;833;"1";4;"Unspecified"
387;837;"10";;"Horizontal"
388;838;"10";;"Horizontal"
389;839;"10";;"Horizontal"
390;841;"50";1;"Coronal"
391;843;"0,07";4;"Unspecified"
392;844;"50";1;"Coronal"
393;848;"30";5;"Coronal"
394;849;"30";5;"Coronal"
395;853;"120";;
396;854;"30";;"Coronal"
397;855;"30";;"Coronal"
398;858;"30";;"Coronal"
399;857;"30";;"Coronal"
400;856;"30";;"Coronal"
401;861;"40";5;"Coronal"
402;882;"40";2;"Coronal"
403;883;"40";2;"Coronal"
404;884;"40";2;"Coronal"
405;885;"40";2;"Coronal"
406;886;"40";2;"Coronal"
407;887;"40";2;"Coronal"
408;888;"40";2;"Coronal"
409;889;"40";2;"Coronal"
410;890;"40";2;"Coronal"
411;891;"40";2;"Coronal"
412;892;"40";2;"Coronal"
413;893;"40";2;"Coronal"
414;894;"40";2;"Coronal"
415;895;"40";2;"Coronal"
416;896;"40";2;"Coronal"
417;897;"40";2;"Coronal"
418;898;"40";2;"Coronal"
419;899;"40";2;"Coronal"
420;900;"40";2;"Coronal"
421;901;"40";2;"Coronal"
422;131;"20";3;"Coronal"
423;133;"20";3;"Coronal"
424;132;"20";3;"Coronal"
425;925;;3;"Coronal"
426;924;;3;"Coronal"
427;929;"200";;
428;931;"70";1;"Coronal"
429;934;"40";;"Coronal"
430;936;"150";1;"Coronal"
431;940;"40";2;"Coronal"
432;941;"40";2;"Coronal"
433;947;"40";3;"Coronal"
434;948;"40";3;"Coronal"
435;949;"40";3;"Coronal"
436;946;"40";3;"Coronal"
437;951;"20";2;"Coronal"
438;954;"25";2;"Coronal"
439;955;"25";2;"Coronal"
440;953;"25";2;"Coronal"
441;957;"35";2;"Coronal"
442;960;"40";2;"Coronal"
443;961;"40";2;"Coronal"
444;963;"300";1;"Coronal"
445;965;"40";3;"Coronal"
446;969;"30";;
447;970;"30";2;"Coronal"
448;973;"60";5;"Coronal"
449;975;;;"Coronal"
450;977;"0,09";4;
451;981;"0,09";4;
452;979;;;"Coronal"
453;985;"6";5;"Sagittal"
454;988;"6";5;"Coronal"
455;989;"6";5;"Coronal"
456;991;"45";5;"Coronal"
457;992;"40";1;"Sagittal"
458;994;"14";2;"Coronal"
459;997;"10";2;"Coronal"
460;998;"10";2;"Coronal"
461;1003;"40";3;"Coronal"
462;1001;"40";3;"Coronal"
463;1000;"40";3;"Coronal"
464;1004;"40";3;"Coronal"
465;1005;"40";3;"Coronal"
466;1002;"40";3;"Coronal"
467;1007;;3;"Coronal"
468;1009;;3;"Coronal"
469;1011;"30";;"Coronal"
470;1013;"30";;"Coronal"
471;1017;"40";2;"Coronal"
472;1016;"40";2;"Coronal"
473;1015;"40";2;"Coronal"
474;1018;"40";3;"Coronal"
475;1021;;1;"Unspecified"
476;1023;"40";3;"Coronal"
477;1026;"50";3;"Coronal"
478;1025;"50";3;"Coronal"
479;1029;;4;
480;1031;"40";1;"Coronal"
481;1033;;4;
482;1034;;4;
483;1032;"40";1;"Coronal"
484;1036;"50";2;"Coronal"
485;1046;"30";3;"Coronal"
486;1047;"30";3;"Coronal"
487;1048;"30";3;"Coronal"
488;1049;"30";3;"Coronal"
489;1050;"30";3;"Coronal"
490;1051;"30";3;"Coronal"
491;1052;"30";3;"Coronal"
492;1053;"30";3;"Coronal"
493;1054;"30";3;"Coronal"
494;1056;"8";;"Coronal"
495;1058;"50";3;"Coronal"
496;1060;"50";3;"Coronal"
497;1059;"50";3;"Coronal"
498;1062;"50";3;"Coronal"
499;1064;"50";1;"Coronal"
500;1066;"40";5;"Coronal"
501;1068;"30";2;"Coronal"
502;1071;"24";5;"Horizontal"
503;1072;"24";5;"Horizontal"
504;1074;"40";1;"Coronal"
505;1076;;4;
506;1078;"40";1;"Coronal"
507;1080;;4;
508;1084;;;"Unspecified"
509;1085;"60";2;"Coronal"
510;1088;"35";1;
511;1089;;4;
512;1091;"50";3;"Coronal"
513;1093;"30";1;"Coronal"
514;1095;"10";2;"Coronal"
515;1099;"40";3;"Coronal"
516;1098;"40";3;"Coronal"
517;1101;;1;"Coronal"
518;1103;"75";1;"Coronal"
519;1108;;1;"Sagittal"
520;1109;;1;"Sagittal"
521;1110;;1;"Sagittal"
522;1111;;1;"Sagittal"
523;1112;;4;
524;1113;;4;
525;1114;;4;
526;1115;;4;
527;1117;"10";2;"Coronal"
528;1120;"40";;"Coronal"
529;1122;"40";;"Coronal"
530;1121;"40";;"Coronal"
531;1119;"40";;"Coronal"
532;1127;"200";1;"Coronal"
533;1126;"200";1;"Coronal"
534;1128;"200";1;"Coronal"
535;1130;"20";2;
536;1133;"0,08";4;
537;1134;"100";;"Coronal"
538;1139;"4";;"Coronal"
539;1140;"4";;"Coronal"
540;1142;"10";3;"Coronal"
541;1141;"10";3;"Coronal"
542;1144;"10";3;"Coronal"
543;1143;"10";3;"Coronal"
544;1147;"20";2;"Coronal"
545;1148;"20";2;"Coronal"
546;1150;"20";2;"Coronal"
547;1149;"20";2;"Coronal"
548;1153;"30";3;"Coronal"
549;1154;"30";3;"Coronal"
550;1155;"30";3;"Coronal"
551;1160;"13";2;"Coronal"
552;1161;"13";2;"Coronal"
553;1162;"13";2;"Coronal"
554;1163;"13";2;"Coronal"
555;1166;"0,5";4;
556;1167;"0,07";4;
557;1169;"50";1;
558;1170;"50";1;
559;1171;;4;
560;1172;;4;
561;1174;"40";1;"Coronal"
562;1175;"40";1;"Coronal"
563;150;"100";1;"Coronal"
564;152;"100";1;"Coronal"
565;151;"100";1;"Coronal"
