"ID";"Specimen";"Visualization_medium";"Medium_concentration";"Medium_volume";"Introduction_timing";"Introduction_type"
1;120;82;;;"In vitro";"Ballistic delivery"
2;121;82;;;"In vitro";"Ballistic delivery"
3;270;82;;;"In vitro";"Ballistic delivery"
4;381;180;"4%";;"In vivo";"Intracellular injection"
5;400;186;;;"In vivo";"Intracellular injection"
6;417;186;;;"In vivo";"Intracellular injection"
7;615;229;"40µg/2µl";;"In vivo";"Intracranial injection"
8;660;236;"2-4 * 10^2 units";"2 µl";"In vivo";"Viral infection"
9;669;240;"10% w/v";"0,1-0,4 µl";"In vivo";"Intracranial injection"
10;673;243;"0.5 mM";;"In vitro";"Intracellular injection"
11;671;243;;;"In vitro";"Intracellular injection"
12;674;243;"0.5 mM";;"In vitro";"Intracellular injection"
13;687;236;"5-6 * 10^2 units";"15 µl";"In vivo";"Viral infection"
14;700;82;;"11 µl";"In vivo";"Intracranial injection"
15;929;82;"3mg/100µl";;"In vitro";
16;1107;180;"3-5%";;"In vivo";"Iontoporation"
17;1104;180;"3-5%";;"In vivo";"Iontoporation"
18;1105;180;"3-5%";;"In vivo";"Iontoporation"
19;1106;180;"3-5%";;"In vivo";"Iontoporation"
20;1126;305;"8%";;"In vitro";"Intracellular injection"
21;1127;305;"8%";;"In vitro";"Intracellular injection"
22;1128;305;"8%";;"In vitro";"Intracellular injection"
