"ID";"Software_name";"Software_RRID"
1;"Neurolucida";"RRID:SCR_001775"
2;"Amira";"RRID:SCR_014305"
3;"Catmaid";"RRID:SCR_006278"
4;"Eutectic";"RRID:SCR_008062"
5;"Imaris";"RRID:SCR_007370"
6;"Janelia workstation";"RRID:SCR_014302"
7;"Knossos";"RRID:SCR_003582"
8;"Neuromantic";"RRID:SCR_013597"
9;"NeuronJ";"RRID:SCR_002074"
10;"NeuronStudio";"RRID:SCR_013798"
11;"Neuron Morpho";"RRID:SCR_007270"
12;"ORION";"RRID:SCR_010621"
13;"TREES toolbox";"RRID:SCR_010457"
14;"Vaa3D";"RRID:SCR_002609"
15;"Stereo Investigator";"RRID:SCR_002526"
16;"Olympus Computer Assisted Stereological Toolbox";
17;"ImageJ";"RRID:SCR_003070"
18;"Image Pro+";
19;"HISTO 200";
20;"Volocity";"RRID:SCR_002668"
21;"Mocha image analysis";
22;"Custom";
23;"KS400";
24;"MCID analysis";"RRID:SCR_014278"
25;"Bioquant image analysis";
26;"Quantimet 550";
27;"MetaMorph imaging software";"RRID:SCR_002368"
28;"Analysis MIA";
29;"Histoscan";
30;"IBAS I-II";
31;"Ilastik";"RRID:SCR_015246"
32;"Explora Nova";
33;"GRID";
34;"NewCAST Visiopharm";
35;"Unspecified stereological software";
36;"NeuroZoom";
37;"Sys Image Analysis";
38;"Canvas X";"RRID:SCR_014312"
39;"CAST";
40;"VisioScan";
41;"MAGELLAN";
43;"Axiovision";"RRID:SCR_002677"
44;"NIH Image software";
45;"Nexus 6400";
46;"OpenOffice";
47;"BRS2";
48;"Multiscan";
49;"Biocom";
50;"Quantimet 720";
51;"Stereologer";
