"ID";"Solution_name"
17;"Chloral hydrate"
18;"Paraformaldehyde"
24;"Sodium pentobarbitone"
38;"Dry ice"
39;"Dideoxy-NTP"
40;"Reverse transcriptase"
41;"Equithesin"
42;"Picric acid-formalin"
43;"Buffer solution"
44;"Ethanol"
45;"Paraffin"
46;"Cresyl violet"
47;"Formalin, Bouin's fixative"
49;"Xylene"
50;"Hematoxylin"
51;"Permount"
52;"Unspecified"
53;"Triton X-100"
54;"Normal serum"
55;"DAB-H2O2"
56;"Peroxidase-anti-peroxidase"
57;"Proteinkinase K"
58;"Hydrochloric acid"
59;"Acetylation solution"
60;"RNase"
61;"Dithiothreitol"
62;"NBT/BCIP"
63;"Ketolar"
64;"Sucrose"
65;"O.C.T medium"
66;"2-methylbutane"
67;"ABC"
68;"DAB-nickel"
69;"DPX"
70;"Hydrogen peroxide"
71;"NeuN"
72;"Hoechst"
73;"Isopentane"
74;"Acetylated anhydride"
75;"Kodak BIOMAX film"
76;"K5 emulsion"
77;"Nitroblue/bromo-chloro-indolylphosphate"
78;"Golgi-cox solution"
79;"Ammonium hydroxide"
80;"Photo fixer"
81;"Chloroform-xylene-alcohol"
82;"DiI particles"
83;"Nissl"
84;"Sodium azide"
85;"Hydrogen peroxide-methanol"
86;"Normal serum-triton X-100"
87;"DAB"
88;"Depex"
89;"Formalin"
90;"Sucrose-formalin"
91;"DAB-H2O2-nickel"
92;"Paraformaldehyde-picric acid"
93;"Bovine serum albumin"
94;"DAB-glocuse oxidase"
95;"DAB-nickel-glucose oxidase"
96;"Neutral red"
97;"ExtrAvidin"
98;"Ketamine-xylacine"
99;"Liquid nitrogen"
100;"Cryoprotectant solution"
101;"DAPI"
102;"Hydrogen peroxide-ethanol"
103;"Paraformaldehyde-glutaraldehyde"
104;"Nitroblue tetrazolium"
106;"Nitroblue tetrazolium-NADPH"
107;"XAM"
108;"Ether"
109;"Glutaraldehyde"
110;"Osmium tetroxide"
111;"Propylene oxide"
112;"Durcupan"
113;"Uranyl acetate"
114;"Lead citrate"
115;"Lysine"
116;"Entellan"
117;"Fujihunt film fixer"
118;"Avidin-peroxidase"
119;"Pentobarbital"
120;"Glycerol"
121;"Paraformaldehyde-glutaraldehyde-picric acid"
122;"Blocking solution"
123;"Formamide"
124;"Kodak D19 developer"
125;"Eosin"
126;"Nucleic acid detection kit"
127;"KAISER'S glycerol gelatin"
128;"Sudan Black B"
129;"Vectorset mounting medium"
130;"Gelatin"
131;"Sucrose-glycerol"
133;"Silver enhancement kit"
134;"Acetonitrile"
135;"Isofluorane"
136;"Vectamount"
137;"Ketamine-medetomidine"
138;"Sucrose-ethylene glycol"
139;"RNAse inhibitor"
140;"Tween-20"
141;"Vectashield"
142;"Thionin"
143;"Epon"
144;"CO2"
145;"Methyl green"
146;"Acetone"
147;"Dammar resin"
148;"DAB-cobalt nickel"
149;"DAB-cobalt nickel-H2O2"
150;"Polystyrene mounting medium"
151;"Paraformaldehyde-acrolein"
152;"Sodium borohydride"
153;"Chlorodifluoromethane"
155;"VIP"
156;"Resin"
157;"Bouin's fixative"
158;"Histoclear"
159;"Distilled water"
160;"EDTA"
161;"Aqueous mounting medium"
162;"Toulodine blue"
163;"Prolong"
164;"TMB"
165;"Propylene oxide-resin"
166;"Liquid freon"
167;"Paraformaldehyde-sucrose"
168;"Glycerol-DMSO"
169;"Halothane"
170;"Aspartate"
171;"Kodak fixer"
172;"Sodium pentobarbital-chloral hydrate"
173;"Xylene-phenol-creosote"
174;"Eukitt"
175;"Tribromoethanol"
176;"Luxol fast blue"
177;"Water"
178;"Celloidin"
179;"Ketamine-xylazine-urethane"
180;"Biocytin"
181;"Glycine"
182;"Paraplast-X"
183;"Diazepam-innovar"
184;"Paraformaldehyde-picric acid-sucrose"
185;"Isofluorane-urethane-ketamine-xylazine"
186;"Neurobiotin"
187;"Dry ice-ethanol"
189;"Iodoacetamide"
190;"Tyramide-biotin"
191;"Neuravidin"
192;"Hydro-Matrix water solved mounting medium"
193;"Agarose"
194;"Potassium dichromate"
195;"Silver nitrate"
196;"Fluorescein/streptavidin"
197;"Streptavidin"
198;"Mountex"
199;"Saline"
200;"Roti Histokitt II"
201;"Normal serum-BSA-detergent"
202;"Citrate buffer"
203;"BSA-triton X-100"
204;"Ketamin-lumpun"
205;"Beuthanasia-D"
206;"Haemalaum"
207;"BSA-sodium azide"
208;"Extravidin-peroxidase"
209;"Hypnorm-hypnovel"
210;"Glycolmethacrylate"
211;"Ethanol-Technovit"
212;"Technovit resin"
213;"Technovit resin-hardener"
214;"Protease K"
215;"Ethanol-acetic acid"
217;"Giemsa stain"
218;"Acetic acid"
219;"Citric acid"
220;"Picric acid-formaldehyde"
221;"Sodium periodate"
222;"Methyl-butane"
223;"Hemo-Sol xylene substitute"
224;"Urethane"
225;"Formaldehyde"
226;"Nickel ammonium sulfate"
227;"Ethylene glycol"
228;"Normal serum-BSA"
229;"FluoroGold"
230;"Tianzhu Mudan"
231;"Dimethylbenzene"
232;"Resinine"
233;"X-gal-potassium ferrocyanide-magnesium chloride"
234;"Tris-aminophenol methane-p-cresol-H2O2"
235;"MX"
236;"PalGFP-Sindbis virus"
237;"Formaldehyde-glutaraldehyde"
238;"Phosphorous pentoxide"
239;"Mineral oil"
240;"Evans Blue"
241;"Slicing solution"
242;"Artificial CSF"
243;"Alexa 594"
244;"Streptavidin-peroxidase"
245;"Cobalt chloride"
246;"Ketamine"
247;"Levamisole"
248;"Propidium iodide"
249;"DAB-H2O2-imidazole"
250;"Normal serum-BSA-triton X-100"
251;"Fluoromount-G"
252;"Glycerol gelatin"
253;"Aminoethylcarbazol"
254;"Glycerine"
255;"Isopropanol"
256;"Methylated spirit"
257;"Recording solution"
258;"Gelatine-detergent"
259;"Histochoice"
260;"Nitrotetrazolium blue-NADPHd-triton"
261;"Pentobarbital-chloral hydrate"
262;"Cytoseal-60 mounting medium"
263;"Chloropent"
264;"Ethyl alcohol-acetic acid-chloroform"
265;"Avertin"
266;"Golgi fixative"
267;"X3B"
268;"Safety Mount no. 4"
269;"Hydromount"
270;"Fluoromount"
271;"Avidin"
272;"Biotin"
273;"Ammonium carbonate-one naphthol"
274;"Pyronin B"
275;"Glycerol-ethylene glycol"
276;"Streptavidin-Alexa 568"
277;"Hexanol"
278;"Phenyl hydrazine-normal serum-triton x100"
279;"DAB-imidazole"
280;"Alkalizing solution"
281;"Spurr's epoxy medium"
282;"Buffer-glucose-ascorbic acid"
283;"Methylnoradrenaline"
284;"Potassium permanganate"
285;"Formal saline"
286;"Haematoxylin and eosin"
287;"Schiff's reagent"
288;"Chloroform"
289;"X-ray film"
290;"Kodak NTB2"
291;"Triethanolamine-acetic anhydride"
292;"Ammonium acetate"
293;"Kodak X-ray film"
294;"Amersham LM-1 nuclear emulsion"
295;"Aquaperm mounting media"
296;"Boric acid"
297;"Osmium tetroxide-potassium ferrocyanide"
298;"Epon/Spurr"
299;"Neutral balsam"
300;"D-19"
301;"Ketamine-xylazine-acepromazine"
302;"Kodak NTB3"
303;"Ketamine-rhompun-acetopromazine"
304;"Acetic anhydride"
305;"Lucifer yellow"
306;"Glycol methacrylate-sudan black"
