"ID";"Specimen_ID";"Solution";"Purpose";"Time";"Time_unit";"Temperature"
154;75;38;"Freezing";;;
155;76;18;"Fixation";;;
156;77;18;"Fixation";;;
157;78;18;"Fixation";;;
158;79;18;"Fixation";;;
159;80;18;"Fixation";;;
160;81;18;"Fixation";;;
161;82;18;"Fixation";;;
162;83;18;"Fixation";;;
163;84;18;"Fixation";;;
164;85;18;"Fixation";;;
165;76;39;"Blocking";;;
166;77;39;"Blocking";;;
167;78;39;"Blocking";;;
168;79;39;"Blocking";;;
169;80;39;"Blocking";;;
170;81;39;"Blocking";;;
171;82;39;"Blocking";;;
172;83;39;"Blocking";;;
173;84;39;"Blocking";;;
174;85;39;"Blocking";;;
175;76;40;"Signal amplification";;;
176;77;40;"Signal amplification";;;
177;78;40;"Signal amplification";;;
178;79;40;"Signal amplification";;;
179;80;40;"Signal amplification";;;
180;81;40;"Signal amplification";;;
181;82;40;"Signal amplification";;;
182;83;40;"Signal amplification";;;
183;84;40;"Signal amplification";;;
184;85;40;"Signal amplification";;;
185;86;42;"Fixation";"30";"Minutes";
186;86;43;"Storage";"12";;
187;86;44;"Dehydration";;;
188;86;45;"Embedding";;;
189;87;42;"Fixation";"30";"Minutes";
190;87;43;"Storage";"12";"Hours";
191;87;44;"Dehydration";;;
192;87;45;"Embedding";;;
193;89;46;"General stain";;;
194;88;46;"General stain";;;
195;91;45;"Embedding";;;
196;92;49;"Deparaffinization";;;
197;92;44;"Rehydration";;;
198;92;50;"General stain";;;
199;93;49;"Deparaffinization";;;
200;93;44;"Rehydration";;;
201;93;50;"General stain";;;
202;93;44;"Dehydration";;;
203;93;49;"Clearing";;;
204;94;18;"Fixation";"12";"Hours";"4"
205;96;53;"Permeabilization";"10";"Minutes";
206;96;54;"Blocking";"30";"Minutes";
207;96;55;"Visualization";;;
208;96;56;"Signal amplification";"60";"Minutes";
209;97;18;"Fixation";;;
210;98;57;"Unspecified";"10";"Minutes";
211;98;18;"Fixation";"5";"Minutes";
212;98;58;"Unspecified";"10";"Minutes";
213;98;59;"Unspecified";"10";"Minutes";
214;98;60;"Unspecified";"30";"Minutes";"37"
215;98;61;"Unspecified";;;"55"
217;98;62;"Visualization";;;
218;99;57;"Unspecified";"10";"Minutes";
219;99;18;"Fixation";"5";"Minutes";
220;99;58;"Unspecified";"10";"Minutes";
221;99;59;"Unspecified";"10";"Minutes";
222;99;60;"Unspecified";"30";"Minutes";"37"
223;99;61;"Unspecified";;;"55"
224;99;62;"Visualization";;;
225;100;18;"Fixation";"4";"Hours";"21"
226;100;64;"Cryoprotection";"12";"Hours";"4"
227;100;65;"Embedding";;;
228;100;66;"Freezing";;;
229;101;53;"Permeabilization";"4";"Hours";
230;101;53;"Permeabilization";"12";"Hours";"4
4"
231;101;67;"Signal amplification";;;
232;101;68;"Visualization";;;
233;102;18;"Fixation";"7,5";"Days";
237;104;67;"Signal amplification";;;
240;105;67;"Signal amplification";;;
249;106;71;"General stain";;;
250;106;72;"General stain";;;
251;107;73;"Freezing";;;"-30"
264;110;18;"Fixation";;;
265;110;74;"Acetylation";;;
266;110;44;"Dehydration";;;
267;110;60;"Unspecified";"20";"Minutes";
268;110;44;"Dehydration";;;
270;111;18;"Fixation";;;
271;111;74;"Acetylation";;;
272;111;44;"Dehydration";;;
273;111;60;"Unspecified";"20";"Minutes";
274;111;44;"Dehydration";;;
276;112;18;"Fixation";;;
277;112;74;"Acetylation";;;
278;112;44;"Dehydration";;;
279;112;60;"Unspecified";"20";"Minutes";
280;112;44;"Dehydration";;;
282;113;18;"Fixation";;;
283;113;74;"Acetylation";;;
284;113;44;"Dehydration";;;
285;113;60;"Unspecified";"20";"Minutes";
286;113;44;"Dehydration";;;
288;110;54;"Blocking";;;
289;110;53;"Permeabilization";;;
290;110;76;"Visualization";"3";"Months";
291;110;77;"Visualization";"12";"Hours";"21"
292;111;54;"Blocking";;;
293;111;53;"Permeabilization";;;
294;111;76;"Visualization";"3";"Months";
295;111;77;"Visualization";"12";"Hours";"21"
296;112;54;"Blocking";;;
297;112;53;"Permeabilization";;;
298;112;76;"Visualization";"3";"Months";
299;112;77;"Visualization";"12";"Hours";"21"
300;113;54;"Blocking";;;
301;113;53;"Permeabilization";;;
302;113;76;"Visualization";"3";"Months";
303;113;77;"Visualization";"12";"Hours";"21"
304;114;78;"Staining";"5";"Days";"37"
305;115;78;"Staining";"5";"Days";"37"
306;116;64;"Unspecified";"30";"Minutes";
307;116;44;"Dehydration";"5";"Minutes";
308;116;79;"Unspecified";"30";"Minutes";
309;116;80;"Unspecified";"30";"Minutes";
310;116;44;"Dehydration";"30";"Minutes";
311;116;81;"Unspecified";"10";"Minutes";
312;116;49;"Clearing";"10";"Minutes";
313;117;64;"Unspecified";"30";"Minutes";
314;117;44;"Dehydration";"5";"Minutes";
315;117;79;"Unspecified";;;
316;117;80;"Unspecified";"30";"Minutes";
317;117;81;"Unspecified";"10";"Minutes";
318;117;49;"Clearing";"15";"Minutes";
319;117;44;"Dehydration";"30";"Minutes";
320;120;84;"Storage";"1";"Weeks";"4"
321;120;43;"Storage";"12";"Hours";"4
4"
322;120;83;"General stain";;;
323;121;84;"Storage";"1";"Weeks";"4
4
4"
324;121;43;"Storage";"12";"Hours";"4"
325;121;83;"General stain";;;
339;127;90;"Fixation";"8,5";"Days";
340;128;70;"Blocking";"30";"Minutes";
341;128;86;"Blocking";"30";"Minutes";
342;128;56;"Visualization";"60";"Minutes";
343;128;91;"Visualization";;;
344;129;44;"Dehydration";;;
345;130;92;"Fixation";"12";"Hours";"4"
346;130;64;"Cryoprotection";"72";"Hours";"4"
347;130;;"Freezing";;;"-50"
348;130;;"Storage";;;"-80"
349;131;93;"Blocking";;;
350;131;56;"Signal amplification";;;
351;131;94;"Visualization";"15";"Minutes";
352;132;93;"Blocking";;;
353;132;56;"Signal amplification";;;
354;132;95;"Visualization";"13";"Minutes";
355;133;93;"Blocking";;;
356;133;56;"Signal amplification";;;
357;133;94;"Visualization";"17";"Minutes";
358;131;96;"Counterstaining";;;
359;132;96;"Counterstaining";;;
360;133;96;"Counterstaining";;;
361;134;18;"Fixation";"12";"Hours";
362;134;64;"Cryoprotection";;;
363;135;84;"Storage";;;"4"
364;135;53;"Permeabilization";"60";"Hours";"4"
365;135;85;"Blocking";"20";"Minutes";
366;135;97;"Signal amplification";"3";"Hours";
367;135;55;"Visualization";;;
368;136;84;"Storage";;;"4"
369;136;53;"Permeabilization";"60";"Hours";"4"
370;136;85;"Blocking";"20";"Minutes";
371;136;97;"Signal amplification";"3";"Hours";
372;136;55;"Visualization";;;
373;137;84;"Storage";;;"4"
374;137;53;"Permeabilization";"60";"Hours";"4"
375;137;85;"Blocking";"20";"Minutes";
376;137;97;"Signal amplification";"3";"Hours";
377;137;55;"Visualization";;;
378;138;84;"Storage";;;"4"
379;138;53;"Permeabilization";"60";"Hours";"4
4"
380;138;85;"Blocking";"20";"Minutes";
381;138;97;"Signal amplification";"3";"Hours";
382;138;55;"Visualization";;;
383;139;84;"Storage";;;"4"
384;139;53;"Permeabilization";"60";"Hours";"4"
385;139;85;"Blocking";"20";"Minutes";
386;139;97;"Signal amplification";"3";"Hours";
387;139;55;"Visualization";;;
388;140;84;"Storage";;;"4"
389;140;53;"Permeabilization";"60";"Hours";"4"
390;140;85;"Blocking";"20";"Minutes";
391;140;97;"Signal amplification";"3";"Hours";
392;140;55;"Visualization";;;
393;141;44;"Dehydration";;;
394;141;49;"Clearing";;;
395;142;18;"Fixation";"24";"Hours";
396;142;64;"Dehydration";"48";"Hours";
397;142;66;"Freezing";;;
399;143;100;"Storage";;;
400;143;101;"General stain";"7";"Minutes";
401;144;64;"Cryoprotection";;;
402;145;44;"Unspecified";;;
403;145;102;"Blocking";;;
404;145;54;"Blocking";;;
405;145;67;"Signal amplification";"1";"Hours";
406;145;87;"Visualization";"10";"Minutes";
407;145;55;"Visualization";"5";"Minutes";
408;148;44;"Dehydration";;;
409;148;49;"Dehydration";;;
410;146;44;"Unspecified";;;
411;146;102;"Blocking";;;
412;146;54;"Blocking";;;
413;146;67;"Signal amplification";"1";"Hours";
414;146;87;"Visualization";"10";"Minutes";
415;146;55;"Visualization";"5";"Minutes";
416;147;46;"General stain";;;
417;145;46;"General stain";;;
418;150;53;"Permeabilization";"48";"Hours";"4"
419;150;67;"Signal amplification";"90";"Minutes";
421;151;53;"Permeabilization";"48";"Hours";"4"
422;151;67;"Signal amplification";"90";"Minutes";
423;152;104;"Visualization";"15";"Minutes";
424;152;106;"Visualization";"1";"Hours";"37"
425;153;44;"Dehydration";;;
426;153;49;"Clearing";;;
427;155;109;"Fixation";"40";"Minutes";"4"
428;156;110;"Postfixation";"90";"Minutes";
429;156;44;"Dehydration";;;
430;156;111;"Dehydration";;;
431;156;112;"Embedding";;;
432;157;113;"Counterstaining";;;
433;157;114;"Counterstaining";;;
434;158;18;"Fixation";"18";"Hours";"4"
435;159;115;"Blocking";"15";"Minutes";"21"
436;159;54;"Blocking";"15";"Minutes";"21"
437;159;56;"Visualization";"60";"Minutes";"21"
438;159;55;"Visualization";"6";"Minutes";"21"
439;161;78;"Visualization";"6";"Days";"37"
440;162;78;"Visualization";"10";"Days";"37"
441;163;64;"Unspecified";;;
442;163;44;"Dehydration";"5";"Minutes";
443;163;79;"Unspecified";"30";"Minutes";
444;163;117;"Unspecified";"30";"Minutes";
445;163;81;"Clearing";"10";"Minutes";
446;164;64;"Unspecified";;;
447;164;44;"Dehydration";"25";"Minutes";
448;164;79;"Unspecified";"30";"Minutes";
449;164;81;"Clearing";"10";"Minutes";
450;164;117;"Unspecified";"30";"Minutes";
452;165;89;"Fixation";;;
453;165;45;"Embedding";;;
454;166;118;"Signal amplification";"2";"Hours";
455;166;87;"Visualization";;;
456;166;46;"Counterstaining";;;
457;167;18;"Fixation";"1";"Hours";"21"
458;167;64;"Cryoprotection";"12";"Hours";"4"
459;167;73;"Freezing";;;
460;168;86;"Blocking";"1";"Hours";
461;169;18;"Fixation";"4";"Hours";
462;170;64;"Storage";;;"-80"
463;170;122;"Blocking";"1";"Hours";
464;170;67;"Signal amplification";"1";"Hours";"21"
465;170;87;"Visualization";;;
466;170;110;"Postfixation";;;
467;170;113;"Counterstaining";;;
468;170;112;"Embedding";;;
469;171;114;"Counterstaining";;;
470;172;18;"Fixation";"12";"Hours";
471;172;64;"Unspecified";;;
472;172;;"Freezing";;;"-80"
473;173;83;"General stain";;;
474;175;18;"Fixation";;;
475;175;123;"Fixation";;;
476;175;60;"Unspecified";;;
477;175;53;"Permeabilization";"30";"Minutes";
478;175;76;"Unspecified";;;
479;175;124;"Visualization";"3,5";"Minutes";
480;175;50;"Counterstaining";;;
481;175;125;"Counterstaining";;;
482;178;92;"Fixation";"12";"Hours";"4"
483;178;64;"Unspecified";"2";"Days";"4"
484;179;92;"Fixation";"12";"Hours";"4"
485;179;64;"Unspecified";"2";"Days";"4"
486;180;53;"Permeabilization";"12";"Hours";"4"
487;180;56;"Visualization";;;
488;180;55;"Visualization";;;
489;180;110;"Unspecified";"0,5";"Minutes";
490;181;83;"General stain";;;
491;182;53;"Permeabilization";"12";"Hours";"4"
492;182;56;"Visualization";;;
493;182;55;"Visualization";;;
494;182;110;"Unspecified";"0,5";"Minutes";
495;183;83;"General stain";;;
496;182;93;"Blocking";"48";"Hours";"4"
497;180;93;"Blocking";"48";"Hours";"4"
498;184;64;"Unspecified";"2";"Days";
499;185;58;"Unspecified";;;
500;185;53;"Permeabilization";;;
501;185;57;"Unspecified";;;
502;185;122;"Blocking";"1";"Hours";
503;185;60;"Unspecified";;;
504;185;126;"Unspecified";"5,5";"Hours";
505;185;123;"Fixation";"1";"Hours";
506;186;58;"Unspecified";;;
507;186;53;"Permeabilization";;;
508;186;57;"Unspecified";;;
509;186;123;"Fixation";"1";"Hours";
510;186;122;"Blocking";"1";"Hours";
511;186;60;"Unspecified";;;
512;186;126;"Unspecified";;;
513;187;70;"Blocking";"30";"Minutes";
514;187;122;"Blocking";"60";"Minutes";
515;187;118;"Visualization";"90";"Minutes";
516;187;91;"Visualization";"15";"Minutes";
517;188;18;"Fixation";"23";"Hours";
518;188;64;"Cryoprotection";"72";"Hours";
519;188;38;"Freezing";;;
520;188;;"Storage";;;"-80"
521;189;18;"Fixation";"23";"Hours";
522;189;64;"Cryoprotection";"72";;
523;189;38;"Freezing";;;
524;189;;"Storage";;;"-80"
525;190;54;"Blocking";"1";"Hours";"21"
526;190;86;"Permeabilization";"5";"Minutes";
527;190;128;"General stain";"5";"Minutes";
528;191;54;"Blocking";"1";"Hours";"21"
529;191;86;"Permeabilization";"5";"Minutes";
530;191;128;"General stain";"5";"Minutes";
531;195;18;"Fixation";"2";"Hours";
532;196;18;"Fixation";"2";"Hours";
533;197;18;"Fixation";"2";"Hours";
537;201;46;"General stain";;;
538;202;46;"General stain";;;
539;203;46;"General stain";;;
540;205;53;"Permeabilization";;;
541;205;56;"Visualization";"1";"Hours";"4"
542;205;55;"Visualization";;;
543;205;54;"Blocking";;;
548;207;;"Fixation";"12";"Hours";"4"
549;207;131;"Storage";"24";"Hours";
550;208;56;"Visualization";"1";"Hours";"21"
551;208;53;"Permeabilization";"74";"Hours";
552;208;87;"Visualization";"10";"Minutes";
553;208;55;"Visualization";"10";"Minutes";
554;209;53;"Permeabilization";"45";"Minutes";"37"
555;209;106;"Visualization";"45";"Minutes";"37"
557;210;46;"General stain";;;
558;211;56;"Visualization";"1";"Hours";"21"
559;211;87;"Visualization";"10";"Minutes";
560;211;55;"Visualization";"10";"Minutes";
561;211;53;"Permeabilization";"74";"Hours";
562;213;;"Fixation";"2";"Hours";
563;214;64;"Unspecified";"15";"Minutes";
564;214;64;"Unspecified";"12";"Hours";
565;214;99;"Unspecified";;;
566;214;54;"Blocking";"45";"Minutes";
567;214;110;"Unspecified";"20";"Minutes";"4"
568;214;44;"Dehydration";;;
569;214;134;"Dehydration";;;
570;214;112;"Embedding";;;
571;214;113;"Counterstaining";"15";"Minutes";"4"
572;214;133;"Visualization";;;
573;215;114;"Counterstaining";;;
574;216;18;"Fixation";"12";"Hours";
575;216;64;"Cryoprotection";;;
576;216;;"Freezing";;;"-80"
577;217;67;"Signal amplification";;;
578;217;87;"Visualization";;;
579;218;18;"Fixation";"12";"Hours";"4"
580;219;138;"Cryoprotection";;;
581;219;138;"Storage";;;"-20"
582;220;138;"Cryoprotection";;;
583;220;138;"Storage";;;"-20"
584;219;140;"Permeabilization";;;
585;219;123;"Fixation";"1";"Hours";
586;219;77;"Visualization";"2,5";"Hours";
587;219;67;"Signal amplification";;;
588;219;55;"Visualization";"5";"Minutes";
589;220;140;"Permeabilization";;;
590;220;123;"Fixation";"1";"Hours";
591;220;77;"Visualization";"2,5";"Hours";
592;220;67;"Signal amplification";;;
593;220;55;"Visualization";"5";"Minutes";
594;221;103;"Fixation";"24";"Hours";"4"
595;222;103;"Fixation";"24";"Hours";"4"
596;223;103;"Fixation";"24";"Hours";"4"
597;224;142;"General stain";;;
598;226;142;"General stain";;;
599;227;142;"General stain";;;
600;225;110;"Postfixation";"3";"Hours";
601;225;113;"Counterstaining";"2";"Hours";
602;225;44;"Dehydration";;;
603;225;111;"Unspecified";;;
604;225;143;"Embedding";;;
605;228;113;"Counterstaining";;;
606;228;114;"Counterstaining";;;
607;230;54;"Blocking";"1";"Hours";
608;230;67;"Signal amplification";"1";"Hours";
609;230;55;"Visualization";"5";"Minutes";
610;230;145;"Counterstaining";;;
611;231;18;"Fixation";"90";"Minutes";
612;232;64;"Unspecified";"12";"Hours";
613;232;144;"Freezing";;;
614;234;85;"Blocking";"30";"Minutes";
615;234;54;"Blocking";"30";"Minutes";
616;234;53;"Permeabilization";"135";"Minutes";
617;234;118;"Signal amplification";"1";"Hours";
618;234;55;"Visualization";"10";"Minutes";
619;235;85;"Blocking";"30";"Minutes";
620;235;53;"Permeabilization";"135";"Minutes";
621;235;54;"Blocking";"30";"Minutes";
622;235;118;"Signal amplification";"1";"Hours";
623;235;55;"Visualization";"10";"Minutes";
624;236;18;"Fixation";"20";"Minutes";"4"
625;236;146;"Fixation";"15";"Minutes";"4"
626;236;106;"Staining";"50";"Minutes";"37"
627;236;53;"Permeabilization";"50";"Minutes";"37"
628;236;146;"Dehydration";;;
629;236;49;"Dehydration";;;
630;235;18;"Fixation";"30";"Minutes";
631;234;18;"Fixation";"30";"Minutes";
632;237;18;"Fixation";"30";"Minutes";
633;237;44;"Dehydration";"8";"Minutes";
634;237;49;"Clearing";"2";"Minutes";
635;237;;"Storage";;;"-20"
636;237;123;"Fixation";"24";"Hours";"37"
637;237;77;"Visualization";"48";"Hours";"21"
638;237;146;"Dehydration";;;
639;237;49;"Clearing";;;
640;238;18;"Fixation";"30";"Minutes";
641;238;44;"Dehydration";"8";"Minutes";
642;238;49;"Clearing";"2";"Minutes";
643;238;;"Storage";;;"-20"
644;238;123;"Fixation";"24";"Hours";"37"
645;238;77;"Visualization";"48";"Hours";"21"
646;238;146;"Dehydration";;;
647;238;49;"Clearing";;;
648;239;18;"Fixation";"30";"Minutes";
649;239;44;"Dehydration";"8";"Minutes";
650;239;49;"Clearing";"2";"Minutes";
651;239;;"Storage";;;"-20"
652;239;123;"Fixation";"24";"Hours";"37"
653;239;77;"Visualization";"48";"Hours";"21"
654;239;146;"Dehydration";;;
655;239;49;"Clearing";;;
656;240;64;"Unspecified";"12";"Hours";"4"
657;241;89;"Fixation";"0,5";"Minutes";
658;241;86;"Blocking";"15";"Minutes";
659;241;118;"Signal amplification";"2";"Hours";
660;241;148;"Visualization";"15";"Minutes";
661;241;149;"Visualization";"5";"Minutes";
662;241;44;"Dehydration";;;
663;242;86;"Blocking";"15";"Minutes";
664;242;118;"Signal amplification";"2";"Hours";
665;242;148;"Visualization";;;
668;242;96;"Counterstaining";;;
669;244;96;"Counterstaining";;;
670;245;100;"Cryoprotection";;;
672;245;110;"Postfixation";"2";"Hours";
673;245;143;"Embedding";;;
674;246;113;"Counterstaining";;;
675;246;114;"Counterstaining";;;
676;247;18;"Fixation";"30";"Minutes";
677;248;152;"Antigen retrieval";"30";"Minutes";
678;248;131;"Cryoprotection";"15";"Minutes";
679;248;153;"Freezing";;;
680;248;99;"Freezing";;;
681;248;67;"Signal amplification";;;
682;248;55;"Visualization";;;
683;248;133;"Visualization";;;
684;248;110;"Postfixation";;;
685;249;113;"Counterstaining";;;
686;249;114;"Counterstaining";;;
687;250;18;"Fixation";"4";"Hours";"4"
688;250;64;"Cryoprotection";;;"4"
689;250;73;"Freezing";;;"-40"
