"ID";"Species";"Strain_name";"Ontological_identifier"
1;2;"C57BL/6";"BIRNLEX:398"
2;2;"A";"BIRNLEX:568"
3;2;"BALB/c";"BIRNLEX:206"
4;2;"C3H";"BIRNLEX:301"
5;2;"CBA";"BIRNLEX:213"
6;2;"DBA";"BIRNLEX:380"
7;2;"FVB";"BIRNLEX:311"
8;2;"SJL";"BIRNLEX:292"
9;2;"Recombinant inbred mouse strain";"BIRNLEX:124"
10;1;"DB1X";"BIRNLEX:710"
11;1;"Sprague-Dawley";"BIRNLEX:266"
12;1;"Wistar";"BIRNLEX:254"
13;2;"129";"BIRNLEX:219"
14;2;"CD1";
15;1;"Fischer";
16;1;"Lewis";
17;1;"Long-Evans";"NLEX:310"
18;2;"Swiss-Webster";
19;2;"ASH/TO";
20;2;"AKR";
21;2;"C57L";
22;1;"Brown Norway rat";
23;2;"C6CBA";
24;1;"Lister hooded";
