"ID";"Species";"Strain_name";"Substrain_name";"Ontology_identifier"
1;2;13;"129P1/ReJ";"BIRNLEX:152"
2;2;13;"129P3/J";"BIRNLEX:397"
3;2;13;"129P3/JEmsJ";"BIRNLEX:104"
4;2;13;"129P4/RrRkK";"BIRNLEX:109"
5;2;13;"129S1/SvlmJ";"BIRNLEX:106"
6;2;13;"129S6/SvEvTac";"BIRNLEX:176"
7;2;13;"129T2/SvEms";"BIRNLEX:544"
8;2;13;"129X1/SvJ";"BIRNLEX:557"
9;2;13;"129T2SvEmsJ";"BIRNLEX:548"
11;2;3;"BALB/cJ";"BIRNLEX:597"
14;2;1;"C57BL/6J";"BIRNLEX:393"
15;2;1;"C57BL/6JEiJ";"BIRNLEX:472"
16;2;1;"C57BL/6NJ";"BIRNLEX:475"
17;2;5;"CBA/J";"BIRNLEX:599"
23;2;;"B6CBA-A/A";
24;2;9;"129SvEv x BlackSwiss";
25;2;1;"C57Bl/6N";
26;2;13;"129/Sv";
29;2;1;"C57BL/6ByJ";
30;2;;"C4A6/B";
31;2;;"C4A6/N";
35;2;;"AKR/J";
36;2;;"C57L/J";
37;2;6;"DBA/2J";
38;2;4;"C3H/HeJ";
39;2;6;"DBA/1J";
40;2;9;"C57BL/6J x SWR/J";
41;2;2;"A/J";
42;2;;"A/J x BXD-5/Ty";
43;2;;"BXD-5/Ty";
44;2;;"CXBI";
45;2;;"C4A6";
46;2;9;"C57BL/6ByJ x BALB/cJ";
47;2;;"C57BL/6 x 129SveVTac";
48;2;9;"C57BL/6 x 129SvJ";
49;2;13;"129Sv/J";
50;2;;"C57BL/6 x 129";
51;2;9;"C57BL/6 x CD1";
52;1;15;"Fischer 344";
53;2;7;"FVB/N";
54;2;9;"BALB/C x 129 terSv";
55;2;9;"C57BL/6 x C3H";
56;2;9;"C57BL/6 x CBA";
57;2;9;"C57BL/6J x DBA/2J";
