e_uid,region1_nomenclature1,region_nomenclature2,topological_relation,annotation,reference,url,id,v_uid,v_uuid,v_lastmodified,v_status,v_lastmodified_epoch
548,Zona incerta (Swanson-1998),Zona incerta (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),347,548,63bdbf0d-fbb5-5ba2-b347-f250d0c358ec,2016-05-09 16:57:11,C,1.4628130310509E9
228,Declive (VI) (Swanson-1998),Declive (VI) (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),802,228,f36202c4-453b-5d9a-84c0-146965e0c736,2016-05-09 16:57:11,C,1.4628130310509E9
764,Bed nuclei of the stria terminalis oval nucleus (Swanson-1998),Bed nuclei of the stria terminals oval nucleus (Swanson-1992),identical,Collator note: these brain regions do not differ from one atlas version to the other. Therefore they are assumed to be identical.,Swanson LW; (1998),http://scholar.google.com/scholar?hl=en&q=Swanson LW; (1998),109,764,5290b099-30ed-51a4-a47a-94d097703c3a,2016-05-09 16:57:11,C,1.4628130310509E9
603,Abducens nucleus (Swanson-1998),Abducens nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),524,603,e857de00-b1e8-5439-8dce-0967128452f8,2016-05-09 16:57:11,C,1.4628130310509E9
313,Retina (Swanson-1998),Retina (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),208,313,b29a9e37-f361-5d80-aa29-c12913cc400c,2016-05-09 16:57:11,C,1.4628130310509E9
344,Cuneate nucleus (Swanson-1998),Cuneate nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),456,344,c7c56dc6-9bde-53b7-8cfe-7d7834758164,2016-05-09 16:57:11,C,1.4628130310509E9
650,Bed nucleus of the stria terminalis medial (de Olmos -1985),Dorsal part of the lateral bed nucleus of the stria terminalis (de Olmos - 1995),contains,[...] His medial bed nucleus appears to include our intermediate division of the lateral bed nucleus...,Barry G.E.; Wray; S.; (1985),http://scholar.google.com/scholar?hl=en&q=Barry G.E.; Wray; S.; (1985),13868,650,3a627f57-3391-5ded-9325-5eb6a4ec7680,2016-05-09 16:57:11,C,1.4628130310509E9
15,Visceral area (Swanson-1998),Visceral area (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),690,15,240ea2d8-5941-5b1c-be59-fd4b9194a78e,2016-05-09 16:57:11,C,1.4628130310509E9
452,Dorsal premammillary nucleus (Swanson-1998),Dorsal premammillary nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),314,452,6750e8d9-2375-5218-a468-8267b162127d,2016-05-09 16:57:11,C,1.4628130310509E9
126,Claustrum (Swanson-1998),Claustrum (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),777,126,61316c92-af24-5602-b686-ba85e6e51763,2016-05-09 16:57:11,C,1.4628130310509E9
793,Bed nuclei of the stria terminals anterior division dorsomedial nucleus (Swanson-1992),Ventral part of the medial bed nucleus of the stria terminalis (de Olmos - 1995),is contained,Collator note: this relation is extracted from Figure 2 page 197. Details about the comparison can be found in cited references.,Dong H.; Petrovich G.D.; Swanson L.W.; (2001),http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11750933,1817,793,f07ffce6-8ff7-5f8d-9319-f61a5ea5e577,2016-05-09 16:57:11,C,1.4628130310509E9
273,Subparafascicular nucleus (Swanson-1998),Subparafascicular nucleus (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),352,273,eed55603-3be1-539a-b360-bdafdbba2fc2,2016-05-09 16:57:11,C,1.4628130310509E9
217,Lingula (l) (Swanson-1998),Lingula (l) (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),791,217,4afccf69-c953-51fb-b9d5-08bfda3654e2,2016-05-09 16:57:11,C,1.4628130310509E9
607,Motor nucleus of the trigeminal (Swanson-1998),Motor nucleus of the trigeminal (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),528,607,50d7d92d-a6f8-5435-88c7-bc4300133900,2016-05-09 16:57:11,C,1.4628130310509E9
33,Taenia tecta dorsal part layer 4 (Swanson-1998),Tenia tecta dorsal part layer 4 (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),661,33,6827f058-4946-5a2b-b6dc-7dbc50b71664,2016-05-09 16:57:11,C,1.4628130310509E9
658,Bed nucleus of the stria terminalis lateral subdivision (de Olmos -1985),Bed nucleus of the stria terminals lateral subdivision (McDonald),contains,...his [McDonald (1983a)] lateral BST corresponds to the remainder of our dorsal BSTL.,de Olmos J.; Alheid G.F. & Beltramino C.A.; (1985),http://scholar.google.com/scholar?hl=en&q=de Olmos J.; Alheid G.F. & Beltramino C.A.; (1985),13899,658,11c6d9e5-5ad6-5dc2-b9ed-e1d0aa642392,2016-05-09 16:57:11,C,1.4628130310509E9
36,Taenia tecta ventral part layer3 (Swanson-1998),Tenia tecta ventral part layer3 (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),665,36,f97b1e43-68ce-592e-89b2-ec0148080af7,2016-05-09 16:57:11,C,1.4628130310509E9
1014,bed nucleus of the stria terminalis; medial division; anterior part (Paxinos/Watson-1998),Bed nuclei of the stria terminalis anterolateral area (Swanson-1998),overlap,Collator note: direct comparison of Swanson-1998; 2004; and Paxinos 1985; 1998 atlases.,Swanson LW; (1998),http://scholar.google.com/scholar?hl=en&q=Swanson LW; (1998),3516,1014,1ab02131-7082-5999-be08-b671a950f9fe,2016-05-09 16:57:11,C,1.4628130310509E9
245,Simple lobule sublobule b (Swanson-1998),Simple lobule sublobule b (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),820,245,3e39ea38-709c-51f1-8e2d-e6787abd4301,2016-05-09 16:57:11,C,1.4628130310509E9
168,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone ventral region (Swanson-1998),Lateral septal nucleus rostral (rostroventral) part ventrolateral zone ventral region (Swanson-2004),identical,Collator note: Swanson 2004 nomenclature is very similar to Swanson 1998 version. For changes that were performed between Swanson 1998 and 2004 versions; please check "Changes to the original Atlas" ; page 7.,Swanson L.W.; (2004),http://scholar.google.com/scholar?hl=en&q=Swanson L.W.; (2004),391,168,76355f2f-6d40-5e5c-9884-043e3f31f910,2016-05-09 16:57:11,C,1.4628130310509E9
909,Dorsal part of the lateral bed nucleus of the stria terminalis capsular portion (de Olmos - 1995),Bed nucleus of the stria terminals lateral subdivision (McDonald),contains,Collator note: tt is unclear from the text and Table VI.A  how the graphic comparison was performed and the topological relation was established. The relation "is included" was inferred by the collator.,Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),http://scholar.google.com/scholar?hl=en&q=Alheid G.F; de Olmos J.S. & Beltramino C.A.; (1995),13980,909,4376535a-a497-5b35-872d-2459afc63985,2016-05-09 16:57:11,C,1.4628130310509E9
