1CA amacrine retinal cell Nguyen-Legros et al. (NL),Acidic fibroblast growth factor expressing
2CA amacrine retinal cell Nguyen-Legros et al. (NL),ApoD expressing
360 nm-cone Neitz et al. (N),Astrocyte
510 nm-cone Neitz et al. (N),Astrocyte
5H1A-IR neuron Marvin et al. (Marvin),Astrocyte
5HT1A-1R multipolar neuron Marvin et al. (Marvin),Basic fibroblast growth factor expressing
5HT1A-IR fusiform neuron Marvin et al. (Marvin),Basic fibroblast growth factor expressing
5HT1A-IR medium-sized neuron Marvin et al. (Marvin),Basic fibroblast growth factor expressing
A17 amacrine cell Wassle (Wassle),Basic fibroblast growth factor expressing
AII amacrine cell Wassle (Wassle),C-fos expressing
B1 neuron Webster-Gabbott (W-G-DLG),CB1R expressing
B2 neuron Webster-Gabbott (W-G-DLG),Calbindin expressing
BNSTAL-5HT (HYP) neuron Hammack et al. (Hammack),Calbindin negative
BNSTAL-5HT (HYP-DEP) neuron Hammack et al. (Hammack),Calretinin expressing
BNSTAL-5HT neuron Hammack et al. (Hammack),Caudal subthalamic nucleus projection neuron
BNSTAL-5HT(DEP) neuron Hammack et al. (Hammack),Cell
BNSTAL-5HT(NR) neuron Hammack et al. (Hammack),Cell_type_name
BNSTALG Type I neuron Hammack et al. (Hammack),Cholinergic neuron
BNSTALG Type II neuron Hammack et al. (Hammack),Corticostriatal neuron
BNSTALG Type III neuron Hammack et al. (Hammack),Dopamine 1 receptor expressing
BST large neuron Ju et al. (Ju),Dopamine 2 receptor expressing
BST-CG CRH-ir neuron Gray-Magnuson (G.-M.),Dopamine receptor 1  / enkephalin co-expressing
BST-CG Enk-ir neuron Gray-Magnuson (G.-M.),Dopamine receptor 2  / enkephalin co-expressing
BST-CG NT-ir neuron Gray-Magnuson (G.-M.),Dopamine receptor 3 / enkephalin co-expressing
BST-CG SP-ir neuron Gray-Magnuson (G.-M.),Dopamine receptor 3 expressing / enkephalin negative
BST-CG SS-ir neuron Gray-Magnuson (G.-M.),Dopaminergic neuron
BST-CG neuron Gray-Magnuson (G.-M.),Dopaminergic neuron
BST-PVN neuron Herman et al. (Herman),Dopaminergic nigrostriatal neuron
BST-VTA neuron Ashton-Jones,Dynorphin expressing
BST-medial neurons McDonald (McDonald),Enkephalin expressing
BSTju-restricted neuron McDonald (McDonald),GABAergic neuron
BSTse bipolar neuron Larriva-Sahd (Larriva-Sahd),GAD expressing
COS1-positive cone Szel and Rohlich (SR),GAD65
CRH-ir neuron Ad-hoc (Ad-hoc),GAD65
Calbindin (CB) expressing neuron Armstrong,GAD65 expressing
Calretinin (CR) expressing neuron Armstrong,GAD67
Enk-ir neuron Ad-hoc (Ad-hoc),GAD67
GABA-IR neuron,GAD67 / parvalbumin coexpressing
GABA-IR neuron,GAD67 expressing
GABA-IR neuron,Glial cell
GAD67 neuron Herman et al. (Herman),Glucocorticoid receptor expressing
GALir magnocellular neurosecretory-type neuron Ju et al. (Ju),Glutamate receptor 1 expressing
Glu-IR neuron,Glutamine synthetase expressing
Golgi neuron,Huntingtin negative/calbindin expressing
Golgi neuron,Inner globus pallidus neuron
Golgi neuron Chan-Palay (Chan-Palay),Kappa opioid receptor expressing
HSD2 neuron Geerling (G-Ald),Large sized cell
IL-BST neuron Ashton-Jones,Lateral subthalamic nucleus projection neuron
IO projecting neuron,Lipocortin 1 expressing
L-type retinal ganglion cell Fukuda-morphological (F-mopho),Low huntingtin expressing/calbindin expressing
LHA-projecting retinal ganglion cell Moore (Moore),Low huntingtin expressing/calbindin negative
LP-ipsilateral projecting retinal ganglion cell Farid Ahmed et al. (FA),Macrophage
Lugaro neuron Laine and Axelrad (LA),Medial subthalamic nucleus projection neuron
M-type retinal ganglion cell Fukuda-morphological (F-mopho),Medium sized cell
MTN-projecting retinal ganglion cell Dann (Dann),Medium spiny neuron
Martinotti neuron,Microglia
Martinotti neuron,Microglia
Martinotti neuron,Microglia
Martinotti neuron,Moderate huntingtin expressing/calbindin expressing
Martinotti neuron,Moderate huntingtin expressing/calbindin negative
Martinotti neuron,NADPHd
Martinotti neuron,NADPHd
Martinotti neuron,NADPHd expressing
Martinotti neuron,NMDA receptor expressing
Martinotti neuron,Neuron
Martinotti neuron,Neuropeptide Y expressing
Martinotti neuron,Nigrostriatal neuron
Martinotti neuron,Non-dopaminergic neuron
Martinotti neuron,Non-dopaminergic nigrostriatal neuron
Martinotti neuron SSp-morpho-electrophysiological types (M-morpho-electr),Non-neuronal cell
NPY-immunoreactive amacrine cell Oh et al. (Oh),Oligodendrocyte
NT-ir neuron Ad-hoc (Ad-hoc),Outer globus pallidus neuron
OFF cone bipolar cell Hartveit (H),PSA-NCAM expressing
ON cone bipolar cell Hartveit (H),Parvalbumin expressing
OP-projecting retinal ganglion cell Young and Lund (YL),Perineuronal net-surrounded neuron
OS2-positive cone Szel and Rohlich (SR),Phosphate activated glutaminase expressing
PNMT-immunoreactive retinal cell Versaux-Boteri et al (VB),Phosphotyrosine expressing
PVN pre-autonomic type A neuron Stern (Stern),Pre proenkephalin expressing
PVN pre-autonomic type B neuron Stern (Stern),Pre-enkephalin expressing
PVN pre-autonomic type C neuron Stern (Stern),Prototypic pallidal neuron
Parvalbumin (PV) expressing neuron Armstrong,Rostral subthalamic nucleus projection neuron
