ID,Phenotype_name,Phenotype_category,Ontological_identifier,Derived_data_record,Derived_data_record_name
1,Expression_dopamine,4,CHEBI:18243,455,Guyenet_1981_sections_EB_DA_cells_quantitation
1,Expression_dopamine,4,CHEBI:18243,454,Guyenet_1981_sections_DA_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,60,Ariano_1997_sections_GluR1_D1A_D1A_neuron_quantitation_1
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,63,Ariano_1997_sections_D2_D1A_D1A_neuron_quantitation_2
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,569,Cullity_2018_DRD1P17F_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,570,Cullity_2018_DRD1P17M_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,571,Cullity_2018_DRD1P25F_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,572,Cullity_2018_DRD1P25M_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,573,Cullity_2018_DRD1P35F_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,574,Cullity_2018_DRD1P35M_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,575,Cullity_2018_DRD1P49F_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,576,Cullity_2018_DRD1P49M_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,577,Cullity_2018_DRD1P70F_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,578,Cullity_2018_DRD1P70M_sections_neurons_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,654,Mu_2014_sections_D1_spines_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,673,Ren_2017_sections_D1_MSNs_quantitation
2,Expression_dopamine 1 receptor,4,NIFEXT:5845,710,Suarez_2013_D1R_slices_spines_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,61,Ariano_1997_sections_GluR1_D2_D2_neuron_quantitation_1
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,62,Ariano_1997_sections_D1A_D2_D2_neuron_quantitation_2
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,205,Pickel_2006_sections_D2R_terminals_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,207,Pickel_2006_sections_D2R_terminals_asym_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,209,Pickel_2006_sections_D2R_terminals_sym_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,579,Cullity_2018_DRD2P17F_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,580,Cullity_2018_DRD2P17M_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,581,Cullity_2018_DRD2P25F_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,582,Cullity_2018_DRD2P25M_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,583,Cullity_2018_DRD2P35F_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,584,Cullity_2018_DRD2P35M_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,585,Cullity_2018_DRD2P49F_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,586,Cullity_2018_DRD2P49M_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,587,Cullity_2018_DRD2P70F_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,588,Cullity_2018_DRD2P70M_sections_neurons_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,655,Mu_2014_sections_D2_spines_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,674,Ren_2017_sections_D2_MSNs_quantitation
3,Expression_dopamine 2 receptor,4,NIFEXT:5833,711,Suarez_2013_D2R_slices_spines_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,120,Guan_1999_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,124,Hardman_2002_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,128,Hussain_1996_sections_PV
4,Expression_parvalbumin,4,NIFEXT:6,183,Meade_2000_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,312,MBA Cell Type Atlas_PV_brains_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,538,Abdurakhmanova_2017_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,545,Alexi_1997_sections_parv_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,589,Filice_2016_PVEGFP_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,590,Filice_2016_wt_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,637,Larsson_2001_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,639,Lauber_2018_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,642,Lauber_2016_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,647,Lee_2002_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,652,Luk_2001_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,656,Smith_2008_sections_PV_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,708,Song_2013_sections_pv_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,724,Yoshikawa_2010_immuno_sections_pv_neurons_quantitation
4,Expression_parvalbumin,4,NIFEXT:6,732,Yalcin-Cakmakli_2018_3m_sections_pv_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,116,Guan_1999_sections_calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,137,Kosinski_1997_sections_htt++/calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,139,Kosinski_1997_sections_htt+/calb_neuron_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,141,Kosinski_1997_sections_htt+++/calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,143,Kosinski_1997_sections_htt-/calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,243,Vidyadhara_2016_bl6_sections_calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,244,Vidyadhara_2016_CD1_sections_calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,421,Alexi_1996_sections_calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,541,Alexi_1997_sections_calb_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,645,Lee_2002_sections_CB_neurons_quantitation
5,Expression_calbindin,4,NLX_MOL:1006006,697,Saraceno_2012_sections_cb_neurons_quantitation
6,Expression_calretinin,4,NIFEXT:5,126,Hussain_1996_sections_CR_cells_quantitation
6,Expression_calretinin,4,NIFEXT:5,313,MBA Cell Type Atlas_SST:CR_brains_SST:CR_neurons_quantitation
6,Expression_calretinin,4,NIFEXT:5,317,MBA Cell Type Atlas_VIP:CR_brains_VIP:CR_neurons_quantitation
6,Expression_calretinin,4,NIFEXT:5,420,Alexi_1996_sections_calr_neurons_quantitation
6,Expression_calretinin,4,NIFEXT:5,542,Alexi_1997_sections_calretinin_neurons_quantitation
6,Expression_calretinin,4,NIFEXT:5,646,Lee_2002_sections_CR_neurons_quantitation
6,Expression_calretinin,4,NIFEXT:5,691,Rymar_2004_sections_CR_neurons_quantitation
7,Expression_vasopressin,4,DB:00067,,
8,Expression_somatostatin,4,NIFEXT:5116,121,Guan_1999_sections_SOM_neurons_quantitation
8,Expression_somatostatin,4,NIFEXT:5116,195,�stergaard_1995_sections_SS-immun_neurons_quantitation
8,Expression_somatostatin,4,NIFEXT:5116,313,MBA Cell Type Atlas_SST:CR_brains_SST:CR_neurons_quantitation
8,Expression_somatostatin,4,NIFEXT:5116,314,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation
8,Expression_somatostatin,4,NIFEXT:5116,315,MBA Cell Type Atlas_SST_brains_SST_neurons_quantitation
8,Expression_somatostatin,4,NIFEXT:5116,692,Salin_1990_sections_som_neurons_quantitation
8,Expression_somatostatin,4,NIFEXT:5116,718,Zhang_2017_brains_SOM_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,85,del Moral_2004_sections_nNOS_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,119,Guan_1999_sections_nNOS_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,303,Barcia_2012_sections_nNOS_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,314,MBA Cell Type Atlas_SST:nNOS_brains_SST:nNOS_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,445,Chalimoniuk_2006_nNOS_sections_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,599,Echeverry_2004_sections_NOS_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,610,Gomes_2008_sections_nnos_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,612,Gomes_2003_sections_nnos_neurons_quantitation
9,Expression_nitric oxide synthase,4,PR:000011326,707,Song_2013_sections_nnos_neurons_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,132,Kerkerian_1990_sections_NPY_neurons_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,196,�stergaard_1995_sections_NPY-immun_neurons_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,199,�stergaard_1995_sections_ISH_NPY_neurons_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,204,Pickel_1998_sections_NPY_axonterminals_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,567,Champy_2003_sections_NPY_cells_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,635,Larsson_2001_sections_NPY_neurons_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,670,Padungchaichot_1999_sections_NPY_neurons_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,723,Yoshikawa_2010_immuno_sections_npy_neurons_quantitation
10,Expression_neuropeptide Y,4,NIFEXT:5090,744,Zoli_1990_sections_npy_neurons_quantitation
11,Region_dorsal striatum,1,NLX:144489,,
12,Morphology_spiny high density,2,NLX:146270,101,Fogarty_2017_old_slices_MSN_spines_quantitation
12,Morphology_spiny high density,2,NLX:146270,102,Fogarty_2017_young_slices_MSN_spines_quantitation
12,Morphology_spiny high density,2,NLX:146270,224,Shen_2008_sections_MSN_spines_quantitation
12,Morphology_spiny high density,2,NLX:146270,225,Shen_2008_sections_MSN_thinspines_quantitation
12,Morphology_spiny high density,2,NLX:146270,499,Lawrence_2012_golgi_sections_spines_quantitation
12,Morphology_spiny high density,2,NLX:146270,593,Cuzon Carlson_2012_slices_MSN_spines_quantitation
13,Region_substantia nigra,1,BIRNLEX:789,457,Hage_2016_juxta_slices_spines_quantitation
13,Region_substantia nigra,1,BIRNLEX:789,459,Hage_2016_juxta_young_slices_spines_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,80,Bayer_1994_sections_midbrain_THneuron_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,111,German_1993_sections_TH_cells_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,125,Hardman_2002_sections_TH_cells_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,135,Khudoerkov_2014_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,170,McArthur_2016_female_sections_TH_cells_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,173,McArthur_2016_male_sections_TH_cells_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,175,McNeill_1990_3m_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,174,McNeill_1990_10m_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,177,McNeill_1990_3m_sections_TH_neurons_quantitation_2
14,Expression_tyrosine hydroxylase,4,ILX:0112125,185,Mori_2017_sections_TH_cells_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,186,Nair-Roberts_2008_sections_GAD_TH_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,201,Parish_2001_sections_snc_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,203,Parish_2001_sections_str_varicosities_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,219,Richards_2007_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,239,Vadasz_2007_BALBc_sections_TH_neurons
14,Expression_tyrosine hydroxylase,4,ILX:0112125,240,Vadasz_2007_bl6_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,241,Vadasz_2007_C4A6B_sections_TH_neuron_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,242,Vadasz_2007_C4A6N_sections_TH_neuron_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,271,Baquet_2009_sections_recon_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,272,Baquet_2009_sections_2dmodel_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,273,Baquet_2009_sections_3d_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,274,Baquet_2009_sections_recon-2D_TH_neurons_distribution
14,Expression_tyrosine hydroxylase,4,ILX:0112125,277,Harris_1996_fisher_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,278,Harris_1996_lewis_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,279,Hamre_1999_AKR/J_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,280,Hamre_1999_Bl6/Swr_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,281,Hamre_1999_C3H/HeJ_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,282,Hamre_1999_C57Bl/6J_sections_TH_neurons_quantitation
14,Expression_tyrosine hydroxylase,4,ILX:0112125,283,Hamre_1999_C57L/J_sections_TH_neurons_quantitation
