ID,Phenotype_name,Phenotype_category,Phenotype,Ontological_identifier
1,Expression_dopamine,4,Dopamine,CHEBI:18243
2,Expression_dopamine 1 receptor,4,Dopamine 1 receptor,NIFEXT:5845
3,Expression_dopamine 2 receptor,4,Dopamine 2 receptor,NIFEXT:5833
4,Expression_parvalbumin,4,Parvalbumin,NIFEXT:6
5,Expression_calbindin,4,Calbindin,NLX_MOL:1006006
6,Expression_calretinin,4,Calretinin,NIFEXT:5
7,Expression_vasopressin,4,Vasopressin,DB:00067
8,Expression_somatostatin,4,Somatostatin,NIFEXT:5116
9,Expression_nitric oxide synthase,4,Nitric oxide synthase,PR:000011326
10,Expression_neuropeptide Y,4,Neuropeptide Y,NIFEXT:5090
11,Region_dorsal striatum,1,Dorsal striatum,NLX:144489
12,Morphology_spiny high density,2,Spiny high density,NLX:146270
13,Region_substantia nigra,1,Substantia nigra,BIRNLEX:789
14,Expression_tyrosine hydroxylase,4,Tyrosine hydroxylase,ILX:0112125
15,Expression_glutamate receptor 1,4,Glutamate receptor 1,NLXMOL:20090504
16,Expression_glutamate receptor 1 mRNA,4,Glutamate receptor 1 mRNA,
17,Expression_NMDA receptor mRNA,4,NMDA receptor mRNA,NIFEXT:5250
18,Expression_dopamine 1 receptor mRNA,4,Dopamine 1 receptor mRNA,
19,Expression_dopamine 2 receptor mRNA,4,Dopamine 2 receptor mRNA,
20,Morphology_medium size,2,Medium size,NLX:45865
21,Region_striatum,1,Striatum,UBERON:0002435
22,Expression_choline acetyltransferase,4,Choline acetyltransferase,ILX:0102129
23,Expression_enkephalin mRNA,4,Enkephalin mRNA,
24,Expression_dynorphin mRNA,4,Dynorphin mRNA,
25,Expression_glutamic acid decarboxylase,4,Glutamic acid decarboxylase,NLX:203
26,Expression_met enkephalin,4,Met enkephalin,NLX:94955
27,Expression_substance p,4,Substance P,NIFEXT:5117
28,Morphology_small size,2,Small size,NLX:85169
29,Expression_pre-proenkephalin A mRNA,4,Pre-proenkephalin A mRNA,
30,Expression_dopamine receptor 3 mRNA,4,Dopamine receptor 3 mRNA,
32,Expression_vesicular monoamine transporter 2,4,Vesicular monoamine transporter-2,
33,Expression_phosphate activated glutaminase,4,Phosphate activated glutaminase,
34,Region_external globus pallidus,1,External globus pallidus,UBERON:0002476
35,Expression_NADPHd,4,NADPHd,
37,Expression_huntingtin,4,Huntingtin,
38,Expression_GAD67 mRNA,4,GAD67 mRNA,
39,Expression_parvalbumin mRNA,4,Parvalbumin mRNA,
40,Morphology_large size,2,Large size,NLX:10930
41,Expression_basic fibroblast growth factor,4,Basic fibroblast growth factor,
42,Expression_GABA,4,GABA,SAO:229636300
43,Expression_GAD65 mRNA,4,GAD65 mRNA,
44,Expression_glutamine synthetase,4,Glutamine synthetase,
45,Expression_GAD mRNA,4,GAD mRNA,
46,Expression_apolipoprotein D,4,Apolipoprotein D,
47,Expression_cannabinoid receptor 1,4,Cannabinoid receptor 1,NIFEXT:6899
48,Expression_GFAP,4,GFAP,
49,Expression_CD11b,4,CD11b,
50,Expression_lipocortin 1,4,Lipocortin 1,
51,Expression_phosphotyrosine,4,Phosphotyrosine,
52,Expression_S100-beta,4,S100-beta,
53,Expression_muscarinergic receptor 2,4,Muscarinergic receptor 2,NIFEXT:7946
54,Expression_kappa opioid receptor,,Kappa opioid receptor,NIFEXT:5660
55,Expression_PSA-NCAM,4,PSA-NCAM,
56,Expression_VGLUT1,4,VGLUT1,NLXMOL:1006007
57,Expression_pre-proenkephalin mRNA,4,Pre-proenkephalin mRNA,
58,Expression_pre-protachykinin mRNA,,Pre-protachykinin mRNA,
59,Region_striosome,1,Striosome,UBERON:0027371
60,Region_matrix,1,Matrix,UBERON:0027368
61,Expression_pre-prosomatostatin mRNA,4,Pre-prosomatostatin mRNA,
62,Expression_VGLUT2,4,VGLUT2,NLXMOL:1006009
63,Expression_VGAT,4,VGAT,
64,Expression_XPA,4,XPA,
65,Expression_XPB,4,XPB,
66,Expression_DARPP-32,4,DARPP-32,
67,Expression_enkephalin,4,Enkephalin,
68,Expression_glucocorticoid receptor,4,Glucocorticoid receptor,
69,Expression_c-fos,4,C-fos,
70,Expression_,4,M2 receptor / ChAT,
71,Electrophysiology_high frequency tonic firing,3,High frequency tonic firing,
73,Region_>96 �m from striatopallidal border,1,> 96 �m from striatopallidal border,
74,Region_<96 �m from striatopallidal border,1,< 96 �m from striatopallidal border,
75,Expression_VIP,4,VIP,NIFEXT:5148
76,Expression_cholecystokinin,4,Cholecystokinin,NIFEXT:5068
77,Electrophysiology_dopaminergic neuron,3,Dopaminergic neuron,
78,Electrophysiology_unspecified,3,,
79,Expression_substance P mRNA,4,Substance P mRNA,
80,Expression_somatostatin mRNA,4,Somatostatin mRNA,
81,Expression_NPY mRNA,4,Neuropeptide Y,
82,Expression_Nissl,4,Nissl,
83,Expression_S100,4,S100B,
84,Expression_acidic fibroblast growth factor,4,Acidic fibroblast growth factor,
85,Expression_NeuN,4,NeuN,
86,Connectivity_nigrostriatal,6,Nigrostriatal,
87,Expression_cAMP response element,4,cAMP response element,
88,Connectivity_SN,6,Substantia nigra projecting,
89,Connectivity_striatum,6,Striatum projecting,
90,Connectivity_EP,6,Entopeduncular nucleus projecting,
91,Connectivity_subthalamic nucleus,6,Subthalamic nucleus projecting,
92,Connectivity_globus pallidus,6,Globus pallidus projecting,
93,Region_Subthalamic nucleus,1,Subthalamic nucleus,
94,Connectivity_Projection neuron,6,Projection neuron,NLX:148097
95,Region_Subthalamic nucleus - rostral half,1,Subthalamic nucleus - rostral half,
96,Region_Subthalamic nucleus - caudal half,1,Subthalamic nucleus - caudal half,
97,Region_Subthalamic nucleus - lateral half,1,Subthalamic nucleus - lateral half,
98,Region_Subthalamic nucleus - medial half,1,Subthalamic nucleus - medial half,
99,Expression_GAD67,4,GAD67,
100,Expression_olig2,4,Oligodendrocyte transcription factor 2,
101,Expression_CD68,4,CD68,
102,Expression_VVA,4,Vicia Villosa Agglutinin,
103,Expression_GAD65,4,GAD65,
104,Expression_DAT,4,Dopamine transporter, ILX:0103388
105,Expression_5HT,4,5HT,
106,Expression_Iba-1,4,Iba-1,
107,Expression_p75,4,p75 neurotrophin receptor,
108,Expression_TrkA,4,TrkA,
109,Region_Frontal cortex,1,Frontal cortex,
110,Expression_pre-enkephalin,4,Pre-enkephalin,
